n,family,sample_id,log_H_exact,log_H_sis_mean,log_H_sis_std,abs_error,signed_error
8,absolute_layered,0,3.1780538303479458,3.1780538303479458,0.0,0.0,0.0
8,absolute_layered,1,3.871201010907891,3.8712010109078907,0.0,4.440892098500626e-16,-4.440892098500626e-16
8,KR_like,0,5.793013608384144,5.66815529701305,0.8511129923104223,0.12485831137109393,-0.12485831137109393
8,KR_like,1,5.181783550292085,5.241747015059643,0.6587885419047129,0.05996346476755754,0.05996346476755754
8,lorentzian_like_2d,0,7.832014180505469,7.9717761228806285,0.7829528402090826,0.13976194237515926,0.13976194237515926
8,lorentzian_like_2d,1,5.159055299214529,5.19295685089021,0.5895339703403556,0.03390155167568132,0.03390155167568132
10,absolute_layered,0,8.525161361065415,8.525161361065415,0.0,0.0,0.0
10,absolute_layered,1,4.969813299576001,4.969813299576001,0.0,0.0,0.0
10,KR_like,0,10.511893504640982,10.31731757697592,1.0501245950776834,0.1945759276650616,-0.1945759276650616
10,KR_like,1,9.71534911042061,9.700146628518098,1.0410618313708813,0.015202481902511167,-0.015202481902511167
10,lorentzian_like_2d,0,6.35088571671474,6.8416154764775925,1.2106491495433647,0.4907297597628526,0.4907297597628526
10,lorentzian_like_2d,1,7.408530566894626,7.0030654587864625,1.6279132475505,0.4054651081081637,-0.4054651081081637
