n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
20,absolute_layered,0,0.0,1.0,A1,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,0.18481875000000003,-21.86598534187957,-1.0932992670939785,-0.3649522611701684,-0.9688487799088709,-0.43026188879457217,4.466824171866162,0.4692462426610778,0.9688487799088709,0.0,robust_zscore,n
20,absolute_layered,0,0.0,1.0,A2,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,2.5757738152999226,-21.86598534187957,-1.0932992670939785,-0.3649522611701684,-0.9688487799088709,4.665048095449322,4.466824171866162,0.4692462426610778,0.9688487799088709,0.0,robust_zscore,n
20,absolute_layered,0,0.0,1.0,A3,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,2.3909550652999227,-21.86598534187957,-1.0932992670939785,-0.3649522611701684,-0.9688487799088709,4.271185058950831,4.466824171866162,0.4692462426610778,0.9688487799088709,0.0,robust_zscore,n
20,absolute_layered,0,0.2,1.0,A1,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,0.18481875000000003,-21.829021591879567,-1.0914510795939782,-0.3643353210262458,-0.9688487799088709,-0.43026188879457217,4.466824171866162,0.4692462426610778,0.8827964021499564,0.0,robust_zscore,n
20,absolute_layered,0,0.2,1.0,A2,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,2.5757738152999226,-21.350830578819583,-1.067541528940979,-0.35635411694333413,-0.9688487799088709,4.665048095449322,4.466824171866162,0.4692462426610778,1.9018583989987352,0.0,robust_zscore,n
20,absolute_layered,0,0.2,1.0,A3,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,2.3909550652999227,-21.387794328819584,-1.0693897164409791,-0.3569710570872568,-0.9688487799088709,4.271185058950831,4.466824171866162,0.4692462426610778,1.823085791699037,0.0,robust_zscore,n
20,absolute_layered,0,0.4,1.0,A1,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,0.18481875000000003,-21.79205784187957,-1.0896028920939784,-0.36371838088232317,-0.9688487799088709,-0.43026188879457217,4.466824171866162,0.4692462426610778,0.796744024391042,0.0,robust_zscore,n
20,absolute_layered,0,0.4,1.0,A2,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,2.5757738152999226,-20.8356758157596,-1.0417837907879801,-0.34775597271649994,-0.9688487799088709,4.665048095449322,4.466824171866162,0.4692462426610778,2.8348680180885997,0.0,robust_zscore,n
20,absolute_layered,0,0.4,1.0,A3,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,2.3909550652999227,-20.9096033157596,-1.04548016578798,-0.3489898530043452,-0.9688487799088709,4.271185058950831,4.466824171866162,0.4692462426610778,2.6773228034892034,0.0,robust_zscore,n
20,absolute_layered,0,0.8,1.0,A1,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,0.18481875000000003,-21.71813034187957,-1.0859065170939783,-0.36248450059447795,-0.9688487799088709,-0.43026188879457217,4.466824171866162,0.4692462426610778,0.6246392688732131,0.0,robust_zscore,n
20,absolute_layered,0,0.8,1.0,A2,21.86598534187957,0.0,0.18481875000000003,2.3909550652999227,2.5757738152999226,-19.80536628963963,-0.9902683144819815,-0.33055968426283144,-0.9688487799088709,4.665048095449322,4.466824171866162,0.4692462426610778,4.700887256268329,0.0,robust_zscore,n
