n,cover_density_delta,reduction_edge_density_delta,adjacent_edge_fraction_delta,long_edge_fraction_delta,mean_layer_gap_delta,signature_redundancy_delta,layer_count_delta,layer_size_std_delta
30,0.017432950191570873,0.017432950191570873,0.0472349174688379,-0.0472349174688379,-0.894451351897859,-0.031200396825396822,-2.75,-0.09393402503829273
40,0.022756410256410273,0.022756410256410273,0.0737160984151981,-0.0737160984151981,-1.2463925559635172,-0.025900888133030982,-3.583333333333334,-0.24037859392894823
44,0.025369978858350975,0.025369978858350975,0.08081388467368414,-0.08081388467368411,-1.4727010227245376,-0.03087346681096681,-4.333333333333334,-0.10970724764020368
48,0.029920212765957452,0.029920212765957452,0.08865269097274622,-0.0886526909727462,-2.0455532640510663,-0.013095238095238096,-5.75,-0.6288788290321465
52,0.029411764705882346,0.029411764705882346,0.09137454290106548,-0.0913745429010655,-1.8539257045760875,-0.028571679092512424,-5.0,-0.3214902998387341
56,0.027272727272727268,0.027272727272727268,0.07968870527048733,-0.07968870527048733,-1.8168498877295995,-0.02485419672919673,-5.0,-0.7429819465378542
