n,gamma,family,action_mode,mean_score_norm,std_score_norm,mean_score_norm_std_est,mean_log_H_norm,mean_penalty_norm,count
10,0.0,lorentzian_like_5d,A1,-1.258293849060481,0.2553186065892078,0.0,1.258293849060481,-0.5570306470174324,16
10,0.0,transitive_percolation,A1,-1.092984868639151,0.47679116255510195,0.0,1.092984868639151,-0.6027353768330311,16
10,0.0,lorentzian_like_4d,A1,-0.8434408045838055,0.32579481907355345,0.0,0.8434408045838055,-0.6284016659932485,16
10,0.0,KR_2layer,A1,-0.8349288195421556,0.15468086182573249,0.0,0.8349288195421556,-0.6614416983563749,16
10,0.0,random_layered_k8_uniform,A1,-0.3672334933270463,0.7581631772951246,0.0,0.3672334933270463,-0.6489295282149994,16
10,0.0,lorentzian_like_3d,A1,-0.2553840662091328,0.43593003592389423,0.0,0.2553840662091328,-0.6702768098196488,16
10,0.0,random_layered_k6_tapered,A1,-0.21719084500860322,0.5923864495890192,0.0,0.21719084500860322,-0.6670091869090274,16
10,0.0,random_layered_k6_uniform,A1,-0.014603750230829389,0.6496174317149562,0.0,0.014603750230829389,-0.6632019337798734,16
10,0.0,random_layered_k4_uniform,A1,0.029134129974326607,0.7268005282006231,0.0,-0.029134129974326607,-0.6626235997158668,16
10,0.0,random_layered_k6_middle_heavy,A1,0.04227437124066123,0.5862368025148512,0.0,-0.04227437124066123,-0.6779868027508451,16
10,0.0,random_layered_k6_longjump,A1,0.08709159198342309,0.5360123020650266,0.0,-0.08709159198342309,-0.6781974341696764,16
10,0.0,multi_layer_random,A1,0.16564433445630108,0.4283318491188215,0.0,-0.16564433445630108,-0.6902177335421379,16
10,0.0,KR_like,A1,0.3586232110455564,0.20417702400323334,0.0,-0.3586232110455564,-0.6963729018000854,16
10,0.0,KR_4layer,A1,0.5116414728619694,0.33414778671644474,0.0,-0.5116414728619694,-0.6844024888162945,16
10,0.0,interval_order,A1,0.8680155445199904,0.6541718406542936,0.0,-0.8680155445199904,-0.6702437455852973,16
10,0.0,lorentzian_like_2d,A1,0.8974641921428788,0.49530170893252495,0.0,-0.8974641921428788,-0.6938336266093243,16
10,0.0,absolute_layered,A1,1.4597248479862166,0.23037135774951423,0.0,-1.4597248479862166,-0.658528565287728,16
10,0.1,lorentzian_like_5d,A1,-1.313996913762224,0.24466337956407588,0.0,1.258293849060481,-0.5570306470174324,16
10,0.1,transitive_percolation,A1,-1.153258406322454,0.47453530964706553,0.0,1.092984868639151,-0.6027353768330311,16
10,0.1,lorentzian_like_4d,A1,-0.9062809711831303,0.32253955895980974,0.0,0.8434408045838055,-0.6284016659932485,16
10,0.1,KR_2layer,A1,-0.9010729893777931,0.16032432389808932,0.0,0.8349288195421556,-0.6614416983563749,16
10,0.1,random_layered_k8_uniform,A1,-0.43212644614854623,0.7530982755886532,0.0,0.3672334933270463,-0.6489295282149994,16
10,0.1,lorentzian_like_3d,A1,-0.32241174719109766,0.43520506912215295,0.0,0.2553840662091328,-0.6702768098196488,16
10,0.1,random_layered_k6_tapered,A1,-0.283891763699506,0.5895416184497312,0.0,0.21719084500860322,-0.6670091869090274,16
10,0.1,random_layered_k6_uniform,A1,-0.08092394360881672,0.6466266973790181,0.0,0.014603750230829389,-0.6632019337798734,16
