n,mean_match_distance,mean_log_H_delta,mean_score_A2_delta,mean_geo_total_delta,mean_switch_delta,mean_cg_penalty_delta,mean_width_delta,mean_comp_delta,count
30,2.1247124566770506,4.72473927012408,-4.477360503328234,0.30862172579555647,0.888888888888889,1.3443870123943131,0.6666666666666666,-0.013026819923371652,12
40,1.5383648525761373,7.650848603743259,-7.0893845715372,0.6994717208070772,0.9166666666666666,1.397070913450466,0.9166666666666666,0.003525641025641018,12
44,2.529726813198543,9.832629635435072,-9.055422861954991,0.9695217924153913,1.0,1.5012056027192207,1.1666666666666667,-0.006518675123326305,6
48,3.031002647400138,13.30611918590293,-12.517123203530286,0.9877890223195434,0.9583333333333334,1.4364712208722705,2.25,-0.02171985815602838,4
52,3.0164725418746983,11.290727403275342,-10.249734933029991,1.29672331961644,0.9444444444444445,1.4350647398732927,2.0,0.03305681246857722,6
56,2.4677029200122034,15.152489586606904,-14.091654502830094,1.3241621135804225,0.9722222222222223,1.4500461494148797,2.0,0.006385281385281401,6
