n,mlr_seed,lor_seed,match_distance,log_H_mlr,log_H_lor2d,log_H_delta_mlr_minus_lor2d,score_A2_gamma_mlr,score_A2_gamma_lor2d,score_A2_gamma_delta_mlr_minus_lor2d,geo_total_mlr,geo_total_lor2d,geo_total_delta_mlr_minus_lor2d,cg_family_switch_rate_mlr,cg_family_switch_rate_lor2d,cg_family_switch_rate_delta_mlr_minus_lor2d,cg_mean_penalty_mlr,cg_mean_penalty_lor2d,cg_mean_penalty_delta_mlr_minus_lor2d,antichain_width_mlr,antichain_width_lor2d,antichain_width_delta_mlr_minus_lor2d,comparable_fraction_mlr,comparable_fraction_lor2d,comparable_fraction_delta_mlr_minus_lor2d,geo_dim_eff_mlr,geo_dim_eff_lor2d,geo_dim_eff_delta_mlr_minus_lor2d,geo_interval_shape_mlr,geo_interval_shape_lor2d,geo_interval_shape_delta_mlr_minus_lor2d
30,1061336,1060002,0.13167427940980586,40.908128503672685,38.64319414790151,2.2649343557711745,-40.59986491214073,-38.34697238064416,-2.2528925314965704,0.3295035634890169,0.3183864557333143,0.011117107755702571,1.0,0.1666666666666666,0.8333333333333334,1.6549619602394,0.3771825969595334,1.2777793632798664,8.0,8.0,0.0,0.503448275862069,0.5011494252873563,0.0022988505747126853,1.9847103448275865,1.9985034482758623,-0.01379310344827589,0.0006205430932703,0.0002571428571428,0.0003634002361275
30,1061370,1060019,0.14304564052521362,42.20839791737141,38.9210673830802,3.2873305342912076,-41.69867997020729,-38.71171327561071,-2.9869666945965747,0.5789301500045325,0.1958510873476985,0.383079062656834,1.0,0.0,1.0,1.6235552700081852,0.0712364125885232,1.552318857419662,8.0,8.0,0.0,0.4873563218390804,0.4850574712643678,0.0022988505747125743,2.081262068965517,2.095055172413793,-0.01379310344827589,0.0010285714285714,0.0018181818181818,-0.0007896103896104
30,1061313,1060004,0.26010724927258655,43.18342950685083,36.79049611797837,6.392933388872457,-42.7845827599711,-36.34703021502106,-6.437552544950044,0.443489297797193,0.4911101564744004,-0.047620858677207445,1.0,0.0,1.0,1.6115697286549615,0.0911023155140545,1.520467413140907,8.0,8.0,0.0,0.4781609195402299,0.4827586206896552,-0.004597701149425315,2.136434482758621,2.108848275862069,0.027586206896552223,0.0005112093101703,0.0,0.0005112093101703
30,1061107,1060012,0.2664264852604617,41.30279897609411,38.05204371593314,3.2507552601609717,-40.74483331035351,-37.88977786002497,-2.8550554503285426,0.6314397982251339,0.146384247322852,0.48505555090228186,1.0,0.0,1.0,1.6597993299667797,0.1010008717864558,1.5587984581803238,8.0,8.0,0.0,0.5149425287356322,0.5103448275862069,0.0045977011494252595,1.915744827586207,1.9433310344827583,-0.027586206896551335,0.0009391394661387,0.001825,-0.0008858605338613
30,1061722,1060001,2.121610521979821,42.09472392749605,37.59013720161831,4.504586725877736,-41.69264984273183,-37.23245503539098,-4.460194807340855,0.4483160627453895,0.3902104238335411,0.05810563891184839,1.0,0.0,1.0,1.62001967629405,0.1046174563130004,1.5154022199810495,8.0,7.0,1.0,0.5195402298850574,0.5195402298850574,0.0,1.8881586206896557,1.8881586206896557,0.0,0.0006650912996777,0.000225,0.0004400912996777
30,1061383,1060005,2.1216237349283364,42.90151146609959,39.07218765094983,3.8293238151497633,-42.37414679079356,-38.70885341898813,-3.665293371805433,0.6117848564782075,0.3922373540740742,0.2195475024041333,0.8333333333333334,0.0,0.8333333333333334,1.3649602217285433,0.0431961067240674,1.3217641150044759,8.0,7.0,1.0,0.4666666666666667,0.4666666666666667,0.0,2.2054,2.2054,0.0,0.0,0.00045,-0.00045
30,1061066,1060018,2.1252061340720565,43.97235827370907,37.84805841175191,6.124299861957162,-42.93922376303958,-37.245664617742,-5.693559145297577,1.224141595126989,0.7026173621898857,0.5215242329371033,1.0,0.1666666666666666,0.8333333333333334,1.556924218726939,0.3457226622298542,1.2112015564970848,8.0,7.0,1.0,0.4505747126436781,0.4528735632183908,-0.0022988505747126853,2.3019517241379317,2.288158620689656,0.01379310344827589,0.000276923076923,0.0002571428571428,1.978021978020001e-05
30,1061194,1060020,2.1383682590933737,42.99260119239202,38.48629389146846,4.5063073009235595,-42.498957658305,-38.23042237024048,-4.26853528806452,0.5610284916828604,0.2654582286954786,0.2955702629873818,1.0,0.0,1.0,1.559685896088762,0.0253518490449005,1.5343340470438616,8.0,7.0,1.0,0.4896551724137931,0.4942528735632184,-0.004597701149425315,2.0674689655172416,2.03988275862069,0.02758620689655178,0.0010208163265306,0.0,0.0010208163265306
30,1062707,1060000,2.8482348687691004,41.11271244891667,37.23241963149922,3.8802928174174482,-40.24918592051339,-36.71648836193267,-3.532697558580722,1.0171908765534776,0.5827131610322647,0.43447771552121295,1.0,0.0,1.0,1.5465243600557004,0.0659734441228775,1.480550915932823,8.0,7.0,1.0,0.5333333333333333,0.5310344827586206,0.0022988505747126853,1.8054,1.819193103448276,-0.013793103448276112,0.0253839324868081,0.0016,0.023783932486808098
30,1062306,1060007,3.044806518690975,42.98233204478993,36.61469692169792,6.367635123092008,-42.22044151029546,-36.14206413071178,-6.078377379583678,0.8925532915748742,0.5426456183623073,0.3499076732125669,0.8333333333333334,0.0,0.8333333333333334,1.3573687098957077,0.0506231723911065,1.306745537504601,8.0,7.0,1.0,0.464367816091954,0.503448275862069,-0.039080459770114984,2.219193103448276,1.9847103448275865,0.23448275862068946,0.0009570153061224,0.0003,0.0006570153061223999
