n,family,sample_id,seed,beta,log_H,penalty_neutral,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_dim_multi_consistency,geo_dim_multi_consistency_var,geo_d_order,geo_d_chain,geo_d_width,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,gamma,variant,scale_consistency,scale_multi,score,penalty_effective
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.0,A2_full,0.8627348748221454,0.7468803683857239,-27.36602426803175,9.903069600868196
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.0,replace_dim_with_consistency_scale_matched,0.8627348748221454,0.7468803683857239,-27.36602426803175,8.534958100741736
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.0,replace_dim_with_multi_consistency_scale_matched,0.8627348748221454,0.7468803683857239,-27.36602426803175,8.14392631112456
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.0,width_height_plus_multi_consistency_only,0.8627348748221454,0.7468803683857239,-27.36602426803175,6.188051110942774
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.1,A2_full,0.8627348748221454,0.7468803683857239,-26.37571730794493,9.903069600868196
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.1,replace_dim_with_consistency_scale_matched,0.8627348748221454,0.7468803683857239,-26.51252845795758,8.534958100741736
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.1,replace_dim_with_multi_consistency_scale_matched,0.8627348748221454,0.7468803683857239,-26.551631636919296,8.14392631112456
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.1,width_height_plus_multi_consistency_only,0.8627348748221454,0.7468803683857239,-26.747219156937472,6.188051110942774
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.2,A2_full,0.8627348748221454,0.7468803683857239,-25.385410347858112,9.903069600868196
20,KR_like,0,20000,1.0,27.36602426803175,0.06910486111111111,1.206948960812582,0.6830239522437669,2.826452631578947,4.7477854870166105,2.826452631578947,5.005394,0.0,2.0,4.960698506796256,0.2129130197796456,2.826452631578947,2.7268330278608417,3.7516636192032218,0.0,0.0017728531855955671,0.05651132812499995,0.32110000000000005,0.03125000000000001,9.833964739757086,0.2,replace_dim_with_consistency_scale_matched,0.8627348748221454,0.7468803683857239,-25.659032647883404,8.534958100741736
