variant,n,gamma,family,mean_score,std_score,mean_log_H,mean_penalty,mean_dim_consistency,mean_dim_multi_consistency,mean_d_order,mean_d_chain,mean_d_width,count
A2_full,20,0.0,KR_like,-27.454026705639002,0.12445424078607056,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,0.0,lorentzian_like_2d,-22.390274889645042,1.400604411585777,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,0.1,KR_like,-26.374127040141325,0.002248978295666361,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,0.1,lorentzian_like_2d,-22.319579282615607,1.4634712759493471,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,0.2,KR_like,-25.294227374643647,0.1289521973774033,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,0.2,lorentzian_like_2d,-22.248883675586168,1.5263381403129186,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,0.4,KR_like,-23.134428043648285,0.3823586355408721,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,0.4,lorentzian_like_2d,-22.107492461527297,1.6520718690400642,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,0.6,lorentzian_like_2d,-21.966101247468426,1.7778055977672047,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,0.6,KR_like,-20.97462871265293,0.635765073704346,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,0.8,lorentzian_like_2d,-21.824710033409552,1.9035393264943465,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,0.8,KR_like,-18.814829381657567,0.8891715118678098,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,1.0,lorentzian_like_2d,-21.68331881935068,2.029273055221491,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,1.0,KR_like,-16.65503005066221,1.1425779500312832,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,1.5,lorentzian_like_2d,-21.329840784203505,2.343607377039351,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,1.5,KR_like,-11.255531723173814,1.7760940454399603,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,20,2.0,lorentzian_like_2d,-20.976362749056324,2.657941698857208,22.390274889645042,0.7069560702943581,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
A2_full,20,2.0,KR_like,-5.856033395685415,2.4096101408486366,27.454026705639002,10.798996654976794,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
A2_full,24,0.0,KR_like,-35.413791586093524,0.0666270017364848,35.413791586093524,10.463979941270559,5.160889563363032,5.862703579305413,2.7336608695652176,2.8927892607143724,4.584962500721155,2
A2_full,24,0.0,lorentzian_like_2d,-28.621621820999167,0.11579725060702145,28.621621820999167,0.5838481801997656,1.229992612463669,1.2754350404534027,1.8097478260869564,1.7034511049233647,2.1592527316029195,2
A2_full,24,0.1,KR_like,-34.36739359196646,0.08976561742617743,35.413791586093524,10.463979941270559,5.160889563363032,5.862703579305413,2.7336608695652176,2.8927892607143724,4.584962500721155,2
A2_full,24,0.1,lorentzian_like_2d,-28.563237002979193,0.10443873417304582,28.621621820999167,0.5838481801997656,1.229992612463669,1.2754350404534027,1.8097478260869564,1.7034511049233647,2.1592527316029195,2
A2_full,24,0.2,KR_like,-33.320995597839406,0.11290423311585751,35.413791586093524,10.463979941270559,5.160889563363032,5.862703579305413,2.7336608695652176,2.8927892607143724,4.584962500721155,2
A2_full,24,0.2,lorentzian_like_2d,-28.504852184959216,0.09308021773907395,28.621621820999167,0.5838481801997656,1.229992612463669,1.2754350404534027,1.8097478260869564,1.7034511049233647,2.1592527316029195,2
A2_full,24,0.4,KR_like,-31.228199609585296,0.1591814644952315,35.413791586093524,10.463979941270559,5.160889563363032,5.862703579305413,2.7336608695652176,2.8927892607143724,4.584962500721155,2
