n,family,mean_score,mean_identity_variant,mean_score_A2,count,zeta,variant
30,lorentzian_like_2d,-40.429430846095755,-0.9907473053085982,-37.45718893016996,8,3.0,switch_zscore
30,multi_layer_random,-39.241491478162686,0.9907473053085979,-42.21373339408848,8,3.0,switch_zscore
40,lorentzian_like_2d,-59.66748831612528,-0.9749005254295223,-56.74278673983671,8,3.0,switch_zscore
40,multi_layer_random,-59.067113973654756,0.9749005254295223,-61.991815549943325,8,3.0,switch_zscore
30,lorentzian_like_2d,-40.924804498750056,-0.9907473053085982,-37.45718893016996,8,3.5,switch_zscore
30,multi_layer_random,-38.74611782550839,0.9907473053085979,-42.21373339408848,8,3.5,switch_zscore
40,lorentzian_like_2d,-60.15493857884004,-0.9749005254295223,-56.74278673983671,8,3.5,switch_zscore
40,multi_layer_random,-58.57966371094,0.9749005254295223,-61.991815549943325,8,3.5,switch_zscore
30,lorentzian_like_2d,-41.42017815140435,-0.9907473053085982,-37.45718893016996,8,4.0,switch_zscore
30,multi_layer_random,-38.25074417285409,0.9907473053085979,-42.21373339408848,8,4.0,switch_zscore
40,lorentzian_like_2d,-60.6423888415548,-0.9749005254295223,-56.74278673983671,8,4.0,switch_zscore
40,multi_layer_random,-58.09221344822523,0.9749005254295223,-61.991815549943325,8,4.0,switch_zscore
30,lorentzian_like_2d,-42.41092545671295,-0.9907473053085982,-37.45718893016996,8,5.0,switch_zscore
30,multi_layer_random,-37.25999686754549,0.9907473053085979,-42.21373339408848,8,5.0,switch_zscore
40,lorentzian_like_2d,-61.61728936698432,-0.9749005254295223,-56.74278673983671,8,5.0,switch_zscore
40,multi_layer_random,-57.11731292279571,0.9749005254295223,-61.991815549943325,8,5.0,switch_zscore
30,lorentzian_like_2d,-43.40167276202155,-0.9907473053085982,-37.45718893016996,8,6.0,switch_zscore
30,multi_layer_random,-36.269249562236894,0.9907473053085979,-42.21373339408848,8,6.0,switch_zscore
40,lorentzian_like_2d,-62.59218989241384,-0.9749005254295223,-56.74278673983671,8,6.0,switch_zscore
40,multi_layer_random,-56.142412397366186,0.9749005254295223,-61.991815549943325,8,6.0,switch_zscore
30,lorentzian_like_2d,-37.45718893016996,0.0546358364708152,-37.45718893016996,8,0.0,blind_self_hit_zscore
30,multi_layer_random,-42.21373339408848,-0.054635836470815366,-42.21373339408848,8,0.0,blind_self_hit_zscore
40,lorentzian_like_2d,-56.74278673983671,-0.04607756775840918,-56.74278673983671,8,0.0,blind_self_hit_zscore
40,multi_layer_random,-61.991815549943325,0.04607756775840913,-61.991815549943325,8,0.0,blind_self_hit_zscore
