n,kappa,family,d_eff,c1_c0,width_ratio,score_flat_ref,score_adapt_ref,rank_flat_ref,rank_adapt_ref
256,1.0,Lor4D,3.9446003676470593,0.34143279555497946,0.240234375,0.6517825037879992,122.47029347655206,1,2
256,1.0,FLRW_kappa,4.479917463235294,0.26938512085243527,0.33740234375,70.54302334319887,0.39613006847423526,2,1
256,1.0,Lor3D,3.307330147058823,0.4998157099922088,0.15673828125,134.50687186624205,578.6630891925616,3,3
256,1.0,KR_like,1.240694117647059,0.0,0.5,1986.421796321082,6232.533964274431,4,4
512,1.0,Lor4D,3.96463854880137,0.3693671109179585,0.19921875,0.07196450759289305,435.7595157847099,1,2
512,1.0,FLRW_kappa,4.5093941597358125,0.3218471102680093,0.272216796875,155.37840855095791,0.6022740566359361,2,1
512,1.0,Lor3D,3.237565790117417,0.5423091055095951,0.12060546875,383.5100844818501,2425.9323818114262,3,3
512,1.0,KR_like,1.2480614481409005,0.0,0.5,3857.166270146099,16667.90442174097,4,4
1024,1.0,Lor4D,3.9452168300953074,0.3959857546344875,0.1683349609375,0.6027467080995139,1574.339756357022,1,2
1024,1.0,FLRW_kappa,4.505570397269062,0.3553071682940558,0.23486328125,408.7392216760559,0.40903130566378926,2,1
1024,1.0,Lor3D,3.264673048020528,0.5688339313351084,0.08935546875,1014.6918713745122,6751.770667167969,3,3
1024,1.0,KR_like,1.2517343108504397,0.0,0.5,9841.799977443963,89375.99320697419,4,4
