n,gamma,K,lor4d_a2_rank,lor4d_in_topk,lor4d_sequential_rank,lor4d_a4_only_rank,lor4d_a6_hybrid_rank,sequential_top1,topk_families
20,0.1,10,2,True,3.0,3,2,lorentzian_like_5d,"['KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_5d', 'lorentzian_like_3d', 'transitive_percolation', 'KR_like', 'multi_layer_random', 'random_layered_k4_uniform', 'random_layered_k6_uniform', 'KR_4layer']"
20,0.2,3,3,True,1.0,2,4,lorentzian_like_4d,"['lorentzian_like_3d', 'KR_2layer', 'lorentzian_like_4d']"
20,0.2,5,3,True,1.0,2,4,lorentzian_like_4d,"['lorentzian_like_3d', 'KR_2layer', 'lorentzian_like_4d', 'KR_like', 'KR_4layer']"
20,0.2,8,3,True,1.0,2,4,lorentzian_like_4d,"['lorentzian_like_3d', 'KR_2layer', 'lorentzian_like_4d', 'KR_like', 'KR_4layer', 'multi_layer_random', 'random_layered_k4_uniform', 'transitive_percolation']"
20,0.2,10,3,True,2.0,2,4,lorentzian_like_5d,"['lorentzian_like_3d', 'KR_2layer', 'lorentzian_like_4d', 'KR_like', 'KR_4layer', 'multi_layer_random', 'random_layered_k4_uniform', 'transitive_percolation', 'random_layered_k6_uniform', 'lorentzian_like_5d']"
20,0.5,3,15,False,,1,14,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d']"
20,0.5,5,15,False,,1,14,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'multi_layer_random', 'random_layered_k6_longjump']"
20,0.5,8,15,False,,1,14,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'random_layered_k4_uniform', 'random_layered_k6_tapered']"
20,0.5,10,15,False,,1,14,lorentzian_like_3d,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'random_layered_k4_uniform', 'random_layered_k6_tapered', 'random_layered_k6_uniform', 'lorentzian_like_3d']"
20,1.0,3,16,False,,1,15,KR_4layer,"['KR_4layer', 'lorentzian_like_2d', 'random_layered_k6_longjump']"
20,1.0,5,16,False,,1,15,KR_like,"['KR_4layer', 'lorentzian_like_2d', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'KR_like']"
20,1.0,8,16,False,,1,15,KR_like,"['KR_4layer', 'lorentzian_like_2d', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'KR_like', 'random_layered_k6_tapered', 'multi_layer_random', 'random_layered_k4_uniform']"
20,1.0,10,16,False,,1,15,KR_like,"['KR_4layer', 'lorentzian_like_2d', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'KR_like', 'random_layered_k6_tapered', 'multi_layer_random', 'random_layered_k4_uniform', 'random_layered_k8_uniform', 'interval_order']"
20,2.0,3,16,False,,3,15,KR_4layer,"['lorentzian_like_2d', 'KR_4layer', 'random_layered_k6_longjump']"
20,2.0,5,16,False,,3,15,KR_4layer,"['lorentzian_like_2d', 'KR_4layer', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'random_layered_k6_tapered']"
20,2.0,8,16,False,,3,15,KR_like,"['lorentzian_like_2d', 'KR_4layer', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'random_layered_k6_tapered', 'interval_order', 'KR_like', 'multi_layer_random']"
20,2.0,10,16,False,,3,15,KR_like,"['lorentzian_like_2d', 'KR_4layer', 'random_layered_k6_longjump', 'random_layered_k6_middle_heavy', 'random_layered_k6_tapered', 'interval_order', 'KR_like', 'multi_layer_random', 'random_layered_k4_uniform', 'random_layered_k8_uniform']"
40,0.0,3,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d']"
40,0.0,5,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_3d', 'transitive_percolation']"
40,0.0,8,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_3d', 'transitive_percolation', 'KR_like', 'multi_layer_random', 'absolute_layered']"
40,0.0,10,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_3d', 'transitive_percolation', 'KR_like', 'multi_layer_random', 'absolute_layered', 'KR_4layer', 'random_layered_k4_uniform']"
40,0.1,3,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d']"
40,0.1,5,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_3d', 'KR_like']"
40,0.1,8,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_3d', 'KR_like', 'transitive_percolation', 'multi_layer_random', 'absolute_layered']"
40,0.1,10,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_3d', 'KR_like', 'transitive_percolation', 'multi_layer_random', 'absolute_layered', 'KR_4layer', 'random_layered_k4_uniform']"
40,0.2,3,3,True,3.0,3,3,lorentzian_like_5d,"['KR_2layer', 'lorentzian_like_5d', 'lorentzian_like_4d']"
40,0.2,5,3,True,3.0,3,3,lorentzian_like_5d,"['KR_2layer', 'lorentzian_like_5d', 'lorentzian_like_4d', 'lorentzian_like_3d', 'KR_like']"
40,0.2,8,3,True,3.0,3,3,lorentzian_like_5d,"['KR_2layer', 'lorentzian_like_5d', 'lorentzian_like_4d', 'lorentzian_like_3d', 'KR_like', 'transitive_percolation', 'multi_layer_random', 'KR_4layer']"
40,0.2,10,3,True,3.0,3,3,lorentzian_like_5d,"['KR_2layer', 'lorentzian_like_5d', 'lorentzian_like_4d', 'lorentzian_like_3d', 'KR_like', 'transitive_percolation', 'multi_layer_random', 'KR_4layer', 'absolute_layered', 'random_layered_k4_uniform']"
