dimension,wall_proxy,nonlink_mc,P_gam
2,0.9666134291314924,0.7457023822874482,0.7819927949423839
3,0.6573103379691372,0.4539682107038831,0.4669279759764639
4,0.2758202716849098,0.2109043163169761,0.2122355922349987
5,0.0856804510000923,0.0746827210341022,0.0745426568263398
