step,F,comp_frac,d_eff,trajectory,color
440,103.75799584027511,0.6111111111111112,1.338733333333333,Microcanonical swap,#2563eb
450,103.75799584027511,0.6111111111111112,1.338733333333333,Microcanonical swap,#2563eb
460,103.75799584027511,0.6111111111111112,1.338733333333333,Microcanonical swap,#2563eb
470,103.75799584027511,0.6111111111111112,1.338733333333333,Microcanonical swap,#2563eb
480,103.75799584027511,0.6111111111111112,1.338733333333333,Microcanonical swap,#2563eb
490,103.75799584027511,0.6111111111111112,1.338733333333333,Microcanonical swap,#2563eb
500,105.25951392836146,0.6001984126984127,1.404209523809524,Microcanonical swap,#2563eb
510,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
520,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
530,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
540,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
550,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
560,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
570,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
580,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
590,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
600,97.58208386370218,0.5788690476190477,1.532185714285714,Microcanonical swap,#2563eb
610,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
620,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
630,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
640,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
650,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
660,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
670,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
680,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
690,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
700,96.05777153585196,0.5813492063492064,1.5173047619047615,Microcanonical swap,#2563eb
710,97.68150151244218,0.5992063492063492,1.410161904761905,Microcanonical swap,#2563eb
720,97.68150151244218,0.5992063492063492,1.410161904761905,Microcanonical swap,#2563eb
730,97.68150151244218,0.5992063492063492,1.410161904761905,Microcanonical swap,#2563eb
740,98.90276326007856,0.6021825396825397,1.3923047619047622,Microcanonical swap,#2563eb
750,98.90276326007856,0.6021825396825397,1.3923047619047622,Microcanonical swap,#2563eb
760,98.90276326007856,0.6021825396825397,1.3923047619047622,Microcanonical swap,#2563eb
770,98.90276326007856,0.6021825396825397,1.3923047619047622,Microcanonical swap,#2563eb
780,98.90276326007856,0.6021825396825397,1.3923047619047622,Microcanonical swap,#2563eb
790,98.90276326007856,0.6021825396825397,1.3923047619047622,Microcanonical swap,#2563eb
800,102.24950013118928,0.6180555555555556,1.2970666666666666,Microcanonical swap,#2563eb
810,102.24950013118928,0.6180555555555556,1.2970666666666666,Microcanonical swap,#2563eb
820,102.24950013118928,0.6180555555555556,1.2970666666666666,Microcanonical swap,#2563eb
830,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
840,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
850,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
860,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
870,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
880,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
890,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
900,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
910,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
920,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
930,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
940,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
950,95.6008540543147,0.6016865079365079,1.3952809523809526,Microcanonical swap,#2563eb
960,99.51902424255351,0.5877976190476191,1.4786142857142857,Microcanonical swap,#2563eb
970,99.51902424255351,0.5877976190476191,1.4786142857142857,Microcanonical swap,#2563eb
980,99.51902424255351,0.5877976190476191,1.4786142857142857,Microcanonical swap,#2563eb
990,98.52066744155248,0.5744047619047619,1.558971428571429,Microcanonical swap,#2563eb
1000,98.52066744155248,0.5744047619047619,1.558971428571429,Microcanonical swap,#2563eb
0,70.8504925753255,0.125,4.2554,Structured initial condition,#16a34a
10,33.81789420197149,0.4,2.6054,Structured initial condition,#16a34a
20,24.42714087226653,0.5166666666666667,1.9054,Structured initial condition,#16a34a
30,25.077437793218014,0.6666666666666666,1.0054000000000003,Structured initial condition,#16a34a
40,26.503132041633304,0.5083333333333333,1.9554,Structured initial condition,#16a34a
50,22.20324796937643,0.65,1.1054,Structured initial condition,#16a34a
60,23.09621359848325,0.5166666666666667,1.9054,Structured initial condition,#16a34a
70,19.499278173396107,0.6416666666666667,1.1553999999999998,Structured initial condition,#16a34a
80,23.3900798179026,0.5166666666666667,1.9054,Structured initial condition,#16a34a
90,24.260377404616595,0.5416666666666666,1.7554000000000003,Structured initial condition,#16a34a
100,21.684287657939823,0.8083333333333333,0.5,Structured initial condition,#16a34a
110,23.16247068567055,0.4833333333333333,2.1054,Structured initial condition,#16a34a
120,27.853631582663937,0.4,2.6054,Structured initial condition,#16a34a
130,25.108059202804508,0.525,1.8554,Structured initial condition,#16a34a
140,28.382402338861432,0.4166666666666667,2.5054,Structured initial condition,#16a34a
150,17.509366387410296,0.55,1.7053999999999998,Structured initial condition,#16a34a
160,21.643279177788504,0.8666666666666667,0.5,Structured initial condition,#16a34a
170,26.60993816488685,0.5416666666666666,1.7554000000000003,Structured initial condition,#16a34a
180,20.16489722033112,0.7083333333333334,0.7553999999999998,Structured initial condition,#16a34a
190,21.78208260366623,0.6083333333333333,1.3554000000000004,Structured initial condition,#16a34a
200,18.36397891157424,0.875,0.5,Structured initial condition,#16a34a
210,25.881736964182263,0.425,2.4554,Structured initial condition,#16a34a
220,23.094429501012208,0.6333333333333333,1.2054000000000002,Structured initial condition,#16a34a
230,25.72787508869598,0.5,2.0054,Structured initial condition,#16a34a
240,29.854847974690536,0.4666666666666667,2.2054,Structured initial condition,#16a34a
250,26.741615709857992,0.75,0.5054000000000001,Structured initial condition,#16a34a
260,28.067816959893,0.5,2.0054,Structured initial condition,#16a34a
270,22.08837090029041,0.5083333333333333,1.9554,Structured initial condition,#16a34a
280,31.53602612255221,0.45,2.3054,Structured initial condition,#16a34a
290,31.15278584447929,0.725,0.6554000000000002,Structured initial condition,#16a34a
300,28.60891619852472,0.4833333333333333,2.1054,Structured initial condition,#16a34a
