n,gamma,KR_like_mean,lorentzian_like_2d_mean,KR_like_std,lorentzian_like_2d_std,delta_kr_minus_lor2d
52,0.0,-108.74248680324015,-79.11807213743637,0.2974929126249891,1.094708180190486,-29.624414665803783
52,0.2,-105.68022384932269,-78.99812614800821,0.2743613863099545,1.0689169244097836,-26.682097701314476
52,0.4,-102.61796089540522,-78.87818015858005,0.2791534115067182,1.043972275047496,-23.739780736825168
52,0.8,-96.49343498757028,-78.63828817972373,0.3617630436321342,0.9968748845354442,-17.855146807846552
52,1.2,-90.36890907973532,-78.3983962008674,0.4973325354413681,0.9539550685567468,-11.970512878867922
52,1.6,-84.2443831719004,-78.15850422201108,0.6537033580818594,0.9158003730565234,-6.08587894988932
52,2.0,-78.11985726406546,-77.91861224315474,0.8190468780325527,0.8830287010135529,-0.2012450209107186
56,0.0,-120.72368819842458,-87.39478257924065,0.126471827419099,1.3186617379604837,-33.32890561918393
56,0.2,-117.38028330394704,-87.30033339364556,0.1497774526426006,1.2948136171786655,-30.07994991030148
56,0.4,-114.03687840946952,-87.20588420805046,0.2861608396005021,1.2734536825812388,-26.83099420141906
56,0.8,-107.35006862051448,-87.01698583686024,0.5998726894571268,1.2386983497650887,-20.333082783654234
56,1.2,-100.66325883155942,-86.82808746567005,0.9218854459409292,1.2152928615169762,-13.835171365889366
56,1.6,-93.97644904260436,-86.63918909447985,1.245778721027292,1.2038993705080847,-7.337259948124512
56,2.0,-87.28963925364931,-86.45029072328964,1.5703893729061535,1.2048586916637736,-0.8393485303596719
