dropped_term,n,gamma,lor4d_rank,lor4d_score,top1_family,top1_score,total_families
info_spectral_entropy_deficit,20,1.0,15,2.19300654067189,KR_like,-0.6532815589001627,17
info_spectral_entropy_deficit,40,0.0,3,-1.5746100414632447,lorentzian_like_5d,-2.0394230331051957,17
info_spectral_entropy_deficit,40,0.2,1,-0.9921682407672585,lorentzian_like_4d,-0.9921682407672585,17
info_spectral_entropy_deficit,40,0.5,6,-0.11850553972327932,KR_like,-0.816529312283498,17
info_spectral_entropy_deficit,40,1.0,14,1.3375989620166862,KR_like,-1.0152532975870507,17
none,10,0.0,3,-0.9030812202674904,lorentzian_like_5d,-1.2066185716902684,17
none,10,0.2,2,-0.2712821496890593,transitive_percolation,-0.3197861252010423,17
none,10,0.5,13,0.6764164561785874,lorentzian_like_3d,0.030168090490684946,17
none,10,1.0,15,2.255914132624665,KR_like,-0.07473256285878258,17
none,20,0.0,3,-1.5310771197258217,lorentzian_like_5d,-1.825297842889253,17
none,20,0.2,1,-0.819905060466633,lorentzian_like_4d,-0.819905060466633,17
none,20,0.5,8,0.24685302842214987,lorentzian_like_3d,-0.4311430415447548,17
none,20,1.0,15,2.0247831765701214,KR_like,-0.654318832154513,17
none,40,0.0,3,-1.5746100414632447,lorentzian_like_5d,-2.0394230331051957,17
none,40,0.2,1,-0.9893367779124258,lorentzian_like_4d,-0.9893367779124258,17
none,40,0.5,6,-0.11142688258619726,KR_like,-0.8250373900360977,17
none,40,1.0,14,1.3517562762908502,KR_like,-1.0322694530922503,17
