n,pair_mlr_seed,pair_lor_seed,family,seed,layer_count,mean_layer_size,layer_size_std,cover_density,reduction_edge_count,reduction_edge_density,layer_signature_redundancy,adjacent_edge_fraction,long_edge_fraction,mean_layer_gap
30,1061336,1060002,multi_layer_random,1061336,5.0,6.0,1.0954451150103321,0.15402298850574714,67.0,0.15402298850574714,0.0,0.2374429223744292,0.7625570776255708,2.2922374429223744
30,1061336,1060002,lorentzian_like_2d,1060002,7.0,4.285714285714286,1.0301575072754257,0.13793103448275862,60.0,0.13793103448275862,0.09285714285714285,0.16972477064220184,0.8302752293577982,3.0688073394495414
30,1061370,1060019,multi_layer_random,1061370,5.0,6.0,1.4142135623730951,0.15632183908045977,68.0,0.15632183908045977,0.0,0.19339622641509435,0.8066037735849056,2.4245283018867925
30,1061370,1060019,lorentzian_like_2d,1060019,7.0,4.285714285714286,1.9794866372215738,0.15402298850574714,67.0,0.15402298850574714,0.033333333333333326,0.2037914691943128,0.7962085308056872,2.7156398104265405
30,1061313,1060004,multi_layer_random,1061313,5.0,6.0,1.2649110640673518,0.14942528735632185,65.0,0.14942528735632185,0.0,0.21634615384615385,0.7836538461538461,2.5096153846153846
30,1061313,1060004,lorentzian_like_2d,1060004,9.0,3.3333333333333335,1.8257418583505538,0.1310344827586207,57.0,0.1310344827586207,0.05952380952380952,0.16666666666666666,0.8333333333333334,3.5714285714285716
30,1061107,1060012,multi_layer_random,1061107,5.0,6.0,1.6733200530681511,0.15402298850574714,67.0,0.15402298850574714,0.0,0.23214285714285715,0.7678571428571429,2.3482142857142856
30,1061107,1060012,lorentzian_like_2d,1060012,7.0,4.285714285714286,1.2777531299998797,0.15402298850574714,67.0,0.15402298850574714,0.03571428571428571,0.1981981981981982,0.8018018018018018,2.972972972972973
30,1061722,1060001,multi_layer_random,1061722,5.0,6.0,0.6324555320336759,0.15862068965517243,69.0,0.15862068965517243,0.06190476190476191,0.20353982300884957,0.7964601769911505,2.495575221238938
30,1061722,1060001,lorentzian_like_2d,1060001,8.0,3.75,1.1989578808281798,0.15632183908045977,68.0,0.15632183908045977,0.0,0.1504424778761062,0.8495575221238938,3.4601769911504423
30,1061383,1060005,multi_layer_random,1061383,5.0,6.0,0.6324555320336759,0.15172413793103448,66.0,0.15172413793103448,0.0,0.1921182266009852,0.8078817733990148,2.4827586206896552
30,1061383,1060005,lorentzian_like_2d,1060005,7.0,4.285714285714286,1.979486637221574,0.1310344827586207,57.0,0.1310344827586207,0.033333333333333326,0.22167487684729065,0.7783251231527094,2.70935960591133
