n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
20,KR_like,0,0.0,1.0,A1,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,0.06910486111111111,-27.36602426803175,-1.3683012134015875,-0.45675016605482627,-0.016164287346325083,-0.6680653963401624,5.444251003571674,1.5817847880126672,0.016164287346325083,0.0,robust_zscore,n
20,KR_like,0,0.0,1.0,A2,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,9.903069600868196,-27.36602426803175,-1.3683012134015875,-0.45675016605482627,-0.016164287346325083,5.548940111793687,5.444251003571674,1.5817847880126672,0.016164287346325083,0.0,robust_zscore,n
20,KR_like,0,0.0,1.0,A3,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,9.833964739757086,-27.36602426803175,-1.3683012134015875,-0.45675016605482627,-0.016164287346325083,5.505252208335004,5.444251003571674,1.5817847880126672,0.016164287346325083,0.0,robust_zscore,n
20,KR_like,0,0.2,1.0,A1,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,0.06910486111111111,-27.352203295809527,-1.3676101647904764,-0.45651948836135825,-0.016164287346325083,-0.6680653963401624,5.444251003571674,1.5817847880126672,-0.1174487919217074,0.0,robust_zscore,n
20,KR_like,0,0.2,1.0,A2,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,9.903069600868196,-25.385410347858112,-1.2692705173929055,-0.4236929076065616,-0.016164287346325083,5.548940111793687,5.444251003571674,1.5817847880126672,1.1259523097050625,0.0,robust_zscore,n
20,KR_like,0,0.2,1.0,A3,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,9.833964739757086,-25.399231320080332,-1.2699615660040167,-0.42392358530002955,-0.016164287346325083,5.505252208335004,5.444251003571674,1.5817847880126672,1.1172147290133259,0.0,robust_zscore,n
20,KR_like,0,0.4,1.0,A1,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,0.06910486111111111,-27.338382323587307,-1.3669191161793655,-0.4562888106678903,-0.016164287346325083,-0.6680653963401624,5.444251003571674,1.5817847880126672,-0.2510618711897399,0.0,robust_zscore,n
20,KR_like,0,0.4,1.0,A2,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,9.903069600868196,-23.404796427684474,-1.1702398213842238,-0.39063564915829685,-0.016164287346325083,5.548940111793687,5.444251003571674,1.5817847880126672,2.2357403320638003,0.0,robust_zscore,n
20,KR_like,0,0.4,1.0,A3,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,9.833964739757086,-23.432438372128917,-1.1716219186064458,-0.39109700454523283,-0.016164287346325083,5.505252208335004,5.444251003571674,1.5817847880126672,2.218265170680327,0.0,robust_zscore,n
20,KR_like,0,0.6,1.0,A1,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,0.06910486111111111,-27.324561351365084,-1.366228067568254,-0.45605813297442227,-0.016164287346325083,-0.6680653963401624,5.444251003571674,1.5817847880126672,-0.38467495045777234,0.0,robust_zscore,n
20,KR_like,0,0.6,1.0,A2,27.36602426803175,0.0,exact,0.06910486111111111,9.833964739757086,9.903069600868196,-21.424182507510835,-1.0712091253755418,-0.3575783907100321,-0.016164287346325083,5.548940111793687,5.444251003571674,1.5817847880126672,3.3455283544225374,0.0,robust_zscore,n
