n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
10,absolute_layered,0,0.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.0798973680354729,-0.6478303409962631,2.4917559921107157,3.8019324860143353,1.0798973680354729,0.0,robust_zscore,n
10,absolute_layered,0,0.0,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.0798973680354729,3.699218260131851,2.4917559921107157,3.8019324860143353,1.0798973680354729,0.0,robust_zscore,n
10,absolute_layered,0,0.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.0798973680354729,3.6490858601744254,2.4917559921107157,3.8019324860143353,1.0798973680354729,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-6.078486103901937,-0.6078486103901937,-0.2639852973250207,-1.0798973680354729,-0.6478303409962631,2.4917559921107157,3.8019324860143353,0.7559821975373413,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,2.185106543554139,0.2185106543554139,0.094897971423625,-1.0798973680354729,3.699218260131851,2.4917559921107157,3.8019324860143353,2.9295064981013983,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,2.089806543554139,0.20898065435541388,0.090759145011087,-1.0798973680354729,3.6490858601744254,2.4917559921107157,3.8019324860143353,2.904440298122686,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-5.983186103901937,-0.5983186103901936,-0.2598464709124827,-1.0798973680354729,-0.6478303409962631,2.4917559921107157,3.8019324860143353,0.43206702703920974,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,10.543999191010215,1.0543999191010216,0.4579200665848087,-1.0798973680354729,3.699218260131851,2.4917559921107157,3.8019324860143353,4.7791156281673235,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,10.353399191010215,1.0353399191010215,0.44964241375973274,-1.0798973680354729,3.6490858601744254,2.4917559921107157,3.8019324860143353,4.7289832282098985,0.0,robust_zscore,n
10,absolute_layered,0,1.5,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-5.887886103901937,-0.5887886103901937,-0.2557076444999447,-1.0798973680354729,-0.6478303409962631,2.4917559921107157,3.8019324860143353,0.10815185654107817,0.0,robust_zscore,n
