n,gamma,family,action_mode,normalization_method,mean_score_norm,std_score_norm,count
10,8.0,absolute_layered,A1,robust_zscore,-4.105697410597034,0.11148406915780079,10
10,10.0,transitive_percolation,A1,robust_zscore,-7.586740228531975,0.35059051882919207,10
10,10.0,lorentzian_like_3d,A1,robust_zscore,-7.420004275905716,0.32504380696158974,10
10,10.0,multi_layer_random,A1,robust_zscore,-6.993107146311272,0.4017070695751895,10
10,10.0,KR_like,A1,robust_zscore,-6.768353787891142,0.27589100708245257,10
10,10.0,lorentzian_like_2d,A1,robust_zscore,-6.368729260054827,0.5034977894237702,10
10,10.0,interval_order,A1,robust_zscore,-6.130208538452339,0.5294665029944157,10
10,10.0,absolute_layered,A1,robust_zscore,-5.4056769488713075,0.08772798166100435,10
10,15.0,lorentzian_like_3d,A1,robust_zscore,-10.71215826639641,0.3405955422971013,10
10,15.0,transitive_percolation,A1,robust_zscore,-10.565241998135564,0.5310984489048309,10
10,15.0,multi_layer_random,A1,robust_zscore,-10.345746458926184,0.40054868301129437,10
10,15.0,KR_like,A1,robust_zscore,-10.160711205998734,0.3021753960860977,10
10,15.0,lorentzian_like_2d,A1,robust_zscore,-9.74579766974588,0.5298898854754676,10
10,15.0,interval_order,A1,robust_zscore,-9.431604904765894,0.5095370959264819,10
10,15.0,absolute_layered,A1,robust_zscore,-8.65562579455699,0.034854473946607914,10
10,20.0,lorentzian_like_3d,A1,robust_zscore,-14.0043122568871,0.36957463355238185,10
10,20.0,multi_layer_random,A1,robust_zscore,-13.698385771541098,0.40408401367789404,10
10,20.0,KR_like,A1,robust_zscore,-13.553068624106325,0.3318579111923387,10
10,20.0,transitive_percolation,A1,robust_zscore,-13.54374376773915,0.7536339137435708,10
10,20.0,lorentzian_like_2d,A1,robust_zscore,-13.122866079436935,0.5600821563873637,10
10,20.0,interval_order,A1,robust_zscore,-12.733001271079448,0.5034687882081779,10
10,20.0,absolute_layered,A1,robust_zscore,-11.905574640242673,0.048745869001001266,10
12,0.0,transitive_percolation,A1,robust_zscore,-1.8193374572337024,0.6518388167533488,10
12,0.0,lorentzian_like_3d,A1,robust_zscore,-0.9955775135852717,0.4819195082151173,10
12,0.0,multi_layer_random,A1,robust_zscore,-0.08838545111699514,0.6249649694737065,10
12,0.0,KR_like,A1,robust_zscore,0.026170411038473708,0.3017463484214357,10
12,0.0,interval_order,A1,robust_zscore,0.30010651894244744,0.8277143739835203,10
12,0.0,lorentzian_like_2d,A1,robust_zscore,0.5045153527893371,0.26510723877265024,10
12,0.0,absolute_layered,A1,robust_zscore,1.2645672306276703,0.6016655588969367,10
12,0.5,transitive_percolation,A1,robust_zscore,-2.1378828832335293,0.6415449077958535,10
12,0.5,lorentzian_like_3d,A1,robust_zscore,-1.327675740168981,0.48127111132418005,10
12,0.5,multi_layer_random,A1,robust_zscore,-0.42614513044448044,0.622446334277603,10
12,0.5,KR_like,A1,robust_zscore,-0.3136062797728872,0.303321894675433,10
12,0.5,interval_order,A1,robust_zscore,-0.03599626023557115,0.8264141619731196,10
12,0.5,lorentzian_like_2d,A1,robust_zscore,0.16690062335505024,0.2647311222464194,10
12,0.5,absolute_layered,A1,robust_zscore,0.938444838232322,0.5915000971960239,10
12,1.0,transitive_percolation,A1,robust_zscore,-2.4564283092333556,0.631530753107115,10
12,1.0,lorentzian_like_3d,A1,robust_zscore,-1.6597739667526903,0.48079086243091823,10
