scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
1.550,1.55,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,0.1,KR_like,-107.17344315712191,0.4393420343326312,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,0.1,lorentzian_like_2d,-79.90837569768492,1.325551615931794,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,0.2,KR_like,-105.65123590142474,0.49816143172361194,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,0.2,lorentzian_like_2d,-79.76015748807853,1.3362286013927518,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,0.4,KR_like,-102.60682139003043,0.6158002265055885,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,0.4,lorentzian_like_2d,-79.46372106886578,1.357582572314668,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,0.6,KR_like,-99.56240687863611,0.7334390212875701,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,0.6,lorentzian_like_2d,-79.16728464965301,1.3789365432365839,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,0.8,KR_like,-96.51799236724179,0.8510778160695316,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,0.8,lorentzian_like_2d,-78.87084823044026,1.400290514158515,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,1.0,KR_like,-93.47357785584748,0.9687166108515082,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,1.0,lorentzian_like_2d,-78.57441181122749,1.421644485080416,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,1.5,KR_like,-85.86254157736168,1.262813597806447,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,1.5,lorentzian_like_2d,-77.83332076319559,1.475029412385206,1.4821820960638106,80.0565939072913,exact,2
1.550,1.55,52,2.0,KR_like,-78.25150529887588,1.556910584761361,15.22207255697159,108.69565041281906,sis,2
1.550,1.55,52,2.0,lorentzian_like_2d,-77.09222971516368,1.528414339689996,1.4821820960638106,80.0565939072913,exact,2
1.580,1.58,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,0.1,KR_like,-107.16223904078888,0.4404756564367936,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,0.1,lorentzian_like_2d,-79.90570338895049,1.325671037630461,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,0.2,KR_like,-105.62882766875869,0.5004286759319518,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,0.2,lorentzian_like_2d,-79.75481287060967,1.3364674447901013,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,0.4,KR_like,-102.56200492469833,0.6203347149222533,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,0.4,lorentzian_like_2d,-79.45303183392805,1.3580602591093767,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,0.6,KR_like,-99.49518218063795,0.7402407539125648,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,0.6,lorentzian_like_2d,-79.15125079724643,1.3796530734286523,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,0.8,KR_like,-96.42835943657758,0.8601467929028713,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,0.8,lorentzian_like_2d,-78.8494697605648,1.4012458877479177,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,1.0,KR_like,-93.3615366925172,0.9800528318931778,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,1.0,lorentzian_like_2d,-78.54768872388317,1.4228387020671782,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,1.5,KR_like,-85.69447983236628,1.279817929368934,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,1.5,lorentzian_like_2d,-77.79323613217912,1.4768207378653542,1.5089051834081262,80.0565939072913,exact,2
1.580,1.58,52,2.0,KR_like,-78.02742297221536,1.5795830268447053,15.334113720301854,108.69565041281906,sis,2
1.580,1.58,52,2.0,lorentzian_like_2d,-77.03878354047505,1.5308027736635204,1.5089051834081262,80.0565939072913,exact,2
1.600,1.6,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,15.4088078291887,108.69565041281906,sis,2
1.600,1.6,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.5267205749710038,80.0565939072913,exact,2
1.600,1.6,52,0.1,KR_like,-107.15476962990019,0.44123140450624193,15.4088078291887,108.69565041281906,sis,2
