scale_label,n,gamma_c_est,status,min_delta_score,max_delta_score
1.550,52,,no_cross_left_never_wins,1.1592755837122013,28.639056505527762
1.580,52,,no_cross_left_never_wins,0.9886394317403102,28.639056505527762
1.600,52,,no_cross_left_never_wins,0.8748819970923734,28.639056505527762
1.620,52,,no_cross_left_never_wins,0.7611245624444507,28.639056505527762
1.640,52,,no_cross_left_never_wins,0.6473671277965138,28.639056505527762
1.660,52,,no_cross_left_never_wins,0.533609693148577,28.639056505527762
1.680,52,,no_cross_left_never_wins,0.4198522585006401,28.639056505527762
1.700,52,,no_cross_left_never_wins,0.30609482385271747,28.639056505527762
1.720,52,,no_cross_left_never_wins,0.1923373892047806,28.639056505527762
1.740,52,,no_cross_left_never_wins,0.07857995455684375,28.639056505527762
1.760,52,1.9975464048937637,crossing,-0.035177480091093116,28.639056505527762
1.780,52,1.9896529832481344,crossing,-0.14893491473902998,28.639056505527762
1.800,52,1.9818216987002641,crossing,-0.26269234938696684,28.639056505527762
1.820,52,1.9740518204109148,crossing,-0.3764497840349037,28.639056505527762
