n,KR_like,lorentzian_like_2d,transitive_percolation
10,0.00016010000035748817,0.00010029999975813553,
20,,0.002378300003329059,
30,0.32673720000093454,0.020694899998488836,
40,11.982003199998871,0.07266209999943385,10.710265699999582
44,56.16818500000227,0.0871740000002319,27.199720100001286
48,,0.22030260000246926,
