seed_label,n,scale_factor,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
offset_0,52,1.748,0.0,KR_like,-108.69565041281906,0.3805226369416454,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.748,0.2,KR_like,-105.5033415658288,0.5131252434986225,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,0.2,lorentzian_like_2d,-79.72488301278405,1.337804967815273,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.748,0.4,KR_like,-102.31103271883853,0.6457278500555845,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,0.4,lorentzian_like_2d,-79.39317211827678,1.3607353051597102,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.748,0.6,KR_like,-99.11872387184826,0.7783304566125666,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,0.6,lorentzian_like_2d,-79.06146122376953,1.3836656425041474,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.748,0.8,KR_like,-95.92641502485799,0.9109330631695337,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,0.8,lorentzian_like_2d,-78.72975032926226,1.4065959798485896,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.748,1.0,KR_like,-92.73410617786772,1.0435356697264957,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,1.0,lorentzian_like_2d,-78.398039434755,1.429526317193022,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.748,1.5,KR_like,-84.75333406039204,1.375042186118926,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,1.5,lorentzian_like_2d,-77.56876219848687,1.48685216055414,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.748,2.0,KR_like,-76.77256194291638,1.7065487025113613,15.961544234951344,108.69565041281906,sis,2
offset_0,52,1.748,2.0,lorentzian_like_2d,-76.73948496221871,1.544178003915228,1.658554472536295,80.0565939072913,exact,2
offset_0,52,1.752,0.0,KR_like,-108.69565041281906,0.3805226369416454,15.976483056728714,108.69565041281906,sis,2
offset_0,52,1.752,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.6621175508488706,80.0565939072913,exact,2
offset_0,52,1.752,0.2,KR_like,-105.50035380147332,0.5134275427263989,15.976483056728714,108.69565041281906,sis,2
offset_0,52,1.752,0.2,lorentzian_like_2d,-79.72417039712153,1.337836813601583,1.6621175508488706,80.0565939072913,exact,2
offset_0,52,1.752,0.4,KR_like,-102.30505719012757,0.6463324485111372,15.976483056728714,108.69565041281906,sis,2
offset_0,52,1.752,0.4,lorentzian_like_2d,-79.39174688695175,1.360798996732335,1.6621175508488706,80.0565939072913,exact,2
offset_0,52,1.752,0.6,KR_like,-99.10976057878183,0.7792373542958856,15.976483056728714,108.69565041281906,sis,2
