family,N,rep,perturbation,pert_rep,in_window_orig,F7_orig,cf_orig,returned,return_step,delta_F_recovery,basin_retention,final_F
Lor2D,16,0,add_edge,0,True,32.42268617148289,0.425,True,1,-12.360740091345292,False,20.061946080137595
Lor2D,16,0,add_edge,1,True,32.42268617148289,0.425,True,1,-24.030838897793764,False,8.391847273689123
Lor2D,16,0,add_edge,2,True,32.42268617148289,0.425,True,8,-11.23189874719737,True,21.190787424285517
Lor2D,16,0,del_edge,0,True,32.42268617148289,0.425,True,1,-16.81344798699289,False,15.609238184489994
Lor2D,16,0,del_edge,1,True,32.42268617148289,0.425,True,1,-11.035918012412044,True,21.386768159070844
Lor2D,16,0,del_edge,2,True,32.42268617148289,0.425,True,1,-20.597729684825012,False,11.824956486657875
Lor2D,16,0,del_node,0,True,32.42268617148289,0.425,True,60,-17.11324109073171,False,15.309445080751178
Lor2D,16,0,del_node,1,True,32.42268617148289,0.425,True,1,-20.140584017452397,False,12.282102154030488
Lor2D,16,0,del_node,2,True,32.42268617148289,0.425,True,1,-21.364470911205068,False,11.05821526027782
Lor2D,16,1,add_edge,0,True,29.97430658673055,0.4666666666666667,False,-1,-13.782333224715735,False,16.191973362014814
Lor2D,16,1,add_edge,1,True,29.97430658673055,0.4666666666666667,True,1,-20.51915716470527,False,9.455149422025277
Lor2D,16,1,add_edge,2,True,29.97430658673055,0.4666666666666667,True,1,-11.443957928412324,True,18.530348658318225
Lor2D,16,1,del_edge,0,True,29.97430658673055,0.4666666666666667,True,1,-14.118006854976242,False,15.856299731754307
Lor2D,16,1,del_edge,1,True,29.97430658673055,0.4666666666666667,True,1,-14.270203975705723,False,15.704102611024826
Lor2D,16,1,del_edge,2,True,29.97430658673055,0.4666666666666667,True,1,-14.508839325233964,False,15.465467261496585
Lor2D,16,1,del_node,0,True,29.97430658673055,0.4666666666666667,True,1,-14.455073002090499,False,15.51923358464005
Lor2D,16,1,del_node,1,True,29.97430658673055,0.4666666666666667,True,1,-14.000392197791147,False,15.973914388939402
Lor2D,16,1,del_node,2,True,29.97430658673055,0.4666666666666667,True,1,-9.928945312122039,True,20.04536127460851
Lor2D,16,2,add_edge,0,True,29.061090513306205,0.4583333333333333,True,1,-13.640102545998833,False,15.420987967307372
Lor2D,16,2,add_edge,1,True,29.061090513306205,0.4583333333333333,True,1,-20.648811351320447,False,8.412279161985756
Lor2D,16,2,add_edge,2,True,29.061090513306205,0.4583333333333333,False,-1,-20.610075023139423,False,8.45101549016678
Lor2D,16,2,del_edge,0,True,29.061090513306205,0.4583333333333333,True,1,-14.481425042975737,False,14.579665470330468
Lor2D,16,2,del_edge,1,True,29.061090513306205,0.4583333333333333,True,1,-19.159653988652508,False,9.901436524653697
Lor2D,16,2,del_edge,2,True,29.061090513306205,0.4583333333333333,True,1,-16.732024364994242,False,12.329066148311963
Lor2D,16,2,del_node,0,True,29.061090513306205,0.4583333333333333,True,1,-20.03471235264601,False,9.026378160660194
Lor2D,16,2,del_node,1,True,29.061090513306205,0.4583333333333333,True,1,-12.085262331186446,False,16.97582818211976
Lor2D,16,2,del_node,2,True,29.061090513306205,0.4583333333333333,True,1,-11.808133270088575,False,17.25295724321763
Lor3D,16,0,add_edge,0,True,36.03744815418664,0.325,True,1,-19.841078248310478,False,16.196369905876164
Lor3D,16,0,add_edge,1,True,36.03744815418664,0.325,True,1,-24.367213678323665,False,11.670234475862975
Lor3D,16,0,add_edge,2,True,36.03744815418664,0.325,True,1,-22.109685913774328,False,13.927762240412314
Lor3D,16,0,del_edge,0,True,36.03744815418664,0.325,True,1,-13.682968805242847,False,22.354479348943794
Lor3D,16,0,del_edge,1,True,36.03744815418664,0.325,True,1,-16.995522839397204,False,19.041925314789438
Lor3D,16,0,del_edge,2,True,36.03744815418664,0.325,True,3,-24.28000248117152,False,11.757445673015123
Lor3D,16,0,del_node,0,True,36.03744815418664,0.325,True,1,-23.416028678414953,False,12.621419475771686
Lor3D,16,0,del_node,1,True,36.03744815418664,0.325,False,-1,-18.895969630561982,False,17.14147852362466
Lor3D,16,0,del_node,2,True,36.03744815418664,0.325,True,1,-17.44539626211876,False,18.592051892067882
Lor3D,16,1,add_edge,0,True,35.19390598489956,0.30833333333333335,True,1,-20.49609044737263,False,14.697815537526926
Lor3D,16,1,add_edge,1,True,35.19390598489956,0.30833333333333335,True,1,-13.763620050967468,False,21.43028593393209
Lor3D,16,1,add_edge,2,True,35.19390598489956,0.30833333333333335,True,1,-17.852989724247248,False,17.34091626065231
Lor3D,16,1,del_edge,0,True,35.19390598489956,0.30833333333333335,True,1,-15.911247867599556,False,19.282658117300002
Lor3D,16,1,del_edge,1,True,35.19390598489956,0.30833333333333335,True,1,-18.01923981922602,False,17.17466616567354
Lor3D,16,1,del_edge,2,True,35.19390598489956,0.30833333333333335,True,1,-17.094440355749633,False,18.099465629149925
Lor3D,16,1,del_node,0,True,35.19390598489956,0.30833333333333335,True,2,-14.593978324585436,False,20.599927660314123
Lor3D,16,1,del_node,1,True,35.19390598489956,0.30833333333333335,True,1,-20.713750120254264,False,14.480155864645294
Lor3D,16,1,del_node,2,True,35.19390598489956,0.30833333333333335,True,4,-22.65667723370181,False,12.537228751197748
Lor3D,16,2,add_edge,0,True,32.71961877690876,0.3,True,1,-19.50136854668987,False,13.218250230218889
Lor3D,16,2,add_edge,1,True,32.71961877690876,0.3,True,1,-22.088920090126848,False,10.630698686781912
Lor3D,16,2,add_edge,2,True,32.71961877690876,0.3,True,1,-23.982222346245628,False,8.737396430663132
Lor3D,16,2,del_edge,0,True,32.71961877690876,0.3,True,7,-10.599118222824647,False,22.120500554084114
