family,N,rep,F7,comp_frac,in_window,rg_drift_F,rg_drift_phi,rg_converged,rg_steps,H_int_orig,H_int_cg,delta_H_int,wasserstein
Lor2D,16,0,32.42268617148289,0.425,True,37.30574497539237,0.10833333333333334,False,3,1.2689241024315043,1.0376396912611112,0.2312844111703931,0.33769063180827885
Lor2D,16,1,29.97430658673055,0.4666666666666667,True,33.71020868354843,0.0861471861471862,False,3,1.3951663868134023,0.9417771399785616,0.4533892468348407,0.45333333333333387
Lor2D,16,2,29.061090513306205,0.4583333333333333,True,4.737782708289771,0.07261904761904764,True,3,1.4968399914375132,1.0588134106501805,0.4380265807873327,0.5890206411945548
Lor3D,16,0,36.03744815418664,0.325,True,36.27599849530495,0.19404761904761902,False,3,0.6172417697303416,0.41849410839291784,0.19874766133742378,0.1858974358974359
Lor3D,16,1,35.19390598489956,0.30833333333333335,True,34.693315627513606,0.10833333333333334,True,3,0.7762141041911064,0.39409923489883497,0.3821148692922714,0.2126289185112715
Lor3D,16,2,32.71961877690876,0.3,True,32.25193799573967,0.16666666666666666,True,3,0.854806284951481,0.5559317817780108,0.2988745031734702,0.21666666666666679
Lor4D,16,0,33.90984475209876,0.24166666666666667,False,34.41813519944454,0.20119047619047623,False,3,0.5890026049647302,0.3937143590961658,0.19528824586856441,0.14552545155993432
Lor4D,16,1,21.455819671841272,0.2,False,20.208430049487518,0.13290043290043294,False,3,0.5117400734174093,0.29580603933675215,0.2159340340806572,0.11944444444444446
Lor4D,16,2,20.453719248715093,0.21666666666666667,False,15.951888519671307,0.21666666666666667,True,3,0.5158361211027406,0.1683270105827678,0.3475091105199728,0.14583333333333334
Lor5D,16,0,22.325539325767547,0.15,False,21.632849790164578,0.21666666666666667,True,3,-0.0,0.0,0.0,0.0
Lor5D,16,1,23.476435239744685,0.125,False,22.9503894189196,0.058333333333333334,True,3,-0.0,0.0,0.0,0.0
Lor5D,16,2,21.37401229675147,0.16666666666666666,False,17.49426430190836,0.20043290043290043,True,3,0.3250829733914482,0.0,0.3250829733914482,0.09999999999999998
KR,16,0,37.57698406977218,0.38333333333333336,True,12.042156859532703,0.14999999999999997,True,3,1.044007485448658,0.7345429473899848,0.30946453805867324,0.27771999167880174
KR,16,1,36.84323582200237,0.36666666666666664,True,37.42836026732498,0.23463203463203464,True,3,0.9629252711908222,0.486759014673617,0.4761662565172052,0.2757575757575757
KR,16,2,36.86441974800428,0.375,True,40.229243141863094,0.18214285714285716,True,3,0.9842970189252936,0.4895504255288588,0.49474659339643484,0.3721709852144636
Lor2D,20,0,33.43832182881759,0.47368421052631576,True,9.679079623574609,0.15561981877771353,True,3,1.717862324257039,1.3386168833836807,0.3792454408733583,0.5297052154195011
Lor2D,20,1,30.305447467543363,0.5684210526315789,False,28.285717517638965,0.2997108155002893,False,3,1.9514363694649604,1.5781805123940167,0.37325585707094366,0.7165936307885458
Lor2D,20,2,32.665136693950934,0.5052631578947369,True,11.067382481788705,0.2012338538654328,True,3,1.789965505156387,1.3418543743988274,0.4481111307575596,0.6994047619047614
Lor3D,20,0,40.761638222053136,0.29473684210526313,False,40.821395884959905,0.18145363408521303,True,3,1.068225112560858,0.6431499105683219,0.425075201992536,0.31357029072082826
Lor3D,20,1,41.42421264545081,0.26842105263157895,False,38.31114602076223,0.31399652978600345,False,3,1.0490209277858185,0.8648028159915077,0.1842181117943108,0.1599821746880572
Lor3D,20,2,40.842489450699006,0.28421052631578947,False,42.25724526651025,0.10919606709080393,True,3,0.9600713520573074,0.5969146203706933,0.3631567316866141,0.2763668430335094
Lor4D,20,0,31.669321964869496,0.1736842105263158,False,28.87546634691327,0.1120300751879699,True,3,0.43749495735702343,0.29896460507223016,0.13853035228479327,0.06262626262626263
Lor4D,20,1,32.95799189351181,0.1368421052631579,False,28.852670132679798,0.14520917678812414,True,3,-0.0,0.0,0.0,0.0
Lor4D,20,2,29.43229541789576,0.18421052631578946,False,27.148780634438403,0.06829252618726303,True,3,0.4581441790615257,0.20963371281307422,0.2485104662484515,0.10388471177944854
Lor5D,20,0,32.58359159351688,0.11578947368421053,False,29.85610212662928,0.07468671679197994,True,3,0.18490739916777568,0.0903964576806147,0.09451094148716098,0.040792540792540764
Lor5D,20,1,35.90453150661886,0.07894736842105263,False,29.739498740656686,0.14083285135916715,True,3,-0.0,0.0,0.0,0.0
Lor5D,20,2,33.0249838967775,0.11578947368421053,False,30.082544289345666,0.027067669172932324,True,3,-0.0,0.0,0.0,0.0
KR,20,0,43.65074122529463,0.4105263157894737,True,31.959615999925422,0.029573934837092752,False,3,1.075186841636209,0.9572701039955258,0.11791673764068311,0.3446853446853446
KR,20,1,44.17388216782612,0.3684210526315789,True,41.219984850268446,0.22556390977443608,False,3,1.0724069233688998,0.7456594352976684,0.32674748807123133,0.3831164240496158
KR,20,2,44.48042768407778,0.3631578947368421,True,42.40732914575575,0.18409485251590513,True,3,1.0952106897915364,0.7305731267420436,0.3646375630494928,0.39000527747330843
