n,kappa,family,d_eff,c1_c0,width_ratio,score_flat_ref,score_adapt_ref,rank_flat_ref,rank_adapt_ref
64,1.0,FLRW_kappa,4.554507142857142,0.10231230373965172,0.53125,750.8794533085456,46882.3444650115,1,2
64,1.0,Lor4D,3.913138095238095,0.252412905597941,0.359375,11930.647764173902,5213.983977100157,2,1
64,1.0,Lor3D,3.128911904761905,0.43218419041380063,0.2890625,849899.0560168917,540024.5928638873,3,3
64,1.0,KR_like,1.1958761904761908,0.0,0.5,121516033.3205348,26027394.41378045,4,4
