n,family,sample_id,comparable_fraction,cover_density,interval_empty_fraction,mean_interval_size_ratio,neutral_penalty,geo_width_height,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total
12,multi_layer_random,0,0.18181818181818182,0.10606060606060606,0.5833333333333334,0.041666666666666664,0.20428240740740744,0.31316983010658395,0.0,0.0,0.005555555555555553,0.0,0.0601851851851852,0.774487808361316
12,multi_layer_random,1,0.3939393939393939,0.22727272727272727,0.5769230769230769,0.07051282051282051,0.12943672839506173,0.04979304449311737,0.0001943067033976119,0.000743801652892561,0.00362426035502956,0.0036000000000000064,0.0787037037037037,0.2965120433478533
12,multi_layer_random,2,0.12121212121212122,0.10606060606060606,0.875,0.010416666666666666,0.1687885802469136,0.4804530139182014,0.0,0.0,0.5316256944444443,0.0,0.05902777777777779,3.7370900556141793
12,multi_layer_random,3,0.2878787878787879,0.15151515151515152,0.5263157894736842,0.048245614035087724,0.0427758487654321,0.0,0.0,0.0,0.0,0.0,0.006944444444444443,0.013888888888888886
12,multi_layer_random,4,0.3939393939393939,0.21212121212121213,0.5384615384615384,0.0673076923076923,0.0625385802469136,0.04979304449311734,0.0001943067033976119,0.00014692378328741952,0.0,0.0,0.013888888888888888,0.1289704783342604
12,multi_layer_random,5,0.2878787878787879,0.19696969696969696,0.6842105263157895,0.03070175438596491,0.21638695987654324,0.31316983010658395,0.0,0.0,0.09040815635580175,0.0,0.0601851851851852,1.1987508123625472
12,lorentzian_like_2d,0,0.5454545454545454,0.2878787878787879,0.5277777777777778,0.06481481481481481,0.10474537037037035,0.0,0.027375206611570235,0.007722681359044997,0.0,0.0036000000000000064,0.02314814814814815,0.2517155800428527
12,lorentzian_like_2d,1,0.5757575757575758,0.2878787878787879,0.5,0.09429824561403509,0.10767746913580248,0.04979304449311734,0.038321028466483026,0.007722681359044997,0.0,0.0,0.010416666666666666,0.3735136371956011
12,lorentzian_like_2d,2,0.5606060606060606,0.24242424242424243,0.43243243243243246,0.08558558558558559,0.06766010802469136,0.0,0.03261854912764001,0.0017998163452708903,0.0,0.0,0.013888888888888888,0.22888852157943052
12,lorentzian_like_2d,3,0.5303030303030303,0.25757575757575757,0.4857142857142857,0.09761904761904762,0.07425733024691358,0.04979304449311734,0.022591000918273638,0.0033149678604224037,0.0,0.0,0.013888888888888888,0.2728547758549215
12,lorentzian_like_2d,4,0.5606060606060606,0.22727272727272727,0.40540540540540543,0.10585585585585584,0.06650270061728394,0.4804530139182014,0.03261854912764001,0.000743801652892561,0.0,0.0,0.005555555555555556,1.1699598386720316
12,lorentzian_like_2d,5,0.5909090909090909,0.22727272727272727,0.38461538461538464,0.10256410256410257,0.09354745370370371,0.04979304449311734,0.044482644628099186,0.000743801652892561,0.0,0.0,0.006944444444444444,0.38260225060239633
12,lorentzian_like_3d,0,0.3333333333333333,0.2727272727272727,0.8181818181818182,0.015151515151515152,0.05189043209876544,0.2609428178959135,0.0,0.005289256198347103,0.36207722681359045,0.0,0.006944444444444446,2.3620284273437093
12,lorentzian_like_3d,1,0.3939393939393939,0.2727272727272727,0.6923076923076923,0.035256410256410256,0.08950617283950617,0.0,0.0001943067033976119,0.005289256198347103,0.10134740302432602,0.0036000000000000064,0.011574074074074075,0.5649187720852051
12,lorentzian_like_3d,2,0.36363636363636365,0.2878787878787879,0.7916666666666666,0.024305555555555556,0.05092592592592593,0.2609428178959135,0.0,0.007722681359044997,0.2929991512345677,0.0,0.017361111111111112,2.0447716582640227
12,lorentzian_like_3d,3,0.3181818181818182,0.22727272727272727,0.7142857142857143,0.03571428571428571,0.030237268518518514,0.08276097481015168,0.0,0.000743801652892561,0.13502244897959179,0.0,0.0,0.8428655994769401
12,lorentzian_like_3d,4,0.4090909090909091,0.2878787878787879,0.7037037037037037,0.037037037037037035,0.16507523148148148,0.16440195389316542,0.0008462809917355385,0.007722681359044997,0.11815925925925921,0.0,0.03240740740740741,1.01266074892499
