n,family,comparable_fraction,cover_density,interval_empty_fraction,mean_interval_size_ratio,neutral_penalty,geo_width_height,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,count
12,lorentzian_like_2d,0.5606060606060606,0.255050505050505,0.45599088099088103,0.09178960867557358,0.08573173868312757,0.10497202456625891,0.03300116314661768,0.003674625038261402,0.0,0.000600000000000001,0.0123070987654321,0.44658910065787233,6
12,lorentzian_like_3d,0.356060606060606,0.2676767676767677,0.7549449007782342,0.027884345592678925,0.07302115483539094,0.1716652303985096,0.0001734312825221917,0.005013774104683194,0.22466567091108966,0.000600000000000001,0.014274691358024694,1.5142901080776994,6
12,multi_layer_random,0.2777777777777778,0.16666666666666666,0.6307073774179037,0.044808535762483136,0.1373681841563786,0.20106312718626732,6.47689011325373e-05,0.00014845423936333009,0.10520227778513853,0.000600000000000001,0.0464891975308642,1.024950014484841,6
12,transitive_percolation,0.07323232323232323,0.06313131313131314,0.9027777777777778,0.008101851851851851,0.3135142061396796,1.723263612028375,0.0018212427303336397,3.674625038261401e-05,0.7242870884773661,0.0,0.21180555555555555,7.502611472687842,6
16,lorentzian_like_2d,0.5361111111111111,0.20694444444444446,0.38265343527440304,0.09793229493960341,0.0709751489571523,0.16179627427987434,0.027881481481481476,0.00034722222222222207,0.0,0.005129965986394562,0.007183159722222222,0.5319392534917214,6
16,lorentzian_like_3d,0.30277777777777776,0.21805555555555556,0.7286099447753583,0.023897643188056723,0.09127072934751157,0.5999984182102943,0.0001337962962962962,0.0015162037037037036,0.1780438373781077,0.000600000000000001,0.02419704861111111,2.1469615094222383,6
16,multi_layer_random,0.3194444444444445,0.18055555555555555,0.5750022288364819,0.03735697021238426,0.09011027018229167,0.20366880679955848,2.4537037037037027e-05,4.629629629629628e-05,0.016692772796935443,0.000600000000000001,0.02419704861111111,0.5424816859171275,6
16,transitive_percolation,0.10694444444444444,0.07916666666666666,0.7655092592592593,0.01595775462962963,0.2015270883065683,1.1956205890025384,0.000277777777777778,0.0,0.2977185613184799,0.0,0.06597222222222222,4.013445095708588,6
20,lorentzian_like_2d,0.49298245614035086,0.20526315789473684,0.4088541666666667,0.075,0.06890833333333334,0.020580980384419925,0.01556897506925208,0.00019390581717451498,0.0,0.001114085200513774,0.009520833333333334,0.1597696213051114,6
20,lorentzian_like_3d,0.2921052631578947,0.20175438596491227,0.7019994405065643,0.026078362328888716,0.10727442129629632,0.5272950046498259,0.0,0.0007386888273314859,0.15718227705412358,0.01787290249433107,0.02017361111111111,1.9724291957461417,6
20,multi_layer_random,0.3412280701754386,0.15526315789473685,0.47386881955847476,0.04626942791005292,0.09102187499999999,0.36050446210939,0.0007095106186518926,0.0,0.004446296296296292,0.001572222222222225,0.01982638888888889,0.7950113583010618,6
20,transitive_percolation,0.11491228070175437,0.07456140350877193,0.689712001534757,0.021308872317483,0.1938694345054889,1.160226715263508,0.00018928901200369346,0.0,0.185951663976803,0.0,0.05052083333333334,3.3523891511497195,6
