n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
12,absolute_layered,0,0.0,1.0,A1,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,0.13035300925925927,-7.965545573129992,-0.6637954644274994,-0.26713094614002136,-2.0753121165364568,-0.6637688259281084,2.1580824009604482,1.0974676587417105,2.0753121165364568,0.0,robust_zscore,n
12,absolute_layered,0,0.0,1.0,A2,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.2596066219675628,-7.965545573129992,-0.6637954644274994,-0.26713094614002136,-2.0753121165364568,0.365194172401188,2.1580824009604482,1.0974676587417105,2.0753121165364568,0.0,robust_zscore,n
12,absolute_layered,0,0.0,1.0,A3,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.1292536127083035,-7.965545573129992,-0.6637954644274994,-0.26713094614002136,-2.0753121165364568,0.246417998706271,2.1580824009604482,1.0974676587417105,2.0753121165364568,0.0,robust_zscore,n
12,absolute_layered,0,0.1,1.0,A1,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,0.13035300925925927,-7.952510272204066,-0.6627091893503388,-0.2666937968904698,-2.0753121165364568,-0.6637688259281084,2.1580824009604482,1.0974676587417105,2.008935233943646,0.0,robust_zscore,n
12,absolute_layered,0,0.1,1.0,A2,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.2596066219675628,-7.839584910933236,-0.6532987425777697,-0.2629067545187284,-2.0753121165364568,0.365194172401188,2.1580824009604482,1.0974676587417105,2.1118315337765754,0.0,robust_zscore,n
12,absolute_layered,0,0.1,1.0,A3,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.1292536127083035,-7.852620211859161,-0.6543850176549301,-0.26334390376827993,-2.0753121165364568,0.246417998706271,2.1580824009604482,1.0974676587417105,2.0999539164070837,0.0,robust_zscore,n
12,absolute_layered,0,0.2,1.0,A1,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,0.13035300925925927,-7.93947497127814,-0.6616229142731783,-0.2662566476409183,-2.0753121165364568,-0.6637688259281084,2.1580824009604482,1.0974676587417105,1.942558351350835,0.0,robust_zscore,n
12,absolute_layered,0,0.2,1.0,A2,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.2596066219675628,-7.71362424873648,-0.6428020207280399,-0.2586825628974354,-2.0753121165364568,0.365194172401188,2.1580824009604482,1.0974676587417105,2.1483509510166945,0.0,robust_zscore,n
12,absolute_layered,0,0.2,1.0,A3,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.1292536127083035,-7.739694850588331,-0.644974570882361,-0.25955686139653855,-2.0753121165364568,0.246417998706271,2.1580824009604482,1.0974676587417105,2.124595716277711,0.0,robust_zscore,n
12,absolute_layered,0,0.4,1.0,A1,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,0.13035300925925927,-7.9134043694262886,-0.6594503641188574,-0.2653823491418152,-2.0753121165364568,-0.6637688259281084,2.1580824009604482,1.0974676587417105,1.8098045861652134,0.0,robust_zscore,n
12,absolute_layered,0,0.4,1.0,A2,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.2596066219675628,-7.461702924342967,-0.6218085770285806,-0.25023417965484945,-2.0753121165364568,0.365194172401188,2.1580824009604482,1.0974676587417105,2.221389785496932,0.0,robust_zscore,n
12,absolute_layered,0,0.4,1.0,A3,7.965545573129992,0.0,0.13035300925925927,1.1292536127083035,1.1292536127083035,-7.513844128046671,-0.6261536773372226,-0.2519827766530557,-2.0753121165364568,0.246417998706271,2.1580824009604482,1.0974676587417105,2.173879316018965,0.0,robust_zscore,n
12,absolute_layered,1,0.0,1.0,A1,8.658692753689937,0.0,0.16372492283950618,1.8461363928400902,0.16372492283950618,-8.658692753689937,-0.7215577294741614,-0.29037619161094885,-1.7541255018587862,-0.6333607193069902,2.1580824009604482,1.0974676587417105,1.7541255018587862,0.0,robust_zscore,n
