family,N,rep,center_layer,n_layers_total,n_nodes,total_relations,bd_ratio,bdg_d2c,bdg_d4,link_frac
Lor2D,36,6,0,9,9,9,0.0,-1.0,0.0,1.0
Lor2D,36,6,1,9,13,21,0.38095238095238093,-0.5384615384615384,2.076923076923077,0.7142857142857143
Lor2D,36,6,2,9,13,19,0.3601108033240998,-0.6923076923076923,-0.46153846153846156,0.7368421052631579
Lor2D,36,6,3,9,12,22,0.5289256198347108,-0.3333333333333333,1.6666666666666667,0.6363636363636364
Lor2D,36,6,4,9,13,27,0.4814814814814815,-0.6923076923076923,3.8461538461538463,0.6666666666666666
Lor2D,36,6,5,9,17,38,0.4487534626038781,-1.1176470588235294,-0.058823529411764705,0.6842105263157895
Lor2D,36,6,6,9,14,15,0.15111111111111108,-0.5714285714285714,1.3571428571428572,0.8666666666666667
Lor2D,36,6,7,9,10,6,0.19444444444444442,0.2,1.4,0.8333333333333334
Lor2D,36,6,8,9,3,1,0.0,0.3333333333333333,0.6666666666666666,1.0
Lor2D,36,7,0,9,11,11,0.0,-1.0,0.0,1.0
Lor2D,36,7,1,9,15,38,0.8033240997229918,1.2666666666666666,11.8,0.47368421052631576
Lor2D,36,7,2,9,15,28,0.36734693877551017,-0.6,4.466666666666667,0.7142857142857143
Lor2D,36,7,3,9,18,28,0.3877551020408163,-0.5555555555555556,1.1111111111111112,0.7142857142857143
Lor2D,36,7,4,9,16,16,0.140625,-0.5,1.25,0.875
Lor2D,36,7,5,9,12,13,0.2840236686390532,-0.16666666666666666,2.4166666666666665,0.7692307692307693
Lor2D,36,7,6,9,6,5,0.23999999999999994,0.0,1.8333333333333333,0.8
Lor2D,36,7,7,9,5,3,0.4444444444444445,0.6,2.4,0.6666666666666666
Lor2D,36,8,0,7,11,10,0.0,-0.8181818181818182,0.09090909090909091,1.0
Lor2D,36,8,1,7,16,29,0.380499405469679,-1.0,-0.5,0.7241379310344828
Lor2D,36,8,2,7,17,37,0.4470416362308255,-0.7647058823529411,2.9411764705882355,0.6756756756756757
Lor2D,36,8,3,7,15,37,0.4740686632578524,-2.066666666666667,-2.6666666666666665,0.7027027027027027
Lor2D,36,8,4,7,15,35,0.5828571428571429,-0.2,4.666666666666667,0.6
Lor2D,36,8,5,7,14,24,0.40104166666666663,-0.7142857142857143,0.7142857142857143,0.7083333333333334
Lor2D,36,8,6,7,10,7,0.0,-0.4,0.3,1.0
Lor2D,36,9,0,8,12,12,0.0,-1.0,0.0,1.0
Lor2D,36,9,1,8,17,35,0.6122448979591837,0.4117647058823529,7.764705882352941,0.5714285714285714
Lor2D,36,9,2,8,13,21,0.38095238095238093,-0.5384615384615384,2.076923076923077,0.7142857142857143
Lor2D,36,9,3,8,17,43,0.5191995673336938,-1.1176470588235294,1.3529411764705883,0.6511627906976745
Lor2D,36,9,4,8,16,37,0.42366691015339664,-2.0,0.0,0.7297297297297297
Lor2D,36,9,5,8,14,20,0.3125,-0.42857142857142855,3.142857142857143,0.75
Lor2D,36,9,6,8,7,4,0.3125,0.42857142857142855,1.8571428571428572,0.75
Lor2D,36,9,7,8,3,1,0.0,0.3333333333333333,0.6666666666666666,1.0
Lor2D,36,10,0,10,9,11,0.0,-1.4444444444444444,-0.2222222222222222,1.0
