d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,M1_mean_interval,M2_interval_entropy,M3_c1_ratio,M4_tail_weight,M5_log_interval_ratio,M6_weighted_depth_ratio,M7_norm_bd_shift,C0,C1,C2,C3,total_pairs
2,128,2.000000,0,8.000000,2043.254256,1653,4.406858,-0.164062,-0.453125,0.812462,4.424077,2.572101,0.411765,0.681186,-0.356675,8.643648,-0.453125,310,217,194,164,1653
2,128,2.000000,1,8.000000,1331.063630,1482,3.863137,2.046875,-0.781250,0.775978,3.978408,2.477159,0.396364,0.628880,-0.420640,8.243894,-0.781250,332,218,158,129,1482
2,128,2.000000,2,8.000000,2196.947554,1489,3.532711,1.546875,-0.781250,0.773674,3.566152,2.369567,0.398214,0.623909,-0.412911,6.996234,-0.781250,337,223,169,138,1489
2,128,2.000000,3,8.000000,1539.046512,1395,3.543677,1.046875,-0.406250,0.771326,3.594265,2.388441,0.417883,0.607168,-0.331469,7.561229,-0.406250,319,229,174,131,1395
2,128,2.000000,4,8.000000,1916.664355,1491,3.879713,4.039062,-0.796875,0.775319,4.004024,2.474000,0.396396,0.627767,-0.420503,8.428811,-0.796875,335,220,161,165,1491
2,128,2.000000,5,8.000000,966.614524,1432,3.448914,-1.812500,-1.375000,0.750698,3.594274,2.384790,0.364769,0.607542,-0.554726,7.615893,-1.375000,357,205,176,121,1432
2,128,2.000000,6,8.000000,1231.641510,1434,3.764210,3.679688,-0.890625,0.763598,3.929568,2.458074,0.391382,0.611576,-0.441505,8.357587,-0.890625,339,218,148,136,1434
2,128,2.000000,7,8.000000,3130.434793,1244,3.182803,1.906250,-0.312500,0.766881,3.150322,2.274897,0.415323,0.601286,-0.342005,6.388109,-0.312500,290,206,160,139,1244
2,256,0.000000,0,0.000000,0.529233,17170,24.992445,2.464844,-0.695312,0.942225,25.524927,4.231044,0.438596,0.897088,-0.246860,48.098888,-0.695312,992,775,638,575,17170
2,256,0.000000,1,0.000000,9.171140,16476,23.518284,4.878906,-0.929688,0.938092,24.070345,4.175574,0.431121,0.891175,-0.277279,46.022263,-0.929688,1020,773,618,618,16476
2,256,0.000000,2,0.000000,-0.875855,16545,23.232146,-0.710938,-1.484375,0.934300,23.865820,4.159526,0.414332,0.887821,-0.346086,44.993263,-1.484375,1087,769,681,578,16545
2,256,0.000000,3,0.000000,2.172852,16715,24.011664,0.273438,-0.703125,0.939695,24.552617,4.192617,0.439377,0.892432,-0.243691,47.321810,-0.703125,1008,790,702,618,16715
2,256,0.000000,4,0.000000,-10.141676,16089,22.702765,1.886719,-1.351562,0.932936,23.334763,4.144153,0.418955,0.884580,-0.327063,45.273519,-1.351562,1079,778,643,574,16089
