d,N,reps,tau_quantile,n_causal_pairs,mean_tau,median_tau,flat_prefactor_fit,flat_rmse,flat_r2,curvature_intercept,curvature_r_hat,kappa_d
4,256,2,0.75,5743,0.21655197152749195,0.1973867973205518,0.9527282594555755,0.0023347445271680286,0.35902920575857367,0.7600484585837377,-277.5499584093486,0.1308996938995747
4,320,2,0.75,9893,0.21912830426814905,0.2027689450185085,1.0566891548996566,0.0022921423976186074,0.4299169269049379,1.105921577376578,77.30003376966594,0.1308996938995747
