family,N,rep,seed,log_H,pi_geo,sigma_hist,xi_dim,R,wall,F7,bd_ratio,bdg_d2c,bdg_d4s
Lor2D,16,0,3626,17.783572516494946,1.4270113902238695,0.46875,0.0,0.5471698113207547,17.88854377547088,30.985187096521916,0.9601281594873621,0.5,4.75
Lor2D,16,1,3627,16.940420962433777,1.8319262242446654,0.375,1.87,0.46153846153846156,17.888530395165294,32.20168412808877,0.8964497041420119,-0.75,4.125
Lor2D,16,2,3628,16.775778004685144,4.978313573962544,0.5625,5.08682916,0.5777777777777777,17.88854381421155,32.093410640326276,1.2069135802469133,0.0,1.0
Lor2D,16,3,3629,16.06986005205164,3.106520306486234,0.46875,0.3600000000000001,0.5416666666666667,17.888543755735455,29.48814641590969,1.0946180555555556,-0.375,-0.6875
Lor2D,16,4,3630,16.17343546214245,0.21435137895833334,0.46875,0.7600000000000009,0.5166666666666666,17.888543479759242,29.83056468245328,1.024722222222222,-0.5,4.75
Lor2D,16,5,3631,14.910455254230108,0.4949695228557754,0.5625,1.5504916639999993,0.5833333333333333,17.888543816002677,28.104492056441927,1.4194444444444445,-0.375,0.8125
Lor2D,16,6,3632,15.645942693560785,0.9189748182049853,0.46875,1.86236729,0.6111111111111112,17.88854381937122,29.964774476859287,1.358024691358025,0.25,3.125
Lor2D,16,7,3633,13.186697111949556,0.8355788457724417,0.5625,0.91601729,0.671875,17.888543819987405,26.000185537475268,1.648193359375,0.75,1.875
Lor2D,16,8,3634,15.41978684711098,0.254738249194568,0.46875,0.33333333333333365,0.5833333333333333,17.888543816002677,28.820932558413336,1.2444444444444442,-0.25,-0.125
Lor2D,16,9,3635,16.417687612035643,0.5798359575279015,0.46875,0.7066666666666667,0.5178571428571428,17.888543505718584,30.042963052137235,1.0357142857142856,-0.625,2.6875
Lor3D,16,0,103626,21.043788504520954,14.496560822468606,0.375,0.0,0.32352941176470584,17.756577006571966,35.05616413542191,0.4472318339100345,-0.75,2.625
Lor3D,16,1,103627,22.31938165465622,22.768749746888325,0.28125,0.0,0.09999999999999998,0.0008121017636180265,19.51680125631859,0.10999999999999999,-2.0,1.0
Lor3D,16,2,103628,21.186822626389905,13.742123444994288,0.375,0.0,0.2857142857142857,16.374515566398305,33.816835042166204,0.3836734693877551,-1.0,5.0
Lor3D,16,3,103629,22.454690673801167,30.44747830296961,0.28125,0.0,0.21739130434782605,1.8267367504780945,21.48110641560045,0.274102079395085,-0.75,1.125
Lor3D,16,4,103630,21.133075892086296,19.151291487198385,0.375,0.0,0.15625,0.034466477454443256,17.42520288613562,0.1904296875,-2.0,-1.0
Lor3D,16,5,103631,20.135624636463827,6.828443054950767,0.375,0.0,0.3023255813953488,17.35823978388571,33.746595797571516,0.4570037858301785,-2.0,-1.5
Lor3D,16,6,103632,20.911303037657817,14.269528364549366,0.28125,0.0,0.19444444444444442,0.43004008500385343,18.534550934007488,0.23765432098765432,-1.875,1.5625
Lor3D,16,7,103633,22.68915407952045,27.13531690201709,0.28125,0.0,0.07407407407407407,0.00014420961956925553,19.887652415900828,0.0850480109739369,-2.125,-2.5625
Lor3D,16,8,103634,20.057442312062534,12.297441435471516,0.375,0.0,0.36111111111111116,17.87769667608245,34.19005796471917,0.521604938271605,-0.625,2.1875
Lor3D,16,9,103635,21.417210067277775,24.035342888913327,0.28125,0.0,0.10344827586206895,0.0010219818192071478,18.615346186252548,0.11771700356718191,-2.0,-0.5
Lor4D,16,0,203626,23.509669771438524,41.11906589515343,0.28125,0.0,0.17647058823529416,0.13196681342635397,20.84558421122294,0.2076124567474049,-0.375,1.8125
Lor4D,16,1,203627,23.42715121218923,35.628009415135615,0.28125,0.0,0.09090909090909094,0.0004430070502246965,20.62934542300551,0.0991735537190083,-1.25,0.875
Lor4D,16,2,203628,23.184767492385877,32.2512568870539,0.28125,0.0,0.13043478260869568,0.006175291051581712,20.391343286192278,0.14744801512287337,-1.125,1.4375
Lor4D,16,3,203629,24.35117102740367,43.70293216740486,0.28125,0.0,0.125,0.004298826605220215,21.560451026875853,0.140625,-0.5,1.25
Lor4D,16,4,203630,24.506529983073843,46.02283384921361,0.28125,0.0,0.0625,6.666415013649846e-05,21.712505780763664,0.06640625,-0.75,0.625
Lor4D,16,5,203631,24.480757641158213,36.93385979100312,0.28125,0.0,0.04761904761904767,2.471984053985627e-05,21.683055904915154,0.0498866213151928,-1.375,0.3125
Lor4D,16,6,203632,24.54888094579944,42.66491094296047,0.1875,0.0,0.0,1.033555015989386e-06,22.69094794373164,0.0,-1.5,-0.25
Lor4D,16,7,203633,23.32278487118449,36.56936310490486,0.28125,0.0,0.15000000000000002,0.022736630118061426,20.547649246544513,0.18750000000000003,-1.0,-1.5
Lor4D,16,8,203634,24.8835808324624,40.70766409312648,0.28125,0.0,0.17647058823529416,0.13196681342635397,22.219330711526002,0.2076124567474049,-0.375,1.8125
Lor4D,16,9,203635,23.391556383342426,38.44142212907415,0.28125,0.0,0.10526315789473684,0.0011534165948183979,20.595586368788872,0.11634349030470913,-0.875,1.0625
Lor5D,16,0,303626,24.737203740022668,53.32541045286903,0.1875,0.0,0.0,1.033555015989386e-06,22.88353493775883,0.0,-0.625,0.1875
Lor5D,16,1,303627,25.497172002265703,52.06727044969203,0.1875,0.0,0.0,1.033555015989386e-06,23.642999944000596,0.0,-0.875,0.0625
Lor5D,16,2,303628,24.539261439407177,45.14164503208032,0.1875,0.0,0.0,1.033555015989386e-06,22.682319130975024,0.0,-1.25,-0.125
Lor5D,16,3,303629,25.573848942518573,56.77092602108548,0.1875,0.0,0.0,1.033555015989386e-06,23.721558346482023,0.0,-0.5,0.25
Lor5D,16,4,303630,24.652116674056412,37.99734893431437,0.1875,0.0,0.0,1.033555015989386e-06,22.792316647185153,0.0,-1.75,-0.375
Lor5D,16,5,303631,24.790413007411292,44.410722684314344,0.1875,0.0,0.0,1.033555015989386e-06,22.933178330040032,0.0,-1.25,-0.125
Lor5D,16,6,303632,26.637450589736865,65.68006694112,0.1875,0.0,0.0,1.033555015989386e-06,24.788723650068327,0.0,0.0,0.5
Lor5D,16,7,303633,25.920511440475455,60.70001822377644,0.1875,0.0,0.0,1.033555015989386e-06,24.069792481319983,0.0,-0.25,0.375
Lor5D,16,8,303634,24.576886333510398,39.75275001245693,0.28125,0.0,0.16666666666666663,0.06888936105128955,21.84917679456667,0.19444444444444442,-0.5,1.75
Lor5D,16,9,303635,25.826727979475933,54.86768939510889,0.1875,0.0,0.0,1.033555015989386e-06,23.97367608878899,0.0,-0.625,0.1875
