family,N,rep,seed,log_H,f5_calibrated,C0,C1,C2,C3,total_relations,link_fraction,mean_k,s_bd_exact,bd_ratio_stored,abs_diff
Lor2D,20,6,8042,21.44691326843627,42.610837231738586,33,17,18,12,91,0.3626373626373627,1.5054945054945055,1.5969085859195749,1.5969085859195749,0.0
Lor2D,20,7,9042,20.416437458172712,40.72336947293124,43,15,14,7,100,0.42999999999999994,1.84,1.6188,1.6188,0.0
Lor3D,20,0,2042,27.780341130817355,62.57772610508995,37,10,4,1,54,0.6851851851851852,0.5370370370370371,0.4838820301783265,0.4838820301783265,0.0
Lor3D,20,1,3042,27.260106345645553,58.06256906240222,41,13,6,3,66,0.6212121212121212,0.7121212121212122,0.6485307621671258,0.6485307621671258,0.0
Lor3D,20,2,4042,29.788592651502935,67.16605747543603,45,10,1,0,56,0.8035714285714286,0.21428571428571427,0.23852040816326525,0.23852040816326525,0.0
Lor3D,20,3,5042,29.704345338895532,68.8092962713325,26,12,6,1,46,0.5652173913043478,0.6739130434782609,0.727788279773157,0.727788279773157,0.0
Lor3D,20,4,6042,29.5685693209943,67.94758375648644,38,10,0,2,50,0.76,0.32,0.3168,0.3168,0.0
Lor3D,20,5,7042,29.85323614865654,69.6334627525101,33,6,6,1,46,0.717391304347826,0.45652173913043476,0.41162570888468814,0.41162570888468814,0.0
Lor3D,20,6,8042,29.466810803738078,67.57159746075138,26,21,3,0,50,0.52,0.54,0.7392,0.7392,0.0
Lor3D,20,7,9042,29.399849575547677,67.84725199532457,33,13,1,1,48,0.6875,0.375,0.4296875,0.4296875,0.0
Lor4D,20,0,2042,31.6677078435668,79.9654833208156,29,6,0,0,35,0.8285714285714286,0.17142857142857143,0.20081632653061218,0.20081632653061218,0.0
Lor4D,20,1,3042,31.019185763769975,74.07796871771339,41,5,0,0,46,0.8913043478260869,0.10869565217391304,0.12051039697542537,0.12051039697542537,0.0
Lor4D,20,2,4042,34.448597384628606,93.58791520154568,26,0,0,0,26,1.0,0.0,0.0,0.0,0.0
Lor4D,20,3,5042,34.0918928275408,89.99930223931189,25,2,0,0,27,0.9259259259259259,0.07407407407407407,0.07956104252400548,0.07956104252400548,0.0
Lor4D,20,4,6042,33.66716194817256,90.05010573194325,20,4,0,0,24,0.8333333333333334,0.16666666666666666,0.19444444444444442,0.19444444444444442,0.0
Lor4D,20,5,7042,33.25445320861822,84.46849382022411,27,1,4,0,32,0.84375,0.28125,0.2001953125,0.2001953125,0.0
Lor4D,20,6,8042,34.24665674946065,88.06209358235087,29,3,0,0,32,0.90625,0.09375,0.1025390625,0.1025390625,0.0
Lor4D,20,7,9042,32.96957298893167,85.33381932390783,26,4,0,0,30,0.8666666666666667,0.13333333333333333,0.15111111111111108,0.15111111111111108,0.0
Lor5D,20,0,2042,34.55127822953975,96.06506176368214,22,0,0,0,22,1.0,0.0,0.0,0.0,0.0
Lor5D,20,1,3042,33.568710959929014,86.93062699077225,29,2,0,0,31,0.9354838709677419,0.06451612903225806,0.06867845993756509,0.06867845993756509,0.0
Lor5D,20,2,4042,34.47618743322937,95.91342931222869,22,0,0,0,22,1.0,0.0,0.0,0.0,0.0
Lor5D,20,3,5042,36.470189173133676,104.1878832101908,15,0,0,0,15,1.0,0.0,0.0,0.0,0.0
Lor5D,20,4,6042,37.19092253277717,107.95925709036206,12,0,0,0,12,1.0,0.0,0.0,0.0,0.0
Lor5D,20,5,7042,36.55477556255558,103.26022680989577,13,1,0,0,14,0.9285714285714286,0.07142857142857142,0.07653061224489792,0.07653061224489792,0.0
Lor5D,20,6,8042,36.41690510321043,99.46720496492793,20,1,0,0,21,0.9523809523809523,0.047619047619047616,0.0498866213151928,0.0498866213151928,0.0
Lor5D,20,7,9042,35.2160985979416,97.98488105364359,21,0,0,0,21,1.0,0.0,0.0,0.0,0.0
KR_like,20,0,2042,26.886372003428278,59.1563230292845,46,7,5,6,69,0.6666666666666666,0.7971014492753623,0.5990338164251209,0.5990338164251209,0.0
KR_like,20,1,3042,27.747172735148514,61.03830340114933,44,9,5,7,68,0.6470588235294118,0.7647058823529411,0.6228373702422144,0.6228373702422144,0.0
KR_like,20,2,4042,26.63681046158346,57.10573581645233,58,2,4,6,82,0.7073170731707317,1.0731707317073171,0.6067816775728734,0.6067816775728734,0.0
KR_like,20,3,5042,27.81523826353572,62.07497121196443,42,11,2,6,62,0.6774193548387096,0.5967741935483871,0.5150884495317378,0.5150884495317378,0.0
KR_like,20,4,6042,27.600227778123365,58.88584181168686,43,6,11,8,68,0.6323529411764706,0.7647058823529411,0.6487889273356402,0.6487889273356402,0.0
KR_like,20,5,7042,26.931682656494353,57.456562854645334,51,7,2,13,76,0.6710526315789473,0.8157894736842105,0.5972991689750693,0.5972991689750693,0.0
KR_like,20,6,8042,26.62614612673678,56.75318323153427,60,4,5,4,85,0.7058823529411765,1.0,0.588235294117647,0.588235294117647,0.0
KR_like,20,7,9042,26.963545609741047,59.24066970655028,45,7,8,7,69,0.6521739130434783,0.7536231884057971,0.6099558916194077,0.6099558916194077,0.0
Lor2D,28,0,2842,35.02739385462799,70.15151725095326,61,37,33,15,204,0.2990196078431373,2.4558823529411766,2.4225057670126873,2.4225057670126873,0.0
Lor2D,28,1,3842,32.190614027571094,64.01592537298679,59,27,24,19,188,0.31382978723404253,2.7393617021276597,2.565838614757809,2.565838614757809,0.0
Lor2D,28,2,4842,32.90273103370051,65.56441895646056,50,36,21,21,189,0.26455026455026454,2.693121693121693,2.7161053721900283,2.7161053721900283,0.0
Lor2D,28,3,5842,36.38908467109813,72.9262928181673,59,29,28,16,166,0.35542168674698793,1.927710843373494,1.88713891711424,1.88713891711424,0.0
Lor2D,28,4,6842,35.48937370807119,70.8507954540881,56,40,17,19,182,0.3076923076923077,2.1923076923076925,2.210059171597633,2.210059171597633,0.0
Lor2D,28,5,7842,36.42468826716946,72.74035077120507,58,42,21,12,183,0.31693989071038253,2.4098360655737703,2.329122995610499,2.329122995610499,0.0
Lor2D,28,6,8842,35.01885144225244,69.69415197260402,61,31,34,16,194,0.31443298969072164,2.4896907216494846,2.3924168349452652,2.3924168349452652,0.0
Lor2D,28,7,9842,35.478523412633834,70.7177479421127,61,36,25,13,199,0.3065326633165829,2.613065326633166,2.5055427893235023,2.5055427893235023,0.0
Lor3D,28,0,2842,43.09869657750634,88.32692857253528,76,29,14,10,150,0.5066666666666667,1.22,1.0951999999999997,1.0951999999999997,0.0
Lor3D,28,1,3842,46.8019976537174,103.61930934274758,57,18,8,6,94,0.6063829787234043,0.7872340425531915,0.7034857401539157,0.7034857401539157,0.0
Lor3D,28,2,4842,48.36413052569634,109.33829557131176,68,14,4,3,90,0.7555555555555555,0.3888888888888889,0.3395061728395062,0.3395061728395062,0.0
Lor3D,28,3,5842,50.553933779419815,116.53884069144955,64,8,4,2,78,0.8205128205128205,0.28205128205128205,0.23011176857330706,0.23011176857330706,0.0
Lor3D,28,4,6842,46.66411972426803,100.91202468339534,63,24,7,8,105,0.6,0.7523809523809524,0.700952380952381,0.700952380952381,0.0
Lor3D,28,5,7842,47.08184344660441,103.09856948135142,79,4,8,14,117,0.6752136752136753,0.9743589743589743,0.6412447950909489,0.6412447950909489,0.0
Lor3D,28,6,8842,47.05552824871137,101.72410799229331,69,21,9,4,108,0.6388888888888888,0.6666666666666666,0.6018518518518519,0.6018518518518519,0.0
Lor3D,28,7,9842,44.04809198314246,91.96404686630633,71,30,12,5,128,0.5546875,0.9140625,0.85235595703125,0.85235595703125,0.0
Lor4D,28,0,2842,49.43009866337738,110.74153794947159,77,13,3,3,97,0.7938144329896907,0.32989690721649484,0.2742055478796897,0.2742055478796897,0.0
Lor4D,28,1,3842,54.651441023819245,133.01646096181875,38,8,1,0,47,0.8085106382978723,0.2127659574468085,0.23223177908555917,0.23223177908555917,0.0
Lor4D,28,2,4842,54.146681445874265,129.67799150161372,46,4,3,1,54,0.8518518518518519,0.24074074074074073,0.1838134430727023,0.1838134430727023,0.0
