d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,b1_mean,b1_std
4,128,0.5,12,3.0,0.25,679,0.53125,4.0,0.03125,32.0,15.668439615992398,0.6015625,13.6458211573578
4,128,0.5,13,3.0,0.25,563,0.5234375,4.0,0.03125,32.0,15.827191791344413,0.828125,12.551835881032503
4,128,0.5,14,3.0,0.25,791,0.5546875,4.0,0.03125,32.0,19.32614809008769,-0.5625,13.891741026595623
4,128,0.5,15,3.0,0.25,658,0.5859375,4.0,0.03125,32.0,17.790446874657196,2.3203125,13.059319944099071
4,128,1.0,0,12.0,1.0,235,0.734375,3.0,0.0234375,42.666666666666664,15.542057635833022,0.9453125,4.844953227570288
4,128,1.0,1,12.0,1.0,172,0.7578125,3.0,0.0234375,42.666666666666664,28.241026106633512,0.203125,2.867815411489205
4,128,1.0,2,12.0,1.0,200,0.8203125,3.0,0.0234375,42.666666666666664,19.93879523831757,0.9140625,4.693791350933033
4,128,1.0,3,12.0,1.0,275,0.75,3.0,0.0234375,42.666666666666664,25.69478978746902,1.234375,5.551582509462955
4,128,1.0,4,12.0,1.0,156,0.7265625,3.0,0.0234375,42.666666666666664,26.386023236217735,0.796875,4.102894129072185
4,128,1.0,5,12.0,1.0,315,0.6796875,4.0,0.03125,32.0,21.598611066455177,0.46875,7.932269438029699
4,128,1.0,6,12.0,1.0,227,0.734375,3.0,0.0234375,42.666666666666664,28.58126814696802,-0.1484375,2.5189588739385464
4,128,1.0,7,12.0,1.0,277,0.765625,3.0,0.0234375,42.666666666666664,27.19477073916152,0.6328125,4.438593340219821
4,128,1.0,8,12.0,1.0,196,0.7734375,3.0,0.0234375,42.666666666666664,33.229839334884275,-0.1015625,3.0306760893559295
4,128,1.0,9,12.0,1.0,199,0.65625,3.0,0.0234375,42.666666666666664,27.207025236549146,0.0703125,2.669806856748958
4,128,1.0,10,12.0,1.0,199,0.734375,3.0,0.0234375,42.666666666666664,28.4526897771644,-0.125,5.0156006619347195
4,128,1.0,11,12.0,1.0,294,0.6875,4.0,0.03125,32.0,26.485845276298054,0.609375,5.895223669155819
4,128,1.0,12,12.0,1.0,312,0.6953125,3.0,0.0234375,42.666666666666664,23.098821518760552,-1.2421875,6.689247544742514
4,128,1.0,13,12.0,1.0,295,0.71875,3.0,0.0234375,42.666666666666664,31.372316175606514,-0.3671875,4.548129927766329
4,128,1.0,14,12.0,1.0,287,0.71875,4.0,0.03125,32.0,29.13760456866693,0.9453125,6.183784987961964
4,128,1.0,15,12.0,1.0,365,0.6875,3.0,0.0234375,42.666666666666664,19.344824171395878,0.09375,8.981263048007223
4,128,2.0,0,48.0,4.0,64,0.9296875,3.0,0.0234375,42.666666666666664,33.47967874530592,0.8125,2.5456764818020376
4,128,2.0,1,48.0,4.0,30,0.9296875,2.0,0.015625,64.0,39.0,0.765625,0.5075119302784911
4,128,2.0,2,48.0,4.0,13,0.953125,2.0,0.015625,64.0,52.0,0.8984375,0.3269136867641825
4,128,2.0,3,48.0,4.0,10,0.9765625,2.0,0.015625,64.0,55.0,0.921875,0.2960514893983815
4,128,2.0,4,48.0,4.0,18,0.9296875,2.0,0.015625,64.0,49.0,0.859375,0.4095419506900361
4,128,2.0,5,48.0,4.0,20,0.9609375,2.0,0.015625,64.0,45.0,0.84375,0.38400642898264087
4,128,2.0,6,48.0,4.0,33,0.9609375,3.0,0.0234375,42.666666666666664,39.65125751123439,0.8203125,0.8425555781927683
4,128,2.0,7,48.0,4.0,9,0.953125,2.0,0.015625,64.0,55.0,0.9296875,0.25567294018677456
4,128,2.0,8,48.0,4.0,16,0.984375,2.0,0.015625,64.0,48.0,0.875,0.33071891388307384
4,128,2.0,9,48.0,4.0,10,0.953125,2.0,0.015625,64.0,54.0,0.921875,0.26836818808308854
4,128,2.0,10,48.0,4.0,43,0.9609375,2.0,0.015625,64.0,37.0,0.6640625,0.7101644148320514
4,128,2.0,11,48.0,4.0,12,0.9609375,2.0,0.015625,64.0,52.0,0.90625,0.2914805954090255
4,128,2.0,12,48.0,4.0,13,0.9453125,2.0,0.015625,64.0,53.0,0.8984375,0.3499965122594081
4,128,2.0,13,48.0,4.0,11,0.953125,2.0,0.015625,64.0,53.0,0.9140625,0.280271736166439
4,128,2.0,14,48.0,4.0,18,0.96875,2.0,0.015625,64.0,46.0,0.859375,0.3476343040826092
4,128,2.0,15,48.0,4.0,5,0.96875,2.0,0.015625,64.0,59.0,0.9609375,0.19374369949433196
4,256,0.0,0,0.0,0.0,6134,0.2890625,6.0,0.0234375,42.666666666666664,18.785337071473826,1.6640625,37.59223601351872
4,256,0.0,1,0.0,0.0,6051,0.28515625,7.0,0.02734375,36.57142857142857,22.58860106246475,2.91796875,37.10401749978058
4,256,0.0,2,0.0,0.0,5026,0.32421875,6.0,0.0234375,42.666666666666664,21.776643961414766,-1.0078125,31.79303090246106
4,256,0.0,3,0.0,0.0,5268,0.32421875,6.0,0.0234375,42.666666666666664,16.55965646449896,-0.796875,26.317727917401513
4,256,0.0,4,0.0,0.0,5644,0.3046875,6.0,0.0234375,42.666666666666664,19.422209509276286,4.4140625,37.69211774026625
4,256,0.0,5,0.0,0.0,5645,0.3203125,6.0,0.0234375,42.666666666666664,20.26217055390551,3.6484375,34.89024976707094
4,256,0.0,6,0.0,0.0,4929,0.30859375,6.0,0.0234375,42.666666666666664,19.93043457183566,0.2734375,29.770270101791045
4,256,0.0,7,0.0,0.0,5027,0.3203125,6.0,0.0234375,42.666666666666664,22.698507048310958,1.140625,32.56921340943583
4,256,0.0,8,0.0,0.0,5968,0.33984375,7.0,0.02734375,36.57142857142857,21.57284763544305,8.12890625,34.142551924668886
4,256,0.0,9,0.0,0.0,5717,0.30859375,5.0,0.01953125,51.2,16.302147097851865,-0.60546875,34.19002232147229
4,256,0.0,10,0.0,0.0,5087,0.31640625,6.0,0.0234375,42.666666666666664,19.787762772874437,2.39453125,28.114800396637595
4,256,0.0,11,0.0,0.0,5452,0.328125,6.0,0.0234375,42.666666666666664,18.776462807343545,1.01953125,30.839358371734544
4,256,0.0,12,0.0,0.0,5368,0.31640625,6.0,0.0234375,42.666666666666664,21.530340349273523,0.484375,29.55093176804033
4,256,0.0,13,0.0,0.0,5761,0.3125,6.0,0.0234375,42.666666666666664,20.491190519071576,2.4375,33.12753528033741
4,256,0.0,14,0.0,0.0,6356,0.28515625,6.0,0.0234375,42.666666666666664,15.828946760778354,2.9609375,29.972487995178074
4,256,0.0,15,0.0,0.0,5499,0.3125,6.0,0.0234375,42.666666666666664,21.116081286282473,2.89453125,33.552905538757344
4,256,0.25,0,0.75,0.0625,3963,0.37109375,6.0,0.0234375,42.666666666666664,25.901522906749882,-0.9296875,26.978198256228005
4,256,0.25,1,0.75,0.0625,4272,0.3671875,6.0,0.0234375,42.666666666666664,19.947152400502908,-0.90625,28.190600577807846
4,256,0.25,2,0.75,0.0625,4819,0.41796875,5.0,0.01953125,51.2,19.23954261410598,2.24609375,31.23784114045353
4,256,0.25,3,0.75,0.0625,3903,0.40625,5.0,0.01953125,51.2,14.358272876638054,-1.80859375,30.79757632342943
4,256,0.25,4,0.75,0.0625,3747,0.38671875,5.0,0.01953125,51.2,18.137254478007414,-1.8984375,23.8053105432085
4,256,0.25,5,0.75,0.0625,5247,0.3671875,6.0,0.0234375,42.666666666666664,25.29602515987223,1.08203125,35.09280538264252
4,256,0.25,6,0.75,0.0625,4412,0.39453125,5.0,0.01953125,51.2,9.325234581499814,2.37109375,27.572896713597412
4,256,0.25,7,0.75,0.0625,3704,0.375,6.0,0.0234375,42.666666666666664,27.6204433144888,-0.62109375,25.043419021845057
4,256,0.25,8,0.75,0.0625,4282,0.390625,5.0,0.01953125,51.2,16.01749044014074,-0.25,27.094308673594163
4,256,0.25,9,0.75,0.0625,4286,0.359375,6.0,0.0234375,42.666666666666664,24.36983563524565,0.4765625,30.542993479415106
4,256,0.25,10,0.75,0.0625,3668,0.39453125,6.0,0.0234375,42.666666666666664,25.09758731210809,3.87109375,26.816414785140665
4,256,0.25,11,0.75,0.0625,4565,0.37109375,6.0,0.0234375,42.666666666666664,22.551176367443794,1.7890625,27.19896377384796
4,256,0.25,12,0.75,0.0625,4198,0.3515625,6.0,0.0234375,42.666666666666664,25.15728301881761,-0.22265625,31.910660725599776
4,256,0.25,13,0.75,0.0625,5109,0.34765625,6.0,0.0234375,42.666666666666664,22.20860694015323,0.84765625,33.377870814835326
4,256,0.25,14,0.75,0.0625,4055,0.38671875,6.0,0.0234375,42.666666666666664,20.030532250098155,2.69140625,25.9621585417596
4,256,0.25,15,0.75,0.0625,4348,0.3828125,5.0,0.01953125,51.2,17.93766985982293,0.578125,32.05283952295608
4,256,0.5,0,3.0,0.25,3054,0.45703125,5.0,0.01953125,51.2,26.828343221302354,2.1875,25.866469004292025
4,256,0.5,1,3.0,0.25,2718,0.47265625,5.0,0.01953125,51.2,24.766105870725823,3.11328125,18.70992747469638
4,256,0.5,2,3.0,0.25,3199,0.4765625,5.0,0.01953125,51.2,25.91833327974621,0.4140625,24.795106417317385
4,256,0.5,3,3.0,0.25,2754,0.4765625,5.0,0.01953125,51.2,29.915882069562983,-0.19140625,22.15108112254255
4,256,0.5,4,3.0,0.25,2979,0.45703125,5.0,0.01953125,51.2,24.790320691753866,0.28125,20.173635912683167
4,256,0.5,5,3.0,0.25,2990,0.4765625,5.0,0.01953125,51.2,24.07820591323199,1.44140625,22.022282846527535
4,256,0.5,6,3.0,0.25,3386,0.44921875,5.0,0.01953125,51.2,25.69357896440276,-0.5078125,25.54560752780884
4,256,0.5,7,3.0,0.25,2875,0.45703125,5.0,0.01953125,51.2,28.631451238105274,3.22265625,23.010893190928854
4,256,0.5,8,3.0,0.25,3035,0.453125,5.0,0.01953125,51.2,27.82373087851448,-1.41796875,23.488384541598926
4,256,0.5,9,3.0,0.25,2863,0.4453125,5.0,0.01953125,51.2,28.89567441677041,0.2265625,19.793154926226233
4,256,0.5,10,3.0,0.25,2802,0.49609375,5.0,0.01953125,51.2,25.411808278829746,-0.44921875,20.512699938444193
4,256,0.5,11,3.0,0.25,2768,0.4609375,5.0,0.01953125,51.2,28.7986110776197,1.03125,22.849691429809287
4,256,0.5,12,3.0,0.25,2969,0.43359375,5.0,0.01953125,51.2,23.137847782367313,2.89453125,20.876324091965362
4,256,0.5,13,3.0,0.25,2370,0.47265625,5.0,0.01953125,51.2,29.417001886664114,0.74609375,20.605151063901737
4,256,0.5,14,3.0,0.25,2762,0.49609375,5.0,0.01953125,51.2,27.54922866433832,2.3515625,25.820924727991322
4,256,0.5,15,3.0,0.25,3412,0.4296875,5.0,0.01953125,51.2,27.505635786143902,-1.20703125,26.898392968940048
4,256,1.0,0,12.0,1.0,907,0.59375,4.0,0.015625,64.0,31.24899998399949,1.3046875,9.479054701147353
4,256,1.0,1,12.0,1.0,806,0.6484375,4.0,0.015625,64.0,34.3874977280988,0.66796875,9.010579143374938
4,256,1.0,2,12.0,1.0,936,0.69140625,4.0,0.015625,64.0,46.652974181717504,-0.0625,9.618301240343849
4,256,1.0,3,12.0,1.0,1259,0.63671875,4.0,0.015625,64.0,40.30508652763321,1.0625,11.27410611755983
4,256,1.0,4,12.0,1.0,888,0.6796875,5.0,0.01953125,51.2,47.89321455070645,0.81640625,8.208791755487585
4,256,1.0,5,12.0,1.0,1147,0.6640625,4.0,0.015625,64.0,39.69256857397868,1.4765625,14.86210830210821
4,256,1.0,6,12.0,1.0,1234,0.6328125,4.0,0.015625,64.0,41.803109932156964,-0.10546875,13.777834376010384
4,256,1.0,7,12.0,1.0,1004,0.703125,4.0,0.015625,64.0,41.07919181288746,1.87890625,9.475965916660472
4,256,1.0,8,12.0,1.0,1199,0.69140625,4.0,0.015625,64.0,36.21463792446364,1.1015625,11.87324976822242
4,256,1.0,9,12.0,1.0,874,0.67578125,4.0,0.015625,64.0,47.15400301140933,1.015625,9.629450574117664
4,256,1.0,10,12.0,1.0,1132,0.65625,5.0,0.01953125,51.2,38.90192797278819,0.921875,11.499734626693565
4,256,1.0,11,12.0,1.0,1238,0.58203125,4.0,0.015625,64.0,37.72929895982696,-0.125,11.80174775192217
4,256,1.0,12,12.0,1.0,902,0.6796875,4.0,0.015625,64.0,40.41658075592244,0.62890625,9.219914353111472
4,256,1.0,13,12.0,1.0,660,0.71875,3.0,0.01171875,85.33333333333333,45.82818152864264,-0.4375,7.107709282884325
4,256,1.0,14,12.0,1.0,824,0.69921875,4.0,0.015625,64.0,46.36809247747852,1.33984375,9.753892170594565
4,256,1.0,15,12.0,1.0,943,0.65234375,5.0,0.01953125,51.2,40.10685726905064,0.76171875,10.513842223273965
4,256,2.0,0,48.0,4.0,77,0.94921875,3.0,0.01171875,85.33333333333333,75.5968841215621,0.77734375,0.8756885544164303
4,256,2.0,1,48.0,4.0,67,0.9375,3.0,0.01171875,85.33333333333333,81.20071154586982,0.77734375,0.70241935076985
4,256,2.0,2,48.0,4.0,81,0.9296875,3.0,0.01171875,85.33333333333333,74.21739837950548,0.95703125,1.378585302592276
4,256,2.0,3,48.0,4.0,80,0.8984375,3.0,0.01171875,85.33333333333333,78.50406925051011,0.70703125,1.4777349429188704
4,256,2.0,4,48.0,4.0,84,0.93359375,3.0,0.01171875,85.33333333333333,74.79007658476861,0.7890625,1.0394736028845322
4,256,2.0,5,48.0,4.0,50,0.9453125,3.0,0.01171875,85.33333333333333,93.95861973348812,0.9609375,1.1032788047876882
4,256,2.0,6,48.0,4.0,48,0.9453125,2.0,0.0078125,128.0,83.0,0.8125,0.4192627457812106
4,256,2.0,7,48.0,4.0,69,0.921875,2.0,0.0078125,128.0,63.0,0.73046875,0.4776339134456823
4,256,2.0,8,48.0,4.0,43,0.94921875,2.0,0.0078125,128.0,85.0,0.83203125,0.37383853335823675
4,256,2.0,9,48.0,4.0,70,0.93359375,2.0,0.0078125,128.0,77.0,0.7265625,0.6400054168471936
4,256,2.0,10,48.0,4.0,48,0.94921875,2.0,0.0078125,128.0,89.0,0.8125,0.480071609241788
4,256,2.0,11,48.0,4.0,85,0.92578125,3.0,0.01171875,85.33333333333333,74.40579427855214,0.70703125,0.7578427023620651
4,256,2.0,12,48.0,4.0,130,0.91015625,3.0,0.01171875,85.33333333333333,60.25685760881403,0.8046875,1.561542675479524
4,256,2.0,13,48.0,4.0,24,0.94921875,2.0,0.0078125,128.0,104.0,0.90625,0.2914805954090255
4,256,2.0,14,48.0,4.0,93,0.9140625,3.0,0.01171875,85.33333333333333,74.79007658476861,0.75390625,1.0816222151060588
4,256,2.0,15,48.0,4.0,106,0.921875,3.0,0.01171875,85.33333333333333,64.93244352573082,0.859375,1.4696639443678954
4,512,0.0,0,0.0,0.0,22984,0.2421875,8.0,0.015625,64.0,32.984845004941285,2.41015625,43.137676288838115
