scope,alpha,focus_family,control_family,win_rate_focus_vs_control,mean_score_focus,mean_score_control,mean_gap_control_minus_focus
20,5.0,Lor4D,KR_like,1.0,-85.03741168186058,-55.9714360105211,29.06597567133948
20,5.25,Lor4D,KR_like,1.0,-85.0046248788423,-55.82181036690173,29.182814511940546
20,5.5,Lor4D,KR_like,1.0,-84.97183807582398,-55.67218472328237,29.299653352541615
20,5.75,Lor4D,KR_like,1.0,-84.93905127280567,-55.522559079663,29.416492193142677
20,6.0,Lor4D,KR_like,1.0,-84.90626446978737,-55.37293343604363,29.533331033743742
20,6.25,Lor4D,KR_like,1.0,-84.87347766676908,-55.223307792424265,29.65016987434481
20,6.5,Lor4D,KR_like,1.0,-84.84069086375078,-55.0736821488049,29.767008714945874
20,6.75,Lor4D,KR_like,1.0,-84.80790406073248,-54.92405650518553,29.883847555546943
20,7.0,Lor4D,KR_like,1.0,-84.77511725771419,-54.77443086156617,30.00068639614801
20,7.25,Lor4D,KR_like,1.0,-84.74233045469589,-54.6248052179468,30.117525236749074
20,7.5,Lor4D,KR_like,1.0,-84.70954365167758,-54.475179574327434,30.23436407735014
20,7.75,Lor4D,KR_like,1.0,-84.67675684865928,-54.325553930708075,30.35120291795121
20,8.0,Lor4D,KR_like,1.0,-84.64397004564097,-54.17592828708871,30.468041758552268
20,8.25,Lor4D,KR_like,1.0,-84.61118324262267,-54.026302643469336,30.584880599153337
20,8.5,Lor4D,KR_like,1.0,-84.57839643960438,-53.87667699984997,30.701719439754402
20,8.75,Lor4D,KR_like,1.0,-84.54560963658608,-53.727051356230604,30.818558280355468
20,9.0,Lor4D,KR_like,1.0,-84.51282283356778,-53.577425712611245,30.935397120956537
20,9.25,Lor4D,KR_like,1.0,-84.48003603054948,-53.42780006899187,31.052235961557603
20,9.5,Lor4D,KR_like,1.0,-84.44724922753117,-53.27817442537251,31.16907480215867
20,9.75,Lor4D,KR_like,1.0,-84.41446242451289,-53.12854878175314,31.285913642759734
20,10.0,Lor4D,KR_like,1.0,-84.38167562149458,-52.97892313813378,31.4027524833608
28,-10.0,Lor4D,KR_like,1.0,-127.0385791611711,-102.41578998670606,24.62278917446504
28,-9.75,Lor4D,KR_like,1.0,-126.98849544301976,-102.23782683092037,24.750668612099396
28,-9.5,Lor4D,KR_like,1.0,-126.93841172486843,-102.05986367513466,24.87854804973375
28,-9.25,Lor4D,KR_like,1.0,-126.88832800671707,-101.88190051934899,25.0064274873681
28,-9.0,Lor4D,KR_like,1.0,-126.83824428856573,-101.70393736356328,25.134306925002456
28,-8.75,Lor4D,KR_like,1.0,-126.78816057041439,-101.52597420777758,25.262186362636808
28,-8.5,Lor4D,KR_like,1.0,-126.73807685226305,-101.3480110519919,25.390065800271156
28,-8.25,Lor4D,KR_like,1.0,-126.68799313411171,-101.1700478962062,25.517945237905504
28,-8.0,Lor4D,KR_like,1.0,-126.63790941596038,-100.99208474042051,25.645824675539863
28,-7.75,Lor4D,KR_like,1.0,-126.58782569780904,-100.81412158463482,25.773704113174222
28,-7.5,Lor4D,KR_like,1.0,-126.53774197965768,-100.63615842884911,25.901583550808574
28,-7.25,Lor4D,KR_like,1.0,-126.48765826150635,-100.45819527306342,26.029462988442923
28,-7.0,Lor4D,KR_like,1.0,-126.437574543355,-100.28023211727773,26.157342426077275
28,-6.75,Lor4D,KR_like,1.0,-126.38749082520366,-100.10226896149203,26.285221863711623
28,-6.5,Lor4D,KR_like,1.0,-126.33740710705231,-99.92430580570634,26.41310130134597
28,-6.25,Lor4D,KR_like,1.0,-126.28732338890097,-99.74634264992065,26.54098073898033
28,-6.0,Lor4D,KR_like,1.0,-126.23723967074963,-99.56837949413494,26.66886017661468
28,-5.75,Lor4D,KR_like,1.0,-126.18715595259829,-99.39041633834925,26.796739614249038
28,-5.5,Lor4D,KR_like,1.0,-126.13707223444695,-99.21245318256356,26.92461905188339
28,-5.25,Lor4D,KR_like,1.0,-126.0869885162956,-99.03449002677786,27.05249848951773
28,-5.0,Lor4D,KR_like,1.0,-126.03690479814426,-98.85652687099217,27.180377927152087
28,-4.75,Lor4D,KR_like,1.0,-125.98682107999292,-98.67856371520648,27.30825736478645
28,-4.5,Lor4D,KR_like,1.0,-125.93673736184158,-98.50060055942077,27.436136802420798
