d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,occupancy_R,S1_c1_over_c0,S2_c2_over_c1,S3_c2_over_c0,S4_nonlink_low,S5_log_curvature,S6_log_concavity,S7_depth_over_linkfrac,S8_bdg_d2c_shape,S9_gini,S10_kl_vs_flat,S11_link_frac,S12_bdg_d2c_intensive,S13_c3_over_c2,S14_geo_mean_ratio,S15_ratio_of_ratios,C0,C1,C2,C3,C4,total_pairs
2,128,0.500000,4,0.500000,26.243603,3395,9.066050,0.875405,0.657210,0.913669,0.600473,0.557068,0.719309,-0.329464,75.094563,-1.265625,0.554258,-0.365954,0.124595,-0.009888,0.858268,0.801750,1.390223,423,278,254,218,202,3395
2,128,0.500000,5,0.500000,57.256612,3458,9.375190,0.884037,0.765586,0.824104,0.630923,0.582726,0.928992,-0.073655,82.827930,-0.468750,0.571835,-0.366585,0.115963,-0.003662,0.782609,0.790388,1.076436,401,307,253,198,175,3458
2,128,0.500000,6,0.500000,12.403037,3380,8.837591,0.877219,0.792771,0.817629,0.648193,0.590326,0.969597,-0.030874,73.908434,-0.343750,0.585259,-0.363553,0.122781,-0.002686,0.784387,0.798138,1.031356,415,329,269,211,193,3380
2,128,0.500000,7,0.500000,38.358915,3265,8.909599,0.876570,0.794045,0.771875,0.612903,0.584536,1.028722,0.028317,74.245658,-0.296875,0.590753,-0.363690,0.123430,-0.002319,0.854251,0.805983,0.972080,403,320,247,211,184,3265
2,128,1.000000,0,2.000000,29.331685,2818,7.577415,0.849539,0.622642,0.901515,0.561321,0.542117,0.690661,-0.370106,52.634434,-1.500000,0.600527,-0.357470,0.150461,-0.011719,0.768908,0.755721,1.447888,424,264,238,183,160,2818
2,128,1.000000,1,2.000000,157.646704,2664,6.766070,0.851351,0.729798,0.757785,0.553030,0.561947,0.963067,-0.037633,46.737374,-0.671875,0.575890,-0.349881,0.148649,-0.005249,0.954338,0.808135,1.038350,396,289,219,209,182,2664
2,128,1.000000,2,2.000000,177.628134,2624,6.670573,0.857851,0.852547,0.814465,0.694370,0.607368,1.046756,0.045696,47.667560,0.140625,0.573395,-0.340403,0.142149,0.001099,0.876448,0.847434,0.955332,373,318,259,227,168,2624
2,128,1.000000,3,2.000000,192.289370,2666,6.683570,0.849587,0.695761,0.802867,0.558603,0.556416,0.866595,-0.143184,45.653367,-0.906250,0.554161,-0.352618,0.150413,-0.007080,0.839286,0.776851,1.153942,401,279,224,188,176,2666
2,128,1.000000,4,2.000000,103.801161,2637,6.821581,0.840349,0.676960,0.775439,0.524941,0.545847,0.873002,-0.135817,44.581948,-1.125000,0.589060,-0.348469,0.159651,-0.008789,0.787330,0.744885,1.145472,421,285,221,174,180,2637
2,128,1.000000,5,2.000000,286.603237,2210,5.913282,0.828054,0.697368,0.766038,0.534211,0.551887,0.910358,-0.093918,35.715789,-0.796875,0.651846,-0.332364,0.171946,-0.006226,0.926108,0.790906,1.098469,380,265,203,188,150,2210
2,128,1.000000,6,2.000000,124.427065,2666,6.926652,0.848837,0.712159,0.763066,0.543424,0.556656,0.933286,-0.069044,47.367246,-0.812500,0.597505,-0.350386,0.151163,-0.006348,0.968037,0.807254,1.071483,403,287,219,212,166,2666
2,128,1.000000,7,2.000000,251.089057,2696,7.311283,0.857196,0.729870,0.743772,0.542857,0.560000,0.981309,-0.018868,52.724675,-0.625000,0.589725,-0.355777,0.142804,-0.004883,0.942584,0.799838,1.019047,385,281,209,197,174,2696
2,128,2.000000,0,8.000000,2043.254256,1653,4.406858,0.812462,0.700000,0.894009,0.625806,0.570042,0.782990,-0.244636,23.590323,-0.453125,0.572188,-0.298340,0.187538,-0.003540,0.845361,0.808774,1.277156,310,217,194,164,132,1653
2,128,2.000000,1,8.000000,1331.063630,1482,3.863137,0.775978,0.656627,0.724771,0.475904,0.531073,0.905978,-0.098740,17.759036,-0.781250,0.611864,-0.274516,0.224022,-0.006104,0.816456,0.729710,1.103779,332,218,158,129,126,1482
2,128,2.000000,2,8.000000,2196.947554,1489,3.532711,0.773674,0.661721,0.757848,0.501484,0.537723,0.873159,-0.135638,15.756677,-0.781250,0.522419,-0.265098,0.226326,-0.006104,0.816568,0.742591,1.145267,337,223,169,138,128,1489
2,128,2.000000,3,8.000000,1539.046512,1395,3.543677,0.771326,0.717868,0.759825,0.545455,0.558172,0.944781,-0.056802,15.717868,-0.406250,0.592867,-0.251850,0.228674,-0.003174,0.752874,0.743293,1.058447,319,229,174,131,101,1395
2,128,2.000000,4,8.000000,1916.664355,1491,3.879713,0.775319,0.656716,0.731818,0.480597,0.532123,0.897376,-0.108280,17.820896,-0.796875,0.552951,-0.267686,0.224681,-0.006226,1.024845,0.789732,1.114360,335,220,161,165,100,1491
2,128,2.000000,5,8.000000,966.614524,1432,3.448914,0.750698,0.574230,0.858537,0.492997,0.516260,0.668847,-0.402200,14.417367,-1.375000,0.591620,-0.253343,0.249302,-0.010742,0.687500,0.697224,1.495110,357,205,176,121,112,1432
2,128,2.000000,6,8.000000,1231.641510,1434,3.764210,0.763598,0.643068,0.678899,0.436578,0.519149,0.947222,-0.054222,16.622419,-0.890625,0.558159,-0.262659,0.236402,-0.006958,0.918919,0.737530,1.055719,339,218,148,136,114,1434
2,128,2.000000,7,8.000000,3130.434793,1244,3.182803,0.766881,0.710345,0.776699,0.551724,0.557927,0.914569,-0.089302,13.513793,-0.312500,0.616517,-0.226007,0.233119,-0.002441,0.868750,0.782598,1.093411,290,206,160,139,116,1244
2,256,0.000000,0,0.000000,0.529233,17170,24.992445,0.942225,0.781250,0.823226,0.643145,0.587526,0.949011,-0.052335,441.797379,-0.695312,0.584549,-0.325070,0.057775,-0.002716,0.901254,0.833781,1.053729,992,775,638,575,547,17170
2,256,0.000000,1,0.000000,9.171140,16476,23.518284,0.938092,0.757843,0.799483,0.605882,0.576939,0.947917,-0.053488,388.806863,-0.929688,0.591409,-0.330934,0.061908,-0.003632,1.000000,0.846180,1.054945,1020,773,618,618,531,16476
2,256,0.000000,2,0.000000,-0.875855,16545,23.232146,0.934300,0.707452,0.885566,0.626495,0.571541,0.798870,-0.224557,363.256670,-1.484375,0.573612,-0.333713,0.065700,-0.005798,0.848752,0.810151,1.251768,1087,769,681,578,548,16545
2,256,0.000000,3,0.000000,2.172852,16715,24.011664,0.939695,0.783730,0.888608,0.696429,0.596800,0.881976,-0.125591,407.139881,-0.703125,0.579749,-0.331565,0.060305,-0.002747,0.880342,0.849525,1.133818,1008,790,702,618,514,16715
2,256,0.000000,4,0.000000,-10.141676,16089,22.702765,0.932936,0.721038,0.826478,0.595922,0.568400,0.872422,-0.136482,347.945320,-1.351562,0.603739,-0.335815,0.067064,-0.005280,0.892691,0.810271,1.146234,1079,778,643,574,557,16089
2,256,0.000000,5,0.000000,7.151792,15808,22.401671,0.936994,0.774096,0.833982,0.645582,0.586722,0.928193,-0.074515,363.584337,-0.757812,0.586627,-0.334059,0.063006,-0.002960,0.881804,0.828784,1.077362,996,771,643,567,531,15808
2,256,0.000000,6,0.000000,-1.418325,16502,24.649556,0.938492,0.759606,0.893645,0.678818,0.589899,0.850009,-0.162508,410.762562,-0.906250,0.608071,-0.332356,0.061508,-0.003540,0.882438,0.842971,1.176458,1015,771,689,608,525,16502
2,256,0.000000,7,0.000000,-1.014200,16525,23.800519,0.939123,0.759443,0.918848,0.697813,0.593042,0.826517,-0.190535,399.874751,-0.890625,0.606817,-0.333715,0.060877,-0.003479,0.891738,0.853740,1.209897,1006,764,702,626,561,16525
2,256,0.250000,0,0.125000,2.262986,15793,22.279273,0.936048,0.737624,0.865772,0.638614,0.579167,0.851984,-0.160187,356.537624,-1.070312,0.592157,-0.334647,0.063952,-0.004181,0.925581,0.839236,1.173731,1010,745,645,597,526,15793
2,256,0.250000,1,0.125000,-4.304194,15091,20.476681,0.933006,0.769535,0.840617,0.646884,0.586165,0.915441,-0.088350,312.671612,-0.820312,0.567416,-0.340507,0.066994,-0.003204,0.914373,0.839428,1.092370,1011,778,654,598,513,15091
2,256,0.250000,2,0.125000,-4.837951,14710,20.771439,0.926105,0.704692,0.818538,0.576817,0.561694,0.860915,-0.149759,289.988960,-1.507812,0.636039,-0.345072,0.073895,-0.005890,0.934609,0.813872,1.161554,1087,766,627,586,564,14710
2,256,0.250000,3,0.125000,6.620404,15337,21.766472,0.932516,0.750725,0.792793,0.595169,0.573723,0.946937,-0.054523,331.066667,-1.015625,0.600348,-0.339272,0.067484,-0.003967,1.016234,0.845690,1.056037,1035,777,616,626,521,15337
2,256,0.250000,4,0.125000,7.014641,15327,21.263958,0.932146,0.702885,0.926129,0.650962,0.575163,0.758949,-0.275820,321.451923,-1.414062,0.583971,-0.339228,0.067854,-0.005524,0.844904,0.819321,1.317611,1040,731,677,572,549,15327
2,256,0.250000,5,0.125000,5.343918,15331,21.068382,0.930011,0.723206,0.835052,0.603914,0.570284,0.866061,-0.143799,309.390494,-1.320312,0.615923,-0.341524,0.069989,-0.005157,0.929012,0.824769,1.154652,1073,776,648,602,548,15331
2,256,0.250000,6,0.125000,2.121378,14681,20.146279,0.931067,0.808300,0.812958,0.657115,0.594389,0.994270,-0.005746,299.391304,-0.515625,0.594974,-0.346576,0.068933,-0.002014,0.908271,0.841948,1.005763,1012,818,665,604,576,14681
2,256,0.250000,7,0.125000,-3.004973,15773,21.760769,0.930704,0.710887,0.881596,0.626715,0.572211,0.806364,-0.215220,322.978042,-1.468750,0.552206,-0.339171,0.069296,-0.005737,0.861314,0.814224,1.240134,1093,777,685,590,526,15773
2,256,0.500000,0,0.500000,22.369410,12832,17.097491,0.923628,0.748980,0.880109,0.659184,0.584746,0.851008,-0.161334,229.289796,-0.921875,0.571913,-0.351563,0.076372,-0.003601,0.828173,0.817289,1.175077,980,734,646,535,495,12832
2,256,0.500000,1,0.500000,52.910339,13911,19.172092,0.928114,0.732000,0.811475,0.594000,0.570077,0.902061,-0.103074,273.449000,-1.093750,0.601873,-0.345354,0.071886,-0.004272,0.947811,0.825726,1.108573,1000,732,594,563,553,13911
2,256,0.500000,2,0.500000,-3.190481,13957,18.782682,0.924554,0.710351,0.864973,0.614435,0.569853,0.821241,-0.196939,256.016144,-1.382812,0.600514,-0.347538,0.075446,-0.005402,0.880989,0.814984,1.217670,1053,748,647,570,511,13957
