d,N,hubble,rep,R_dS,R_hat,ratio,flat_prefactor,flat_r2,n_causal_pairs,intercept
2,2048,0.0,0,0.0,6.519050146365665,nan,0.48190408737598006,0.9654487629036599,1047896,0.5004954362969263
2,2048,0.0,1,0.0,3.146805001431554,nan,0.48955419941012057,0.9742960976171576,1048825,0.4991112410771029
2,2048,0.0,2,0.0,-0.8158336941171894,nan,0.5109040700443414,0.9623038109138691,1045864,0.5092576929877602
2,2048,0.0,3,0.0,6.7908701590993505,nan,0.4795772784788791,0.978231954312801,1046483,0.49899760641293445
2,2048,0.0,4,0.0,4.051485092512487,nan,0.4924646342363547,0.9692220826174636,1051052,0.5042647469935816
2,2048,0.25,0,0.125,0.1897488874221012,1.5179910993768095,0.39150488498720853,0.6662813944791688,965406,0.39187229380190636
2,2048,0.25,1,0.125,0.6057232058580272,4.8457856468642175,0.39282070706079925,0.669876898807173,941286,0.3939620589431794
2,2048,0.25,2,0.125,0.3695612450574971,2.956489960459977,0.3942416369939451,0.6745079442791739,957084,0.39489457914602183
2,2048,0.25,3,0.125,1.8380334954479478,14.704267963583582,0.37990575955003947,0.6760618273866026,962957,0.38477409983609834
2,2048,0.25,4,0.125,-1.3598980274912564,-10.879184219930051,0.3958398534517005,0.6750298863757371,942892,0.39121294412545843
2,2048,0.5,0,0.5,5.049638428068734,10.099276856137468,0.4406361640048542,0.6516593646598549,875980,0.4520561932839408
2,2048,0.5,1,0.5,12.438914195630591,24.877828391261183,0.4411737854234947,0.6417327741563914,859927,0.47078402449421325
2,2048,0.5,2,0.5,16.577918896261092,33.155837792522185,0.42643902661491656,0.644204931925711,880855,0.466847439250954
2,2048,0.5,3,0.5,9.836084166128911,19.672168332257822,0.4485106707885178,0.6281742208452736,855027,0.47208402959341916
2,2048,0.5,4,0.5,8.854957448382885,17.70991489676577,0.4386761076336543,0.6503923846183632,872148,0.45897883621081953
2,2048,1.0,0,2.0,130.72542522276575,65.36271261138288,0.5308168139684243,0.5580530245506987,671309,0.73073268105628
2,2048,1.0,1,2.0,115.66920817280604,57.83460408640302,0.5415996340569258,0.5538914758232769,681477,0.7169711085035987
2,2048,1.0,2,2.0,124.05483219758457,62.02741609879229,0.5273203192791243,0.5502073880280978,683962,0.7219028754737628
2,2048,1.0,3,2.0,102.37116996460337,51.185584982301684,0.5577711183942735,0.5607772097873094,673158,0.7075461578260288
2,2048,1.0,4,2.0,103.11467004400075,51.55733502200037,0.5499196777714459,0.5750513605363863,682651,0.7011005619860907
2,2048,2.0,0,8.0,1812.5855190790598,226.57318988488248,0.7667552001807588,0.4105548287370131,364160,1.8643863045460722
2,2048,2.0,1,8.0,1579.371594137097,197.42144926713712,0.753702868929885,0.39649411448702965,379277,1.754640279158994
2,2048,2.0,2,8.0,1747.5147868750487,218.43934835938109,0.7670058545216085,0.39712120171743104,361795,1.8105626717110188
2,2048,2.0,3,8.0,1700.9809316733486,212.62261645916857,0.7486691656509077,0.39528321773771746,363679,1.8120861030011768
