d,N,hubble,rep,seed,R_dS,R_hat,flat_prefactor,flat_r2,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,f_link,wall_sigma
2,256,0.000000,4,20716363,0.000000,-8.958701,0.528857,0.899377,15757,22.660657,5.281250,-0.625000,0.934759,0.065241,1.000000
2,256,0.000000,5,20716373,0.000000,21.543018,0.477292,0.849624,16737,24.096550,-0.207031,-0.601562,0.942284,0.057716,1.000000
2,256,0.000000,6,20716383,0.000000,5.329881,0.516561,0.851454,16407,23.917956,-1.230469,-1.085938,0.936856,0.063144,1.000000
2,256,0.000000,7,20716393,0.000000,-3.557893,0.469163,0.930280,16049,22.519709,-0.015625,-0.906250,0.935635,0.064365,1.000000
2,256,0.250000,0,20716348,0.125000,5.001242,0.432170,0.607431,14598,21.006508,3.167969,-1.039062,0.929716,0.070284,1.000000
2,256,0.250000,1,20716358,0.125000,9.925097,0.421665,0.606009,14595,20.636466,-0.132812,-0.703125,0.932443,0.067557,1.000000
2,256,0.250000,2,20716368,0.125000,-9.969944,0.386348,0.627402,14546,20.171398,2.437500,-0.937500,0.928640,0.071360,1.000000
2,256,0.250000,3,20716378,0.125000,-3.274205,0.392614,0.654261,15209,20.969041,3.238281,-0.710938,0.934118,0.065882,1.000000
2,256,0.250000,4,20716388,0.125000,0.278831,0.428856,0.608685,15394,21.750934,4.804688,-1.140625,0.933481,0.066519,1.000000
2,256,0.250000,5,20716398,0.125000,-1.937081,0.456620,0.583594,14986,21.606532,-1.609375,-0.593750,0.933938,0.066062,1.000000
2,256,0.250000,6,20716408,0.125000,-2.168142,0.403186,0.627220,14668,20.177968,0.296875,-0.656250,0.932029,0.067971,1.000000
2,256,0.250000,7,20716418,0.125000,-4.844464,0.407994,0.634574,14557,20.428298,4.750000,-0.437500,0.932610,0.067390,1.000000
2,256,0.500000,0,20716373,0.500000,28.457151,0.396456,0.598242,13815,18.173613,0.464844,-1.257812,0.927760,0.072240,1.000000
2,256,0.500000,1,20716383,0.500000,-22.664619,0.447816,0.605063,13575,18.254374,3.734375,-0.531250,0.923904,0.076096,1.000000
2,256,0.500000,2,20716393,0.500000,5.255967,0.430982,0.591416,13151,17.560825,2.730469,-0.789062,0.924568,0.075432,1.000000
2,256,0.500000,3,20716403,0.500000,20.808575,0.401377,0.607362,13394,17.850341,-4.156250,-0.812500,0.928102,0.071898,1.000000
2,256,0.500000,4,20716413,0.500000,12.538530,0.430890,0.571796,13303,17.986037,2.812500,-1.250000,0.922950,0.077050,1.000000
2,256,0.500000,5,20716423,0.500000,1.600504,0.474137,0.573247,13036,18.179220,2.964844,-0.570312,0.924287,0.075713,1.000000
2,256,0.500000,6,20716433,0.500000,-7.680983,0.442152,0.617429,13517,18.550717,4.886719,-0.726562,0.924244,0.075756,1.000000
2,256,0.500000,7,20716443,0.500000,4.582317,0.418949,0.560600,13345,18.374094,0.871094,-0.632812,0.925515,0.074485,1.000000
2,256,1.000000,0,20716423,2.000000,93.175273,0.583546,0.514457,10504,14.046807,3.800781,-0.335938,0.908606,0.091394,1.000000
2,256,1.000000,1,20716433,2.000000,41.117164,0.556245,0.518950,10864,14.370810,1.230469,-0.476562,0.911543,0.088457,1.000000
2,256,1.000000,2,20716443,2.000000,126.806550,0.535378,0.476015,10252,13.894317,0.828125,-0.281250,0.911237,0.088763,1.000000
