d,N,hubble,rep,R_dS,R_hat,ratio,flat_prefactor,flat_r2,n_causal_pairs,intercept
2,1024,0.0,0,0.0,4.050785421914194,nan,0.4688198841074875,0.960023246798709,267062,0.48096935764810056
2,1024,0.0,1,0.0,2.901660994916418,nan,0.4877438615551164,0.9712487273397855,264165,0.49665111414104757
2,1024,0.0,2,0.0,0.26109718339212373,nan,0.5001524472561769,0.9573825695522642,265790,0.5020996240527197
2,1024,0.0,3,0.0,5.360535828226894,nan,0.490802933349701,0.9548263547199674,256873,0.5058145721330122
2,1024,0.0,4,0.0,2.0337260050124195,nan,0.48630565318780977,0.9669083229579803,260737,0.49310103031018643
2,1024,0.0,5,0.0,3.3579853740991488,nan,0.4824543666405099,0.9635602960660186,263318,0.4935195605476612
2,1024,0.0,6,0.0,1.8639378186830569,nan,0.48423890883117887,0.963675507884957,259124,0.49101037342666565
2,1024,0.0,7,0.0,5.0738996526833215,nan,0.4761932996502055,0.9715024736803712,256851,0.4900535354157012
2,1024,0.0,8,0.0,6.235323502050896,nan,0.49454879935713447,0.9549686633984977,261991,0.5114399496612393
2,1024,0.0,9,0.0,2.9764488351448755,nan,0.4921306891465298,0.965836225774087,263533,0.5002191945999284
2,1024,0.25,0,0.125,-3.549825090222901,-28.398600721783207,0.3992985880949956,0.6698018395038166,242329,0.3881095472394867
2,1024,0.25,1,0.125,2.6440299288213787,21.15223943057103,0.3717831736860413,0.6627405760269562,241885,0.3802269058811085
2,1024,0.25,2,0.125,-2.150195580150362,-17.201564641202896,0.4024088848495256,0.648054136652223,238700,0.3960299674833634
2,1024,0.25,3,0.125,-4.306893444581013,-34.45514755664811,0.4094257795513052,0.6651905257071012,240323,0.39693928531004385
2,1024,0.25,4,0.125,-7.255807660275139,-58.046461282201115,0.41341193128348924,0.6603431206196221,239717,0.3931795641631996
2,1024,0.25,5,0.125,-0.7765508230905809,-6.212406584724647,0.38312851298933476,0.6745925819963692,239368,0.38028812880660195
2,1024,0.25,6,0.125,1.7109566420861289,13.68765313668903,0.37757038347568933,0.6698726094665834,241345,0.38271442856037274
2,1024,0.25,7,0.125,4.317391426571541,34.53913141257233,0.37363989253749175,0.6719945209267011,244003,0.3868030354636824
2,1024,0.25,8,0.125,-3.281522957274944,-26.252183658199552,0.3989950851460653,0.6648764929955059,239518,0.3887820268538846
2,1024,0.25,9,0.125,-0.22531304011317776,-1.8025043209054221,0.3748675624198816,0.6727878772668232,238669,0.37348533500448594
2,1024,0.5,0,0.5,4.757160738225816,9.514321476451633,0.4623392420363413,0.630533068546518,214362,0.4719547690587065
2,1024,0.5,1,0.5,4.181136053342021,8.362272106684042,0.43601883191882185,0.6440361790970679,211977,0.4458638096023501
2,1024,0.5,2,0.5,11.6525789937096,23.3051579874192,0.44111862601395724,0.6356183703282168,213371,0.4686398629078497
2,1024,0.5,3,0.5,11.42124747517596,22.84249495035192,0.44286325366654733,0.6290449051229913,217208,0.46970744366192496
2,1024,0.5,4,0.5,11.52050777057799,23.04101554115598,0.442357017712353,0.6340549345469102,216683,0.46832735384930646
2,1024,0.5,5,0.5,1.8231345184897731,3.6462690369795463,0.4321330756602392,0.6436472394282284,219625,0.4370058168921433
2,1024,0.5,6,0.5,18.78197120730938,37.56394241461876,0.40049093450726375,0.6419478407116637,220662,0.44850394667757865
2,1024,0.5,7,0.5,22.152299121835952,44.304598243671904,0.43061161189965225,0.6280880916776359,218290,0.48466038102837666
2,1024,0.5,8,0.5,17.310166973087867,34.620333946175734,0.45419663822339923,0.6208270361703223,213371,0.49342647918374954
2,1024,0.5,9,0.5,11.075857602026893,22.151715204053787,0.445582344086379,0.6439489856089002,220853,0.4695140076178814
2,1024,1.0,0,2.0,168.32995409125616,84.16497704562808,0.5143577937405235,0.5144051836882721,162477,0.7729407973122315
2,1024,1.0,1,2.0,124.61949791843361,62.309748959216805,0.5206633410605755,0.5349330798091205,168135,0.7156188621154955
2,1024,1.0,2,2.0,102.17377898039548,51.08688949019774,0.5448280975437698,0.5743416627962579,172076,0.6964952334996373
2,1024,1.0,3,2.0,105.07737964205752,52.53868982102876,0.5212464822712306,0.557656103291746,172218,0.6872049690610585
2,1024,1.0,4,2.0,59.389198957410166,29.694599478705083,0.5251756389839828,0.6092650472046458,176067,0.6164436960689833
2,1024,1.0,5,2.0,108.68596016889944,54.34298008444972,0.5105389025507485,0.5634478368308142,174542,0.6867109637816895
2,1024,1.0,6,2.0,109.7975250394678,54.8987625197339,0.5482717736863146,0.5558318042073165,166490,0.709813605862808
2,1024,1.0,7,2.0,117.29312368716532,58.64656184358266,0.5541866063088694,0.5283115335143793,170364,0.7303183888474309
2,1024,1.0,8,2.0,89.528279298087,44.7641396490435,0.5348120897931141,0.5817538213715983,169846,0.6670980631251358
2,1024,1.0,9,2.0,129.0101069570653,64.50505347853264,0.5538397644550235,0.5660604854178806,167592,0.737989992169331
2,1024,2.0,0,8.0,1743.7933056582963,217.97416320728703,0.8071490789734992,0.433054442475835,94040,1.7794286431907382
2,1024,2.0,1,8.0,2044.9193344370472,255.6149168046309,0.7367768250475509,0.3746804803899296,90727,1.9819421435835334
2,1024,2.0,2,8.0,1487.0792562570339,185.88490703212923,0.740773849127837,0.41264824356314533,94819,1.6834735611561282
2,1024,2.0,3,8.0,1647.0876329128705,205.8859541141088,0.6938063193219887,0.36598767391106735,93039,1.8180789091287552
2,1024,2.0,4,8.0,1452.0332092122783,181.50415115153478,0.6970734960412444,0.40980656289842987,94993,1.666558385633409
2,1024,2.0,5,8.0,1223.4901370712976,152.9362671339122,0.7661984451021291,0.43714856987837736,97318,1.5496532848595208
2,1024,2.0,6,8.0,1438.3546816822513,179.79433521028142,0.7210577111586162,0.3937468490188514,98358,1.6540310069038429
2,1024,2.0,7,8.0,1732.9834542156136,216.6229317769517,0.7824756385076721,0.39430273796126225,92495,1.785024242637816
2,1024,2.0,8,8.0,1844.8636252815008,230.6079531601876,0.7624060946665501,0.3686530440205902,90795,1.873290564177516
2,1024,2.0,9,8.0,1980.7375141826856,247.5921892728357,0.7852568690266182,0.39752904589868554,90721,1.931693157262021
3,1024,0.0,0,0.0,14.701288483431583,nan,0.24370899112260427,0.8934541729014591,149566,0.26912969498891715
3,1024,0.0,1,0.0,4.049204421578394,nan,0.25966593805546356,0.8722365054770442,157644,0.26839373907659525
3,1024,0.0,2,0.0,10.675652983502669,nan,0.2495237101375751,0.9102113013043543,150902,0.26712030133970766
3,1024,0.0,3,0.0,2.9770297105801755,nan,0.25375479959056674,0.9058547551943015,153333,0.2610826301378989
3,1024,0.0,4,0.0,-5.066041078505807,nan,0.2568389251846272,0.9012267388487359,151640,0.2503105163027919
3,1024,0.0,5,0.0,0.04195851252852231,nan,0.24030049657556735,0.9160651341980809,151970,0.24247460152064154
3,1024,0.0,6,0.0,3.8152707447737115,nan,0.25084688963255053,0.9132556550788561,154460,0.2587125721058942
3,1024,0.0,7,0.0,5.319933815004636,nan,0.24326854429293626,0.9064131068441411,147534,0.25388285951577233
3,1024,0.0,8,0.0,5.0174943298101695,nan,0.2579056671844009,0.8890610466731755,155538,0.2678216874129176
3,1024,0.0,9,0.0,0.47026457066896205,nan,0.24349180537048476,0.8971290039976954,151690,0.24768803160052028
3,1024,0.25,0,0.375,-1.9414643840580061,-5.177238357488016,0.13053948740546384,0.43958342890197644,122136,0.12574929944377863
3,1024,0.25,1,0.375,-4.054012165706842,-10.81069910855158,0.1288304736044286,0.45178074096408893,127470,0.11795933122062319
3,1024,0.25,2,0.375,-1.5971657448755532,-4.2591086530014755,0.13284938386302061,0.44357997068555777,127763,0.1280416975598024
3,1024,0.25,3,0.375,-0.7896078080043984,-2.1056208213450627,0.12499480010421579,0.4359389446086861,127995,0.1226157700872746
3,1024,0.25,4,0.375,-0.6951071211980178,-1.8536189898613806,0.12868548406817307,0.4342051217860986,127146,0.12666031353671053
3,1024,0.25,5,0.375,-1.2841514329683805,-3.424403821249015,0.1265383237808873,0.43545192867694493,122393,0.12338183030696594
3,1024,0.25,6,0.375,1.5738620367880494,4.196965431434799,0.122910584428662,0.44404956577973165,125964,0.1263426516823709
3,1024,0.25,7,0.375,-1.272353576477127,-3.392942870605672,0.13014885078386143,0.4389399144534406,122504,0.12678845238397107
3,1024,0.25,8,0.375,-2.52964194927993,-6.74571186474648,0.13869592227702016,0.4411889214343042,128473,0.13141727459637384
3,1024,0.25,9,0.375,-0.9987811132415124,-2.6634163019773665,0.13038931039219284,0.44187676417159427,126397,0.1275971534794626
3,1024,0.5,0,1.5,6.0229143188733145,4.01527621258221,0.13407373643719273,0.40549883605265713,104719,0.14655053902069765
3,1024,0.5,1,1.5,6.405796071399976,4.270530714266651,0.13938163373090756,0.3988782684424216,103488,0.15116380343560853
3,1024,0.5,2,1.5,9.533652843295311,6.355768562196874,0.13984643722558715,0.39834701893580815,97240,0.1579414220092443
3,1024,0.5,3,1.5,9.792551887975252,6.528367925316835,0.12997906013250735,0.4021703954196607,100022,0.14865756517133866
3,1024,0.5,4,1.5,10.218514710861777,6.8123431405745185,0.13306675620624706,0.3900365779099074,97225,0.15320157832280298
3,1024,0.5,5,1.5,11.420291763279208,7.613527842186138,0.13712928931007856,0.4018513433599332,97959,0.15886075591613794
3,1024,0.5,6,1.5,5.692491803744802,3.794994535829868,0.14052276897739424,0.4087146988641617,100625,0.15111300688271923
3,1024,0.5,7,1.5,16.28702855022778,10.858019033485187,0.14300079252959588,0.3894466003661011,96825,0.17425790686401585
3,1024,0.5,8,1.5,18.808838510225083,12.539225673483388,0.1417934479864102,0.40614762610066035,99437,0.1764458542461034
3,1024,0.5,9,1.5,18.692780763804898,12.461853842536598,0.13708740507637876,0.38996657394717327,96166,0.172756357764361
3,1024,1.0,0,6.0,86.1833387117586,14.363889785293098,0.14832364762275654,0.321595144214329,55810,0.25971791729746246
3,1024,1.0,1,6.0,88.25150004463528,14.708583340772547,0.15459823462122607,0.3223757862909691,55511,0.2627568869966665
3,1024,1.0,2,6.0,85.51164856766513,14.251941427944189,0.16000038027753663,0.33443662197528534,58108,0.2621675965324417
