d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,0.0,19,0.0,0.0,1624,1.8984375,25.708352194541636,0.3359375,25.6,2,6.572445371167829,6.276795326331968,nan,nan
4,128,0.0,20,0.0,0.0,1422,0.6171875,24.186166337182165,0.3515625,25.6,2,4.907937781672827,4.287441521618913,nan,nan
4,128,0.0,21,0.0,0.0,1259,-4.125,19.644496684822442,0.3671875,25.6,2,4.682050001470368,4.275933570436661,nan,nan
4,128,0.0,22,0.0,0.0,1548,-2.8046875,22.311382532854026,0.390625,25.6,2,9.949977978332825,9.239484419323535,nan,nan
4,128,0.0,23,0.0,0.0,1385,5.5078125,20.910895819281482,0.375,25.6,2,5.000834053556554,4.350441571571379,nan,nan
4,128,0.0,24,0.0,0.0,1516,-1.3828125,24.15869444092217,0.359375,25.6,2,4.289323995839002,3.281548895941069,nan,nan
4,128,0.0,25,0.0,0.0,1514,0.25,29.241718913223963,0.359375,21.333333333333332,2,6.186337509738017,3.9422758634866693,nan,nan
4,128,0.0,26,0.0,0.0,1308,-0.4453125,20.01398284393548,0.359375,25.6,2,6.522758880327398,6.235279093039364,nan,nan
4,128,0.0,27,0.0,0.0,1318,1.96875,22.7932067387961,0.4375,25.6,2,7.053878322457676,6.835933375280642,nan,nan
4,128,0.0,28,0.0,0.0,1295,2.9609375,22.318154865962683,0.3671875,32.0,2,6.065158707563141,6.065158707563141,nan,nan
4,128,0.0,29,0.0,0.0,1488,1.734375,24.248545180265456,0.359375,25.6,2,7.037611805321411,6.697677171081892,nan,nan
4,128,0.0,30,0.0,0.0,1469,0.5234375,25.417133998222415,0.4140625,25.6,2,4.8148978340703295,3.780321372437919,nan,nan
4,128,0.0,31,0.0,0.0,1386,-0.4140625,20.52076971621907,0.453125,25.6,2,6.927728084719448,6.742151212479925,nan,nan
4,128,0.1,0,0.12000000000000002,0.010000000000000002,1227,-2.5078125,12.553632500788119,0.3984375,25.6,2,5.051913562274243,4.3682062994038136,nan,nan
4,128,0.1,1,0.12000000000000002,0.010000000000000002,1282,1.484375,23.095584120332937,0.3828125,25.6,2,7.623740324035674,7.117792351733798,nan,nan
4,128,0.1,2,0.12000000000000002,0.010000000000000002,1010,1.2890625,16.7868774753107,0.40625,32.0,2,5.076522185977907,5.076522185977907,nan,nan
4,128,0.1,3,0.12000000000000002,0.010000000000000002,1452,0.25,26.559485123021492,0.34375,25.6,2,9.806350937344048,9.253580138951483,nan,nan
4,128,0.1,4,0.12000000000000002,0.010000000000000002,1128,1.8046875,18.702881877596933,0.3828125,25.6,2,6.721306280411697,6.396344744226258,nan,nan
4,128,0.1,5,0.12000000000000002,0.010000000000000002,1461,-0.265625,27.6613122132587,0.359375,32.0,2,10.645912574573142,10.645912574573142,nan,nan
