d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,layer_width_std
4,128,1.0,4,12.0,1.0,315,0.46875,7.932269438029699,0.6796875,32.0,21.598611066455177
4,128,1.0,5,12.0,1.0,227,-0.1484375,2.5189588739385464,0.734375,42.666666666666664,28.58126814696802
4,128,1.0,6,12.0,1.0,277,0.6328125,4.438593340219821,0.765625,42.666666666666664,27.19477073916152
4,128,1.0,7,12.0,1.0,196,-0.1015625,3.0306760893559295,0.7734375,42.666666666666664,33.229839334884275
4,128,1.0,8,12.0,1.0,199,0.0703125,2.669806856748958,0.65625,42.666666666666664,27.207025236549146
4,128,1.0,9,12.0,1.0,199,-0.125,5.0156006619347195,0.734375,42.666666666666664,28.4526897771644
4,128,1.0,10,12.0,1.0,294,0.609375,5.895223669155819,0.6875,32.0,26.485845276298054
4,128,1.0,11,12.0,1.0,312,-1.2421875,6.689247544742514,0.6953125,42.666666666666664,23.098821518760552
4,128,1.0,12,12.0,1.0,295,-0.3671875,4.548129927766329,0.71875,42.666666666666664,31.372316175606514
4,128,1.0,13,12.0,1.0,287,0.9453125,6.183784987961964,0.71875,32.0,29.13760456866693
4,128,1.0,14,12.0,1.0,365,0.09375,8.981263048007223,0.6875,42.666666666666664,19.344824171395878
4,128,1.0,15,12.0,1.0,275,1.15625,5.691876750027182,0.7109375,42.666666666666664,21.913973218524802
4,128,2.0,0,48.0,4.0,30,0.765625,0.5075119302784911,0.9296875,64.0,39.0
4,128,2.0,1,48.0,4.0,13,0.8984375,0.3269136867641825,0.953125,64.0,52.0
4,128,2.0,2,48.0,4.0,10,0.921875,0.2960514893983815,0.9765625,64.0,55.0
4,128,2.0,3,48.0,4.0,18,0.859375,0.4095419506900361,0.9296875,64.0,49.0
4,128,2.0,4,48.0,4.0,20,0.84375,0.38400642898264087,0.9609375,64.0,45.0
4,128,2.0,5,48.0,4.0,33,0.8203125,0.8425555781927683,0.9609375,42.666666666666664,39.65125751123439
4,128,2.0,6,48.0,4.0,9,0.9296875,0.25567294018677456,0.953125,64.0,55.0
4,128,2.0,7,48.0,4.0,16,0.875,0.33071891388307384,0.984375,64.0,48.0
4,128,2.0,8,48.0,4.0,10,0.921875,0.26836818808308854,0.953125,64.0,54.0
4,128,2.0,9,48.0,4.0,43,0.6640625,0.7101644148320514,0.9609375,64.0,37.0
4,128,2.0,10,48.0,4.0,12,0.90625,0.2914805954090255,0.9609375,64.0,52.0
4,128,2.0,11,48.0,4.0,13,0.8984375,0.3499965122594081,0.9453125,64.0,53.0
4,128,2.0,12,48.0,4.0,11,0.9140625,0.280271736166439,0.953125,64.0,53.0
4,128,2.0,13,48.0,4.0,18,0.859375,0.3476343040826092,0.96875,64.0,46.0
4,128,2.0,14,48.0,4.0,5,0.9609375,0.19374369949433196,0.96875,64.0,59.0
4,128,2.0,15,48.0,4.0,13,0.8984375,0.3020721082684563,0.953125,64.0,51.0
4,256,0.0,0,0.0,0.0,6051,2.91796875,37.10401749978058,0.28515625,36.57142857142857,22.58860106246475
4,256,0.0,1,0.0,0.0,5026,-1.0078125,31.79303090246106,0.32421875,42.666666666666664,21.776643961414766
4,256,0.0,2,0.0,0.0,5268,-0.796875,26.317727917401513,0.32421875,42.666666666666664,16.55965646449896
4,256,0.0,3,0.0,0.0,5644,4.4140625,37.69211774026625,0.3046875,42.666666666666664,19.422209509276286
4,256,0.0,4,0.0,0.0,5645,3.6484375,34.89024976707094,0.3203125,42.666666666666664,20.26217055390551
4,256,0.0,5,0.0,0.0,4929,0.2734375,29.770270101791045,0.30859375,42.666666666666664,19.93043457183566
4,256,0.0,6,0.0,0.0,5027,1.140625,32.56921340943583,0.3203125,42.666666666666664,22.698507048310958
4,256,0.0,7,0.0,0.0,5968,8.12890625,34.142551924668886,0.33984375,36.57142857142857,21.57284763544305
4,256,0.0,8,0.0,0.0,5717,-0.60546875,34.19002232147229,0.30859375,51.2,16.302147097851865
4,256,0.0,9,0.0,0.0,5087,2.39453125,28.114800396637595,0.31640625,42.666666666666664,19.787762772874437
4,256,0.0,10,0.0,0.0,5452,1.01953125,30.839358371734544,0.328125,42.666666666666664,18.776462807343545
4,256,0.0,11,0.0,0.0,5368,0.484375,29.55093176804033,0.31640625,42.666666666666664,21.530340349273523
4,256,0.0,12,0.0,0.0,5761,2.4375,33.12753528033741,0.3125,42.666666666666664,20.491190519071576
4,256,0.0,13,0.0,0.0,6356,2.9609375,29.972487995178074,0.28515625,42.666666666666664,15.828946760778354
