family,N,rep,seed,n_layers,bd_ratio,bdg_d2c,bdg_d4,link_frac,total_relations,C0,C1,C2,C3
Lor2D,20,0,2042,6,1.2099609375,0.0,2.5,0.34375,96,33,23,14,10
Lor2D,20,1,3042,5,0.8088235294117648,-1.9,-1.65,0.46078431372549017,102,47,18,12,3
Lor2D,20,2,4042,6,1.1442057291666667,-0.8,6.9,0.40625,96,39,21,10,16
Lor2D,20,3,5042,7,1.0459710743801653,-1.0,-4.0,0.38636363636363635,88,34,14,15,6
Lor2D,20,4,6042,5,1.0113253749617388,-0.9,2.05,0.40404040404040403,99,40,21,12,8
Lor2D,20,5,7042,6,0.8845557851239667,-0.6,6.2,0.4318181818181818,88,38,22,6,5
Lor2D,20,6,8042,6,1.2607173046733486,-0.6,-2.6,0.3626373626373626,91,33,17,18,12
Lor2D,20,7,9042,6,0.9348000000000002,-1.8,-2.8,0.43,100,43,15,14,7
Lor2D,20,8,10042,6,0.904435299497028,-1.5,-3.05,0.4691358024691358,81,38,13,13,6
Lor2D,20,9,11042,6,1.0088546958920017,-0.4,1.1,0.39759036144578314,83,33,19,11,5
Lor2D,20,10,12042,6,1.4041879717555394,0.2,2.2,0.2882882882882883,111,32,24,18,16
Lor2D,20,11,13042,5,1.0767268646056525,-1.4,-9.0,0.3838383838383838,99,38,14,21,6
Lor2D,20,12,14042,6,1.207748724489796,-0.3,-0.45,0.33035714285714285,112,37,24,18,10
Lor2D,20,13,15042,7,1.5773070367664963,0.2,-2.6,0.26126126126126126,111,29,21,24,19
Lor2D,20,14,16042,8,1.276650015942183,0.0,2.5,0.31958762886597936,97,31,21,14,12
Lor2D,20,15,17042,5,0.9840701291356395,-1.6,0.9,0.4174757281553398,103,43,17,12,10
Lor2D,20,16,18042,6,1.1975446428571428,-0.6,2.2,0.3392857142857143,112,38,22,15,13
Lor2D,20,17,19042,6,1.0642060745866975,-0.5,6.25,0.37254901960784315,102,38,23,9,10
Lor2D,20,18,20042,6,1.0498674409796742,-0.6,-1.0,0.39325842696629215,89,35,19,14,6
Lor2D,20,19,21042,7,1.2350376535869996,-0.1,-2.35,0.3448275862068966,87,30,19,17,8
Lor2D,28,0,2842,7,1.2095347943098809,-0.7142857142857143,-3.857142857142857,0.29901960784313725,204,61,37,33,15
Lor2D,28,1,3842,8,1.167949298325034,-1.2857142857142858,-0.7142857142857143,0.31382978723404253,188,59,27,24,19
Lor2D,28,2,4842,8,1.2841185857058874,0.0,4.785714285714286,0.26455026455026454,189,50,36,21,21
Lor2D,28,3,5842,7,1.1610175642328349,-1.1428571428571428,-3.2142857142857144,0.35542168674698793,166,59,29,28,16
Lor2D,28,4,6842,7,1.1906170752324599,-0.14285714285714285,7.571428571428571,0.3076923076923077,182,56,40,17,19
Lor2D,28,5,7842,6,1.1309683776762518,-0.14285714285714285,3.857142857142857,0.31693989071038253,183,58,42,21,12
Lor2D,28,6,8842,8,1.205043043894144,-1.1428571428571428,-6.071428571428571,0.31443298969072164,194,61,31,34,16
Lor2D,28,7,9842,7,1.1290623974142067,-0.7857142857142857,-0.17857142857142858,0.3065326633165829,199,61,36,25,13
Lor2D,28,8,10842,7,1.2104492187500002,-0.5,-0.6071428571428571,0.3020833333333333,192,58,37,28,16
Lor2D,28,9,11842,7,1.118822404081199,-0.6428571428571429,2.75,0.31958762886597936,194,62,39,22,14
Lor2D,28,10,12842,8,1.2456788837984172,-0.2857142857142857,-2.2142857142857144,0.2755102040816326,196,54,36,30,15
Lor2D,28,11,13842,8,1.2456788837984172,-0.42857142857142855,3.4285714285714284,0.2755102040816326,196,54,34,22,21
Lor2D,28,12,14842,8,1.213550699502833,-1.1428571428571428,0.5,0.3118279569892473,186,58,28,24,22
Lor2D,28,13,15842,7,1.2199074074074074,-1.2142857142857142,-1.25,0.2916666666666667,216,63,32,29,22
Lor2D,28,14,16842,7,1.2470857142857144,0.07142857142857142,3.6785714285714284,0.2914285714285714,175,51,38,22,17
Lor2D,28,15,17842,7,1.0621763108535598,-1.3571428571428572,0.39285714285714285,0.3544973544973545,189,67,34,23,14
Lor2D,28,16,18842,8,1.2747667075124895,-0.7857142857142857,0.6785714285714286,0.28640776699029125,206,59,34,28,24
Lor2D,28,17,19842,6,1.1140724641825617,0.14285714285714285,2.0,0.31016042780748665,187,58,46,24,7
Lor2D,28,18,20842,7,1.2274380165289256,-0.21428571428571427,3.25,0.2818181818181818,220,62,45,27,19
Lor2D,28,19,21842,7,1.234425062299751,-0.21428571428571427,6.392857142857143,0.2830188679245283,212,60,43,22,22
Lor2D,36,0,3642,8,1.2624137062232301,-0.2777777777777778,-0.9722222222222222,0.273015873015873,315,86,63,47,25
Lor2D,36,1,4642,8,1.2526896180742335,0.1111111111111111,1.6666666666666667,0.2762237762237762,286,79,63,40,22
Lor2D,36,2,5642,10,1.2443825510933795,-0.2777777777777778,-0.9722222222222222,0.25153374233128833,326,82,59,44,23
Lor2D,36,3,6642,9,1.3353565585960736,0.05555555555555555,0.75,0.21646341463414634,328,71,54,42,31
Lor2D,36,4,7642,10,1.2921715499522706,0.0,4.5,0.22287390029325513,341,76,58,36,32
Lor2D,36,5,8642,8,1.2579087931468886,-0.5555555555555556,5.333333333333333,0.2634920634920635,315,83,55,33,34
Lor2D,36,6,9642,9,1.2955076923076922,-0.3888888888888889,3.1944444444444446,0.24,325,78,53,37,34
Lor2D,36,7,10642,9,1.3417836124943412,1.1111111111111112,-2.2777777777777777,0.24924012158054712,329,82,84,59,19
Lor2D,36,8,11642,7,1.2176724137931034,-1.2777777777777777,1.4166666666666667,0.25,348,87,46,36,33
Lor2D,36,9,12642,8,1.3256048800912965,-0.3888888888888889,5.416666666666667,0.22636103151862463,349,79,54,36,41
Lor2D,36,10,13642,10,1.289189252100775,-0.7777777777777778,2.5555555555555554,0.23119777158774374,359,83,51,39,38
Lor2D,36,11,14642,9,1.2958335023733214,-0.7777777777777778,0.1111111111111111,0.25477707006369427,314,80,48,41,34
Lor2D,36,12,15642,7,1.15454470306208,-0.9444444444444444,3.361111111111111,0.30584192439862545,291,89,54,32,25
Lor2D,36,13,16642,9,1.3503089791205019,0.7777777777777778,6.444444444444445,0.19832402234636873,358,71,67,38,34
Lor2D,36,14,17642,8,1.2700957934194084,-0.2222222222222222,3.2777777777777777,0.272108843537415,294,80,58,37,29
Lor2D,36,15,18642,10,1.2780797460821265,0.0,7.833333333333333,0.23098591549295774,355,82,64,33,35
Lor2D,36,16,19642,7,1.167430727412877,-1.5,-1.1388888888888888,0.3057324840764331,314,96,51,41,27
Lor2D,36,17,20642,8,1.219864396252782,-1.4444444444444444,-0.8888888888888888,0.2949640287769784,278,82,38,36,31
Lor2D,36,18,21642,7,1.1857623926713268,-1.1111111111111112,-0.2777777777777778,0.2570621468926554,354,91,53,40,26
Lor2D,36,19,22642,9,1.3013024754035223,-0.05555555555555555,6.694444444444445,0.23372781065088757,338,79,60,34,36
Lor2D,48,0,4842,9,1.3472461993674116,-1.0,2.6666666666666665,0.23434343434343435,495,116,68,58,64
Lor2D,48,1,5842,11,1.4114371000953552,0.08333333333333333,-3.9583333333333335,0.1895910780669145,538,102,80,80,53
Lor2D,48,2,6842,10,1.268326758711374,-0.5416666666666666,-1.4375,0.1891025641025641,624,118,81,68,45
Lor2D,48,3,7842,9,1.2002727203858488,-1.5,1.9166666666666667,0.21943048576214405,597,131,71,53,48
Lor2D,48,4,8842,9,1.3456336797973623,0.125,1.7291666666666667,0.20186915887850468,535,108,87,65,50
Lor2D,48,5,9842,11,1.2528165374677003,-0.8333333333333334,4.75,0.18294573643410852,645,118,74,51,56
Lor2D,48,6,10842,10,1.2358651762933766,-1.25,-0.7916666666666666,0.23679417122040072,549,130,76,63,46
Lor2D,48,7,11842,10,1.268781966214813,-0.9166666666666666,2.7083333333333335,0.22889305816135083,533,122,76,56,52
Lor2D,48,8,12842,11,1.2048573127229487,-1.7083333333333333,-2.8541666666666665,0.23793103448275862,580,138,73,66,44
Lor2D,48,9,13842,9,1.3442536164973837,-0.8333333333333334,-2.5833333333333335,0.20350877192982456,570,116,72,73,58
Lor2D,48,10,14842,8,1.2730763469996322,-1.2916666666666667,-2.6458333333333335,0.23247232472324722,542,126,71,68,50
Lor2D,48,11,15842,9,1.3246308312273751,-0.16666666666666666,-2.0833333333333335,0.2049586776859504,605,124,96,80,49
Lor2D,48,12,16842,10,1.311718180642271,-0.4583333333333333,0.7708333333333334,0.2024866785079929,563,114,79,64,52
Lor2D,48,13,17842,10,1.2395822157121599,-1.2916666666666667,-4.3125,0.2526997840172786,463,117,62,63,39
Lor2D,48,14,18842,9,1.271573542064166,-1.0,0.16666666666666666,0.2042833607907743,607,124,76,64,53
Lor2D,48,15,19842,9,1.2678513466880326,0.041666666666666664,4.1875,0.2088724584103512,541,113,90,55,42
Lor2D,48,16,20842,10,1.3135765584602126,0.4583333333333333,1.8958333333333333,0.17288135593220338,590,102,89,63,44
Lor2D,48,17,21842,10,1.1974377199173198,-1.625,1.3541666666666667,0.22820919175911253,631,144,81,60,49
Lor2D,48,18,22842,8,1.2522372739232894,-0.6666666666666666,2.1666666666666665,0.2376425855513308,526,125,85,59,45
Lor2D,48,19,23842,9,1.3275168055387836,-0.125,0.9375,0.21978021978021978,546,120,93,70,50
Lor3D,20,0,2042,4,0.4372427983539094,-1.7,0.85,0.6851851851851852,54,37,10,4,1
