type,beta,gamma,lam,eta,kappa,L_B,L_C,L_A,L_D,L_total
default,1.0,1.0,0.5,0.3,0.2,0.0,0.04754921277722469,17.741425837368766,0.0,8.918262131461608
optimized,2.0,0.5,1.5,0.1,0.05,0.0,0.03208426395260855,0.0875853214234574,0.0,0.07587692466433725
