rs,N,rep,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,w_max_ratio,bin0_density,bin0_mean_K,bin0_layer_ratio,bin1_density,bin1_mean_K,bin1_layer_ratio,bin2_density,bin2_mean_K,bin2_layer_ratio
0.0,128,0,0.0,0.0,0.0,0.0,1186,680,231,118,71,35,0.08366141732283465,5.0,0.0390625,25.6,11.77454882362802,0.4599433134229695,0.328125,1.492524850997884,0.3515625,0.2845528455284553,0.0,0.09523809523809523,0.16943521594684385,0.0,0.09302325581395349,0.07641196013289037,0.0,0.09302325581395349
0.0,128,1,0.0,0.0,0.0,0.0,1246,711,289,121,52,36,0.0874753937007874,5.0,0.0390625,25.6,13.215142829345433,0.516216516771306,0.3125,1.4069791379374423,0.3984375,0.3147502903600465,0.0,0.09523809523809523,0.14728682170542637,0.0,0.09302325581395349,0.09302325581395349,0.0,0.09302325581395349
0.0,128,2,0.0,0.0,0.0,0.0,1402,737,306,129,78,47,0.0906742125984252,6.0,0.046875,21.333333333333332,10.687479694587598,0.5009756106837937,0.2578125,1.6115098612254972,0.3828125,0.3681765389082462,0.0,0.11904761904761904,0.16611295681063123,0.0,0.11627906976744186,0.11960132890365449,0.0,0.06976744186046512
0.0,128,3,0.0,0.0,0.0,0.0,1450,791,291,145,79,63,0.09731791338582677,5.0,0.0390625,25.6,9.850888284819801,0.38480032362577343,0.28125,1.5158891441083822,0.3671875,0.3089430894308943,0.0,0.11904761904761904,0.2070874861572536,0.0,0.09302325581395349,0.11627906976744186,0.0,0.09302325581395349
0.0,128,4,0.0,0.0,0.0,0.0,1535,822,278,182,93,61,0.10113188976377953,5.0,0.0390625,25.6,13.124023773218335,0.5126571786413412,0.328125,1.4255017984924951,0.3359375,0.37746806039488967,0.0,0.11904761904761904,0.15946843853820597,0.0,0.09302325581395349,0.13178294573643412,0.0,0.06976744186046512
0.0,128,5,0.0,0.0,0.0,0.0,1342,778,244,123,80,64,0.09571850393700787,5.0,0.0390625,25.6,13.29059818066892,0.5191639914323797,0.3359375,1.4344369996858388,0.390625,0.27293844367015097,0.0,0.07142857142857142,0.15282392026578073,0.0,0.09302325581395349,0.12403100775193798,0.0,0.06976744186046512
0.0,128,6,0.0,0.0,0.0,0.0,1372,764,265,141,93,49,0.09399606299212598,5.0,0.0390625,25.6,11.84229707446997,0.4625897294714832,0.3046875,1.467245095708012,0.3359375,0.2961672473867596,0.0,0.09523809523809523,0.1539313399778516,0.0,0.09302325581395349,0.10409745293466224,0.0,0.06976744186046512
0.0,128,7,0.0,0.0,0.0,0.0,1291,766,245,118,74,36,0.09424212598425197,5.0,0.0390625,25.6,11.976643937263894,0.46783765379937087,0.2734375,1.4636720884297743,0.359375,0.29500580720092917,0.0,0.09523809523809523,0.15503875968992248,0.0,0.09302325581395349,0.12070874861572536,0.0,0.09302325581395349
0.0,128,8,0.0,0.0,0.0,0.0,1350,769,256,139,59,56,0.09461122047244094,5.0,0.0390625,25.6,12.25724275683565,0.47879854518889253,0.3046875,1.4509903225128582,0.3359375,0.2694541231126597,0.0,0.09523809523809523,0.16832779623477298,0.0,0.09302325581395349,0.10299003322259136,0.0,0.09302325581395349
0.0,128,9,0.0,0.0,0.0,0.0,1277,722,227,137,70,38,0.08882874015748031,5.0,0.0390625,25.6,10.947145746723207,0.4276228807313752,0.2734375,1.4879988849345855,0.34375,0.2578397212543554,0.0,0.09523809523809523,0.11627906976744186,0.0,0.09302325581395349,0.13732004429678848,0.0,0.06976744186046512
0.0,256,0,0.0,0.0,0.0,0.0,4998,2241,820,491,368,227,0.06865808823529412,6.0,0.0234375,42.666666666666664,20.49932248202906,0.48045287067255615,0.23046875,1.6325798149577644,0.30078125,0.28907563025210087,0.0,0.058823529411764705,0.146218487394958,0.0,0.058823529411764705,0.10642954856361149,0.0,0.046511627906976744
0.0,256,1,0.0,0.0,0.0,0.0,5893,2502,979,614,370,276,0.07665441176470589,7.0,0.02734375,36.57142857142857,20.233332772977388,0.5532551930111005,0.22265625,1.7258395809778504,0.28125,0.2896358543417367,0.0,0.058823529411764705,0.18235294117647058,0.0,0.058823529411764705,0.1518467852257182,0.0,0.05813953488372093
0.0,256,2,0.0,0.0,0.0,0.0,4945,2223,871,472,384,233,0.06810661764705882,6.0,0.0234375,42.666666666666664,16.75974011996871,0.39280640906176667,0.22265625,1.6844766746833584,0.3046875,0.26526610644257703,0.0,0.058823529411764705,0.14425770308123248,0.0,0.047058823529411764,0.12093023255813953,0.0,0.046511627906976744
0.0,256,3,0.0,0.0,0.0,0.0,4705,2260,784,442,293,205,0.06924019607843138,6.0,0.0234375,42.666666666666664,22.13343373471204,0.5187523531573135,0.25390625,1.5920524565460574,0.3203125,0.2714285714285714,0.0,0.058823529411764705,0.13053221288515407,0.0,0.047058823529411764,0.09958960328317373,0.0,0.046511627906976744
