step,F,accepted,n_comparable,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
520,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
530,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
540,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
550,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
560,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
570,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
580,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
590,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
600,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
610,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
620,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
630,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
640,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
650,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
660,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
670,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
680,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
690,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
700,96.05777153585197,77,1172,mc_Lor2D,0.5813492063492064,41,1.5173047619047617,17,0.265625,0.640625,0.21875
710,97.68150151244218,78,1208,mc_Lor2D,0.5992063492063492,41,1.410161904761905,17,0.265625,0.640625,0.203125
720,97.68150151244218,78,1208,mc_Lor2D,0.5992063492063492,41,1.410161904761905,17,0.265625,0.640625,0.203125
730,97.68150151244218,78,1208,mc_Lor2D,0.5992063492063492,41,1.410161904761905,17,0.265625,0.640625,0.203125
740,98.90276326007856,79,1214,mc_Lor2D,0.6021825396825397,40,1.3923047619047622,17,0.265625,0.625,0.21875
750,98.90276326007856,79,1214,mc_Lor2D,0.6021825396825397,40,1.3923047619047622,17,0.265625,0.625,0.21875
760,98.90276326007856,79,1214,mc_Lor2D,0.6021825396825397,40,1.3923047619047622,17,0.265625,0.625,0.21875
770,98.90276326007856,79,1214,mc_Lor2D,0.6021825396825397,40,1.3923047619047622,17,0.265625,0.625,0.21875
780,98.90276326007856,79,1214,mc_Lor2D,0.6021825396825397,40,1.3923047619047622,17,0.265625,0.625,0.21875
790,98.90276326007856,79,1214,mc_Lor2D,0.6021825396825397,40,1.3923047619047622,17,0.265625,0.625,0.21875
800,102.24950013118928,81,1246,mc_Lor2D,0.6180555555555556,40,1.2970666666666666,16,0.25,0.625,0.234375
810,102.24950013118928,81,1246,mc_Lor2D,0.6180555555555556,40,1.2970666666666666,16,0.25,0.625,0.234375
820,102.24950013118928,81,1246,mc_Lor2D,0.6180555555555556,40,1.2970666666666666,16,0.25,0.625,0.234375
830,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
840,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
850,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
860,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
870,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
880,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
890,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
900,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
910,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
920,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
930,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
940,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
950,95.6008540543147,84,1213,mc_Lor2D,0.6016865079365079,40,1.3952809523809526,17,0.265625,0.625,0.1875
960,99.51902424255351,86,1185,mc_Lor2D,0.5877976190476191,40,1.4786142857142857,18,0.28125,0.625,0.203125
970,99.51902424255351,86,1185,mc_Lor2D,0.5877976190476191,40,1.4786142857142857,18,0.28125,0.625,0.203125
980,99.51902424255351,86,1185,mc_Lor2D,0.5877976190476191,40,1.4786142857142857,18,0.28125,0.625,0.203125
990,98.52066744155248,87,1158,mc_Lor2D,0.5744047619047619,40,1.558971428571429,19,0.296875,0.625,0.1875
1000,98.52066744155248,87,1158,mc_Lor2D,0.5744047619047619,40,1.558971428571429,19,0.296875,0.625,0.1875
0,285.80674720305126,1,599,mc_Lor3D,0.29712301587301587,6,3.222661904761905,23,0.359375,0.09375,0.25
10,256.60056505886223,7,752,mc_Lor3D,0.373015873015873,10,2.7673047619047617,21,0.328125,0.15625,0.25
20,256.70553589252074,9,752,mc_Lor3D,0.373015873015873,10,2.7673047619047617,21,0.328125,0.15625,0.25
30,252.7489102354218,13,811,mc_Lor3D,0.40228174603174605,10,2.5917095238095236,20,0.3125,0.15625,0.25
40,238.50888892968425,19,887,mc_Lor3D,0.4399801587301587,10,2.3655190476190477,18,0.28125,0.15625,0.234375
50,212.32666136274298,26,1017,mc_Lor3D,0.5044642857142857,17,1.9786142857142859,17,0.265625,0.265625,0.234375
60,194.8103553586009,31,1051,mc_Lor3D,0.5213293650793651,18,1.8774238095238094,16,0.25,0.28125,0.203125
70,168.76373347200007,35,1157,mc_Lor3D,0.5739087301587301,24,1.5619476190476194,15,0.234375,0.375,0.15625
80,167.5452550313217,37,1138,mc_Lor3D,0.564484126984127,25,1.6184952380952382,15,0.234375,0.390625,0.171875
90,158.79314295114784,40,1149,mc_Lor3D,0.5699404761904762,25,1.585757142857143,15,0.234375,0.390625,0.171875
100,151.4818016551378,41,1197,mc_Lor3D,0.59375,26,1.4429,14,0.21875,0.40625,0.15625
110,150.090094910891,42,1183,mc_Lor3D,0.5868055555555556,26,1.4845666666666666,13,0.203125,0.40625,0.171875
120,152.51037203965063,43,1170,mc_Lor3D,0.5803571428571429,26,1.5232571428571426,13,0.203125,0.40625,0.171875
130,149.39715155366073,44,1181,mc_Lor3D,0.5858134920634921,26,1.4905190476190475,13,0.203125,0.40625,0.15625
140,149.39715155366073,44,1181,mc_Lor3D,0.5858134920634921,26,1.4905190476190475,13,0.203125,0.40625,0.15625
150,147.81718326294046,45,1231,mc_Lor3D,0.6106150793650794,26,1.3417095238095236,13,0.203125,0.40625,0.15625
160,153.08750094440956,47,1240,mc_Lor3D,0.6150793650793651,25,1.3149238095238094,13,0.203125,0.390625,0.15625
170,152.31371236683609,51,1038,mc_Lor3D,0.5148809523809523,25,1.916114285714286,17,0.265625,0.390625,0.171875
180,152.4224890025139,52,1020,mc_Lor3D,0.5059523809523809,25,1.9696857142857145,16,0.25,0.390625,0.171875
190,152.4224890025139,52,1020,mc_Lor3D,0.5059523809523809,25,1.9696857142857145,16,0.25,0.390625,0.171875
200,137.5162177765137,54,1101,mc_Lor3D,0.5461309523809523,28,1.728614285714286,15,0.234375,0.4375,0.171875
210,137.5162177765137,54,1101,mc_Lor3D,0.5461309523809523,28,1.728614285714286,15,0.234375,0.4375,0.171875
220,127.78975619676501,55,1162,mc_Lor3D,0.5763888888888888,31,1.547066666666667,15,0.234375,0.484375,0.171875
230,127.78975619676501,55,1162,mc_Lor3D,0.5763888888888888,31,1.547066666666667,15,0.234375,0.484375,0.171875
240,127.78975619676501,55,1162,mc_Lor3D,0.5763888888888888,31,1.547066666666667,15,0.234375,0.484375,0.171875
250,127.78975619676501,55,1162,mc_Lor3D,0.5763888888888888,31,1.547066666666667,15,0.234375,0.484375,0.171875
260,127.78975619676501,55,1162,mc_Lor3D,0.5763888888888888,31,1.547066666666667,15,0.234375,0.484375,0.171875
270,123.49285354339062,58,1112,mc_Lor3D,0.5515873015873016,34,1.6958761904761903,15,0.234375,0.53125,0.171875
280,126.26195495716877,60,1124,mc_Lor3D,0.5575396825396826,34,1.6601619047619047,17,0.265625,0.53125,0.171875
290,113.57489772479623,63,1171,mc_Lor3D,0.5808531746031746,34,1.5202809523809522,16,0.25,0.53125,0.1875
300,113.57489772479623,63,1171,mc_Lor3D,0.5808531746031746,34,1.5202809523809522,16,0.25,0.53125,0.1875
310,113.57489772479623,63,1171,mc_Lor3D,0.5808531746031746,34,1.5202809523809522,16,0.25,0.53125,0.1875
320,113.65665882539902,64,1165,mc_Lor3D,0.5778769841269841,36,1.5381380952380956,15,0.234375,0.5625,0.203125
330,113.65665882539902,64,1165,mc_Lor3D,0.5778769841269841,36,1.5381380952380956,15,0.234375,0.5625,0.203125
340,113.65665882539902,64,1165,mc_Lor3D,0.5778769841269841,36,1.5381380952380956,15,0.234375,0.5625,0.203125
350,113.65665882539902,64,1165,mc_Lor3D,0.5778769841269841,36,1.5381380952380956,15,0.234375,0.5625,0.203125
360,115.20354568704299,67,1171,mc_Lor3D,0.5808531746031746,37,1.5202809523809522,15,0.234375,0.578125,0.203125
370,109.77801705732762,71,1159,mc_Lor3D,0.5749007936507936,38,1.5559952380952384,17,0.265625,0.59375,0.203125
380,108.83687384587924,72,1115,mc_Lor3D,0.5530753968253969,38,1.686947619047619,17,0.265625,0.59375,0.21875
390,107.05109940279092,73,1122,mc_Lor3D,0.5565476190476191,38,1.6661142857142857,17,0.265625,0.59375,0.203125
400,107.05109940279092,73,1122,mc_Lor3D,0.5565476190476191,38,1.6661142857142857,17,0.265625,0.59375,0.203125
410,107.05109940279092,73,1122,mc_Lor3D,0.5565476190476191,38,1.6661142857142857,17,0.265625,0.59375,0.203125
420,107.05109940279092,73,1122,mc_Lor3D,0.5565476190476191,38,1.6661142857142857,17,0.265625,0.59375,0.203125
430,107.17977012832299,74,1133,mc_Lor3D,0.5620039682539683,38,1.6333761904761905,17,0.265625,0.59375,0.203125
440,107.17977012832299,74,1133,mc_Lor3D,0.5620039682539683,38,1.6333761904761905,17,0.265625,0.59375,0.203125
450,105.25536456136105,75,1193,mc_Lor3D,0.591765873015873,38,1.454804761904762,16,0.25,0.59375,0.1875
460,103.54748977258994,76,1180,mc_Lor3D,0.5853174603174603,38,1.493495238095238,17,0.265625,0.59375,0.171875
470,103.95865510749562,79,1122,mc_Lor3D,0.5565476190476191,39,1.6661142857142857,18,0.28125,0.609375,0.1875
480,103.95865510749562,79,1122,mc_Lor3D,0.5565476190476191,39,1.6661142857142857,18,0.28125,0.609375,0.1875
490,106.99893011173549,80,1150,mc_Lor3D,0.5704365079365079,39,1.5827809523809526,18,0.28125,0.609375,0.1875
500,101.91616864825603,81,1185,mc_Lor3D,0.5877976190476191,39,1.4786142857142857,18,0.28125,0.609375,0.171875
510,95.89302697990311,85,1196,mc_Lor3D,0.5932539682539683,40,1.4458761904761905,19,0.296875,0.625,0.171875
520,95.22963929242724,86,1183,mc_Lor3D,0.5868055555555556,40,1.4845666666666666,18,0.28125,0.625,0.1875
530,95.22963929242724,86,1183,mc_Lor3D,0.5868055555555556,40,1.4845666666666666,18,0.28125,0.625,0.1875
540,95.22963929242724,86,1183,mc_Lor3D,0.5868055555555556,40,1.4845666666666666,18,0.28125,0.625,0.1875
550,95.46394110288851,87,1163,mc_Lor3D,0.5768849206349206,40,1.5440904761904766,19,0.296875,0.625,0.171875
560,97.74017910120828,88,1150,mc_Lor3D,0.5704365079365079,40,1.5827809523809526,19,0.296875,0.625,0.171875
570,97.74017910120828,88,1150,mc_Lor3D,0.5704365079365079,40,1.5827809523809526,19,0.296875,0.625,0.171875
580,99.34873227183257,89,1155,mc_Lor3D,0.5729166666666666,40,1.5679000000000003,19,0.296875,0.625,0.1875
590,96.45582719535865,90,1163,mc_Lor3D,0.5768849206349206,40,1.5440904761904766,19,0.296875,0.625,0.1875
600,95.84866523783478,92,1173,mc_Lor3D,0.5818452380952381,40,1.5143285714285712,18,0.28125,0.625,0.1875
610,92.57583944791823,94,1180,mc_Lor3D,0.5853174603174603,42,1.493495238095238,17,0.265625,0.65625,0.1875
620,92.57583944791823,94,1180,mc_Lor3D,0.5853174603174603,42,1.493495238095238,17,0.265625,0.65625,0.1875
630,93.3256107262085,95,1150,mc_Lor3D,0.5704365079365079,43,1.5827809523809526,16,0.25,0.671875,0.1875
640,91.894417542426,96,1183,mc_Lor3D,0.5868055555555556,43,1.4845666666666666,17,0.265625,0.671875,0.203125
650,91.894417542426,96,1183,mc_Lor3D,0.5868055555555556,43,1.4845666666666666,17,0.265625,0.671875,0.203125
660,91.894417542426,96,1183,mc_Lor3D,0.5868055555555556,43,1.4845666666666666,17,0.265625,0.671875,0.203125
670,90.03508714275101,98,1166,mc_Lor3D,0.5783730158730159,43,1.5351619047619045,16,0.25,0.671875,0.203125
680,85.62353858506457,100,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
690,85.62353858506457,100,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
700,85.62353858506457,100,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
710,85.62353858506457,100,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
720,85.62353858506457,100,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
730,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
740,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
750,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
760,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
770,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
780,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
790,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
800,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
810,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
820,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
830,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
840,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
850,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
860,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
870,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
880,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
890,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
900,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
910,84.28953024067359,101,1173,mc_Lor3D,0.5818452380952381,43,1.5143285714285712,17,0.265625,0.671875,0.1875
920,83.65886194235098,102,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
930,83.65886194235098,102,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
940,83.65886194235098,102,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
950,83.65886194235098,102,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
960,83.65886194235098,102,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.171875
970,91.53143543543561,103,1168,mc_Lor3D,0.5793650793650794,43,1.5292095238095236,17,0.265625,0.671875,0.1875
980,88.48861320252118,104,1171,mc_Lor3D,0.5808531746031746,43,1.5202809523809522,18,0.28125,0.671875,0.171875
990,88.48861320252118,104,1171,mc_Lor3D,0.5808531746031746,43,1.5202809523809522,18,0.28125,0.671875,0.171875
1000,88.48861320252118,104,1171,mc_Lor3D,0.5808531746031746,43,1.5202809523809522,18,0.28125,0.671875,0.171875
0,321.8725623087897,0,360,mc_Lor4D,0.17857142857142858,4,3.9339714285714287,30,0.46875,0.0625,0.34375
10,299.1750022570095,2,482,mc_Lor4D,0.2390873015873016,6,3.5708761904761905,27,0.421875,0.09375,0.296875
20,295.82309493025923,5,487,mc_Lor4D,0.24156746031746032,6,3.555995238095238,27,0.421875,0.09375,0.28125
30,294.1046122384742,6,488,mc_Lor4D,0.24206349206349206,6,3.5530190476190473,26,0.40625,0.09375,0.28125
40,289.620002191368,7,495,mc_Lor4D,0.24553571428571427,6,3.5321857142857143,26,0.40625,0.09375,0.28125
50,273.48734358086045,12,573,mc_Lor4D,0.28422619047619047,9,3.3000428571428575,24,0.375,0.140625,0.265625
60,264.44617097446957,17,649,mc_Lor4D,0.3219246031746032,11,3.073852380952381,22,0.34375,0.171875,0.21875
70,237.13623686903722,25,842,mc_Lor4D,0.4176587301587302,13,2.499447619047619,20,0.3125,0.203125,0.21875
80,209.13726131934956,31,948,mc_Lor4D,0.47023809523809523,13,2.1839714285714287,16,0.25,0.203125,0.171875
90,209.85548220351163,33,907,mc_Lor4D,0.44990079365079366,15,2.305995238095238,16,0.25,0.234375,0.15625
100,194.4711123434465,40,974,mc_Lor4D,0.48313492063492064,18,2.106590476190476,15,0.234375,0.28125,0.171875
110,170.6649842351243,46,1001,mc_Lor4D,0.4965277777777778,24,2.0262333333333333,14,0.21875,0.375,0.15625
120,167.8857199117593,48,1024,mc_Lor4D,0.5079365079365079,24,1.9577809523809526,14,0.21875,0.375,0.15625
130,162.61100178807777,51,1095,mc_Lor4D,0.5431547619047619,28,1.746471428571429,16,0.25,0.4375,0.1875
140,162.59690721606472,55,1053,mc_Lor4D,0.5223214285714286,28,1.8714714285714285,13,0.203125,0.4375,0.171875
150,150.59076729172028,57,1103,mc_Lor4D,0.5471230158730159,28,1.7226619047619045,13,0.203125,0.4375,0.171875
160,150.59076729172028,57,1103,mc_Lor4D,0.5471230158730159,28,1.7226619047619045,13,0.203125,0.4375,0.171875
170,150.59076729172028,57,1103,mc_Lor4D,0.5471230158730159,28,1.7226619047619045,13,0.203125,0.4375,0.171875
180,150.59076729172028,57,1103,mc_Lor4D,0.5471230158730159,28,1.7226619047619045,13,0.203125,0.4375,0.171875
190,147.09865528800466,59,1133,mc_Lor4D,0.5620039682539683,31,1.6333761904761905,13,0.203125,0.484375,0.171875
200,141.1841683161369,62,1077,mc_Lor4D,0.5342261904761905,31,1.8000428571428573,14,0.21875,0.484375,0.1875
210,141.1841683161369,62,1077,mc_Lor4D,0.5342261904761905,31,1.8000428571428573,14,0.21875,0.484375,0.1875
220,141.1841683161369,62,1077,mc_Lor4D,0.5342261904761905,31,1.8000428571428573,14,0.21875,0.484375,0.1875
230,141.1841683161369,62,1077,mc_Lor4D,0.5342261904761905,31,1.8000428571428573,14,0.21875,0.484375,0.1875
240,141.1841683161369,62,1077,mc_Lor4D,0.5342261904761905,31,1.8000428571428573,14,0.21875,0.484375,0.1875
250,131.09461547188326,65,1129,mc_Lor4D,0.5600198412698413,33,1.6452809523809524,14,0.21875,0.515625,0.203125
260,129.65124449559,68,1189,mc_Lor4D,0.589781746031746,33,1.4667095238095238,14,0.21875,0.515625,0.203125
