d,N,p_frw,rep,bin_label,n_matched,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,128,2.0,5,late,64,2.278961736854824,405,0.265625,9.0,0.140625,7.111111111111112
2,128,2.0,6,early,64,4.391530265402427,1381,0.15625,18.0,0.28125,3.555555555555556
2,128,2.0,6,late,64,2.2159388551057635,337,0.3125,6.0,0.09375,10.666666666666666
2,128,2.0,7,early,64,3.589416802537122,1133,0.21875,13.0,0.203125,4.923076923076923
2,128,2.0,7,late,64,2.2275758820281633,330,0.296875,6.0,0.09375,10.666666666666666
2,256,0.5,0,early,128,1.3997233458998508,3551,0.1484375,16.0,0.125,8.0
2,256,0.5,0,late,128,0.6244924317709217,1795,0.1953125,10.0,0.078125,12.8
2,256,0.5,1,early,128,1.4486884895276906,3436,0.1640625,14.0,0.109375,9.142857142857142
2,256,0.5,1,late,128,0.6121795776949008,2006,0.1953125,11.0,0.0859375,11.636363636363637
2,256,0.5,2,early,128,1.4663108762901431,3502,0.15625,17.0,0.1328125,7.529411764705882
2,256,0.5,2,late,128,0.6198360357386504,1969,0.1953125,10.0,0.078125,12.8
2,256,0.5,3,early,128,1.5049753441447282,3496,0.1640625,16.0,0.125,8.0
2,256,0.5,3,late,128,0.6387109466993188,1969,0.1796875,11.0,0.0859375,11.636363636363637
2,256,0.5,4,early,128,1.585817352737465,3672,0.140625,14.0,0.109375,9.142857142857142
2,256,0.5,4,late,128,0.631498143411957,2125,0.171875,11.0,0.0859375,11.636363636363637
2,256,0.5,5,early,128,1.5273754429578188,3483,0.140625,15.0,0.1171875,8.533333333333333
2,256,0.5,5,late,128,0.639961671745862,2224,0.1875,14.0,0.109375,9.142857142857142
2,256,0.5,6,early,128,1.4562716670037748,3826,0.1328125,15.0,0.1171875,8.533333333333333
2,256,0.5,6,late,128,0.5951466288465732,1760,0.1796875,10.0,0.078125,12.8
2,256,0.5,7,early,128,1.3578741956799816,3116,0.15625,15.0,0.1171875,8.533333333333333
2,256,0.5,7,late,128,0.6307159935838611,1984,0.1875,13.0,0.1015625,9.846153846153847
2,256,1.0,0,early,128,2.279161637665533,4168,0.1484375,19.0,0.1484375,6.7368421052631575
2,256,1.0,0,late,128,1.139118262616619,1345,0.21875,11.0,0.0859375,11.636363636363637
2,256,1.0,1,early,128,2.542116606796153,4815,0.1328125,20.0,0.15625,6.4
2,256,1.0,1,late,128,1.1653350163058032,1576,0.203125,10.0,0.078125,12.8
2,256,1.0,2,early,128,2.3782540750311205,4515,0.1640625,17.0,0.1328125,7.529411764705882
2,256,1.0,2,late,128,1.1408093722292265,1480,0.21875,10.0,0.078125,12.8
2,256,1.0,3,early,128,2.607272321054097,4617,0.1484375,19.0,0.1484375,6.7368421052631575
2,256,1.0,3,late,128,1.1853939439884607,1742,0.1953125,10.0,0.078125,12.8
2,256,1.0,4,early,128,2.5627274935582522,4427,0.140625,21.0,0.1640625,6.095238095238095
2,256,1.0,4,late,128,1.176551663362675,1764,0.1875,12.0,0.09375,10.666666666666666
2,256,1.0,5,early,128,2.4269864881978327,4531,0.140625,18.0,0.140625,7.111111111111112
2,256,1.0,5,late,128,1.157060287726066,1567,0.21875,9.0,0.0703125,14.222222222222223
2,256,1.0,6,early,128,2.405216988696802,4323,0.1328125,18.0,0.140625,7.111111111111112
2,256,1.0,6,late,128,1.150197609024803,1488,0.2109375,9.0,0.0703125,14.222222222222223
2,256,1.0,7,early,128,2.5835460590242825,4412,0.140625,18.0,0.140625,7.111111111111112
2,256,1.0,7,late,128,1.1568087519033825,1594,0.21875,11.0,0.0859375,11.636363636363637
2,256,1.5,0,early,128,3.094472024446496,4781,0.15625,21.0,0.1640625,6.095238095238095
2,256,1.5,0,late,128,1.6920070611134161,1472,0.2421875,11.0,0.0859375,11.636363636363637
2,256,1.5,1,early,128,3.3454491623650506,5187,0.1328125,21.0,0.1640625,6.095238095238095
2,256,1.5,1,late,128,1.696239030604727,1414,0.234375,10.0,0.078125,12.8
2,256,1.5,2,early,128,3.1343798879371185,4400,0.1484375,20.0,0.15625,6.4
2,256,1.5,2,late,128,1.743439388148322,1587,0.1953125,11.0,0.0859375,11.636363636363637
2,256,1.5,3,early,128,3.2638252755346526,4889,0.125,23.0,0.1796875,5.565217391304348
2,256,1.5,3,late,128,1.7178239830528745,1642,0.234375,12.0,0.09375,10.666666666666666
2,256,1.5,4,early,128,3.357759060528232,5268,0.125,20.0,0.15625,6.4
2,256,1.5,4,late,128,1.6938603016596276,1473,0.2265625,10.0,0.078125,12.8
2,256,1.5,5,early,128,3.4638474601143097,5268,0.1171875,23.0,0.1796875,5.565217391304348
