candidate,delta_r2,coef,resid_corr,best_alpha,best_win_rate,mean_gap
bd_ratio,0.017752173006671867,-18.527850663205697,-0.2785632197918121,0.0,1.0,29.051249700766288
bdg_d2_corrected_norm,0.001288978771327609,-1.3998420920670327,-0.10786843926922109,0.0,1.0,29.051249700766288
