d,N,hubble,rep,R_dS,R_hat,ratio,flat_prefactor,flat_r2,n_causal_pairs,n_sampled_pairs,intercept
4,4096,0.0,0,0.0,7.667590056202557,nan,0.12166190685032645,0.9125223507160467,1482758,30000,0.1328563083772591
4,4096,0.0,1,0.0,12.570720208453132,nan,0.11831125978268554,0.9171212946341499,1469736,30000,0.13374727533737343
4,4096,0.0,2,0.0,5.91510098075802,nan,0.1203391409995944,0.9092113089523715,1479276,30000,0.12914304252380243
4,4096,0.0,3,0.0,-5.820665765436853,nan,0.12465359022032252,0.8988949235320182,1443533,30000,0.12169777649289475
4,4096,0.0,4,0.0,-0.49053457864502703,nan,0.11663237443725422,0.9088676309219343,1444356,30000,0.11886408523775882
4,4096,0.25,0,0.75,-1.3274666105311879,-1.7699554807082505,0.03766556447069685,0.30402682336439324,1090299,30000,0.035120966747442375
4,4096,0.25,1,0.75,-0.21373769966217296,-0.2849835995495639,0.03738709053341356,0.31918807180784614,1101279,30000,0.036677545837936
4,4096,0.25,2,0.75,-0.6265678287920444,-0.8354237717227259,0.0370337963031581,0.3132959679707267,1176160,30000,0.03542962139307201
4,4096,0.25,3,0.75,-0.2273420734515337,-0.30312276460204496,0.039705611874005536,0.3183418382561177,1127079,30000,0.03876173625494614
4,4096,0.25,4,0.75,0.24827049277283572,0.3310273236971143,0.037570842485223174,0.30987094314026487,1112932,30000,0.03773201945177844
4,4096,0.5,0,3.0,7.283650446353023,2.4278834821176742,0.0393696201295433,0.27549370907992876,729365,30000,0.05055885573319916
4,4096,0.5,1,3.0,5.440776010800741,1.813592003600247,0.037935060975103796,0.2835844543556788,724314,30000,0.04630440276196965
4,4096,0.5,2,3.0,5.323628242470848,1.7745427474902826,0.03783754589242478,0.28011670114357434,748420,30000,0.046616284368944653
4,4096,0.5,3,3.0,3.829674462568626,1.2765581541895419,0.038796259153833626,0.2877290675261204,732916,30000,0.044529422455475635
4,4096,0.5,4,3.0,8.022807014614953,2.674269004871651,0.037865530892716784,0.28493341924591986,725964,30000,0.05006730865256031
4,4096,1.0,0,12.0,46.9073619685228,3.9089468307102333,0.033476033515732855,0.2157768827788492,275301,30000,0.08175714376292151
4,4096,1.0,1,12.0,41.00674974157796,3.417229145131497,0.038865205598179055,0.23153696728601936,270670,30000,0.07723961825853382
4,4096,1.0,2,12.0,42.93750972844612,3.5781258107038436,0.035797438019612535,0.22391692814257746,269265,30000,0.07805683332035486
4,4096,1.0,3,12.0,46.899385032336866,3.908282086028072,0.038221883900693435,0.2174439461043356,258321,30000,0.08178178816365837
4,4096,1.0,4,12.0,40.34758111516946,3.362298426264122,0.037877846122638545,0.22126553252252035,270949,30000,0.07719734157319279
4,4096,2.0,0,48.0,208.21876209956147,4.337890877074197,0.021013259331680995,0.04782882694437496,19382,19382,0.10181187671457309
4,4096,2.0,1,48.0,316.7491152814471,6.598939901696814,0.018614102898536263,0.06528189588093103,18184,18184,0.14169342026020013
4,4096,2.0,2,48.0,212.51078329132582,4.427307985235955,0.021586506186439078,0.09090088723860867,18820,18820,0.10422320444365783
4,4096,2.0,3,48.0,167.19846720784435,3.4833014001634237,0.024707420242262086,0.0837678801684526,17150,17150,0.08607506300876858
4,4096,2.0,4,48.0,193.15900195175504,4.024145873994897,0.016711605181590997,0.05032099732702244,21380,21380,0.09979364173638888
