d,N,reps,hubble,tau_quantile,n_causal_pairs,mean_tau,median_tau,flat_prefactor_fit,flat_rmse,flat_r2,curvature_intercept,curvature_r_hat
2,320,6,0.0,0.8,154296,0.4671729474048809,0.45822097079763197,0.353006392160331,0.03139361658374783,0.6796714281290175,0.3286393430136183,-4.717132014980831
2,320,6,0.25,0.8,139390,0.4185179490757325,0.4109706271634108,0.3874952333867381,0.02912773580908008,0.6535040583083944,0.37538825492280414,-2.8955270612100827
2,320,6,0.5,0.8,127278,0.37288060426708813,0.3695031668396028,0.43488677814043714,0.028548709705369567,0.6049224091157757,0.46012897506922285,5.942081769555962
2,320,6,1.0,0.8,96463,0.2900433398846051,0.283825882087961,0.5246246157156449,0.02388014173211495,0.5244278251109076,0.6861766700023326,68.04814559732952
4,320,6,0.0,0.8,56803,0.6214376430072082,0.6362767670407429,0.035092290555656644,0.0064165903210872165,0.27879770166392426,0.03397733452021373,-0.6261154616377673
4,320,6,0.25,0.8,39567,0.5496578961779807,0.5592042913090776,0.037725572759690525,0.004908826490710368,0.22703207504658585,0.03778070958429341,-0.16812893426157807
4,320,6,0.5,0.8,29326,0.5036077548067135,0.5200543189449665,0.03490835623014153,0.003709030984301486,0.1670349848921917,0.044108471788027306,4.283230805282026
4,320,6,1.0,0.8,9189,0.3704599562170949,0.3760395650116329,0.042608859658790244,0.0018867732258031412,0.10280808311076306,0.06658132181893224,19.546936644419027
