d,N,p_frw,rep,bin_label,t_mean,H_local,H_local_sq,n_elements,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,256,2.0,0,late,0.9040684410836142,2.2236956164395,4.944822194572248,128,1385,0.2421875,9.0,0.0703125,14.222222222222221
2,256,2.0,1,early,0.5712001567829286,4.0075331112676755,16.060321637906775,128,5133,0.1484375,22.0,0.171875,5.818181818181818
2,256,2.0,1,late,0.8910624248982992,2.2567039719118624,5.092712816842776,128,1499,0.25,10.0,0.078125,12.8
2,256,2.0,2,early,0.5831482928977947,3.7610832712540683,14.145747373307204,128,4984,0.140625,24.0,0.1875,5.333333333333333
2,256,2.0,2,late,0.899196551392886,2.235887162664751,4.99919140416903,128,1401,0.21875,10.0,0.078125,12.8
2,256,2.0,3,early,0.6021384248980919,3.6875616654881096,13.598111036777441,128,5005,0.140625,21.0,0.1640625,6.095238095238095
2,256,2.0,3,late,0.9061592816154111,2.2159232069051207,4.910315658900674,128,1213,0.21875,9.0,0.0703125,14.222222222222221
2,256,2.0,4,early,0.62096330704232,3.504721984361188,12.283076187664625,128,4609,0.125,20.0,0.15625,6.4
2,256,2.0,4,late,0.9053906076696641,2.219003741072685,4.9239776028945705,128,1388,0.234375,8.0,0.0625,16.0
2,256,2.0,5,early,0.616161306784758,3.547928622235699,12.587797508479307,128,4604,0.140625,25.0,0.1953125,5.12
2,256,2.0,5,late,0.9087235179098369,2.2102213911619417,4.885078597949829,128,1256,0.234375,9.0,0.0703125,14.222222222222221
2,256,2.0,6,early,0.592701396976331,3.9356332821178968,15.489209331314088,128,5018,0.15625,24.0,0.1875,5.333333333333333
2,256,2.0,6,late,0.8939251037781276,2.2477620035650565,5.052434024670797,128,1314,0.2421875,9.0,0.0703125,14.222222222222221
2,256,2.0,7,early,0.5723989067364368,3.878083079746757,15.039528373418092,128,5044,0.1484375,21.0,0.1640625,6.095238095238095
2,256,2.0,7,late,0.8873306897715294,2.2664185526707232,5.136653055890056,128,1431,0.265625,9.0,0.0703125,14.222222222222221
2,512,0.4,0,early,0.38692229100556264,1.283817755093878,1.6481880282942847,256,13841,0.10546875,20.0,0.078125,12.8
2,512,0.4,0,late,0.811736612595321,0.500797586536565,0.25079822268084834,256,7785,0.1328125,15.0,0.05859375,17.066666666666666
2,512,0.4,1,early,0.38297745022313134,1.2734667857894966,1.6217176545090315,256,13931,0.10546875,20.0,0.078125,12.8
2,512,0.4,1,late,0.823484695972248,0.4949615718207756,0.2449869575792928,256,8328,0.14453125,16.0,0.0625,16.0
2,512,0.4,2,early,0.38171356683980795,1.2695018028184122,1.6116348273591987,256,13006,0.1171875,20.0,0.078125,12.8
2,512,0.4,2,late,0.8102388281445605,0.503781941917196,0.2537962450018611,256,8488,0.125,17.0,0.06640625,15.058823529411764
2,512,0.4,3,early,0.36912703085960874,1.3088913811720437,1.7131966477064602,256,12605,0.109375,22.0,0.0859375,11.636363636363637
2,512,0.4,3,late,0.7954175880594327,0.517054937096088,0.2673458079754395,256,9508,0.12109375,17.0,0.06640625,15.058823529411764
2,512,0.4,4,early,0.3957367985416112,1.2458143627142455,1.5520534263451016,256,14041,0.1171875,20.0,0.078125,12.8
2,512,0.4,4,late,0.8032763362683852,0.5076754778733171,0.25773439083390093,256,7916,0.13671875,17.0,0.06640625,15.058823529411764
2,512,0.4,5,early,0.4117603832376757,1.1705201374851018,1.3701173922581416,256,13405,0.1171875,19.0,0.07421875,13.473684210526315
2,512,0.4,5,late,0.8310727410695504,0.488737651151366,0.23886449165295434,256,7257,0.140625,15.0,0.05859375,17.066666666666666
2,512,0.4,6,early,0.39331353188240403,1.2385998319283384,1.5341295436529083,256,12977,0.1171875,18.0,0.0703125,14.222222222222221
2,512,0.4,6,late,0.8140678843385175,0.5010911111511163,0.25109230167466035,256,8510,0.1328125,15.0,0.05859375,17.066666666666666
2,512,0.4,7,early,0.3879379661542811,1.264709899579498,1.5994911300943842,256,12405,0.09765625,23.0,0.08984375,11.130434782608695
2,512,0.4,7,late,0.8282521746255784,0.4925276265577478,0.24258346292260827,256,8365,0.140625,15.0,0.05859375,17.066666666666666
2,512,0.5,0,early,0.4124470970071085,1.4708109081301242,2.1632847274745606,256,14102,0.11328125,24.0,0.09375,10.666666666666666
2,512,0.5,0,late,0.8281377571848726,0.6144052948853245,0.37749386638312254,256,8139,0.12890625,15.0,0.05859375,17.066666666666666
2,512,0.5,1,early,0.40397686329412075,1.5169814020886006,2.3012325742826962,256,14734,0.1015625,23.0,0.08984375,11.130434782608695
