kappa,d,N,reps,tau_quantile,n_causal_pairs,flat_prefactor_fit,flat_rmse,flat_r2,curvature_intercept,curvature_r_hat,mean_tau,median_tau
0.0,4,320,10,0.8,53306,0.9954263623147135,0.0026712318152525448,0.5541706879577114,1.2017898570822572,252.0491184232638,0.22620255144010235,0.20902504062505467
0.5,4,320,10,0.8,54710,0.9777342089910949,0.0027199180374491453,0.5805880646344402,0.8800699541189424,-124.68736071157137,0.23118840333471052,0.21239831950397736
1.0,4,320,10,0.8,55839,1.0153979093189847,0.0027984165154728113,0.6057178729032124,0.9997000244992648,-1.6691491902316162,0.23321597634655752,0.21390708050239482
2.0,4,320,10,0.8,67228,1.0338596703737204,0.003253539943126826,0.6222282566131969,0.9265966023222391,-102.91946225912032,0.24370986390609378,0.2247441024480693
4.0,4,320,10,0.8,84707,0.8991238284928276,0.003711263757340264,0.6640157204804472,0.8771965772555816,-30.05601617815761,0.26589373182974374,0.24862567452695147
