kappa,d,N,reps,tau_quantile,n_causal_pairs,flat_prefactor_fit,flat_rmse,flat_r2,curvature_intercept,curvature_r_hat,mean_tau,median_tau
0.0,2,320,6,0.8,152271,0.9872195812618585,0.01290452211481347,0.939499012735499,0.9898486205402017,0.27334733570036546,0.2850846673011907,0.2581527725747225
0.5,2,320,6,0.8,158230,0.9961550687314046,0.013081296267978727,0.9451486028671503,0.999405916436499,1.1244615654036287,0.2921994387247827,0.265102327918862
1.0,2,320,6,0.8,157220,0.9747055770750708,0.012885075445934688,0.9430680613578079,0.9847674415590193,2.2930765692180803,0.29012890396143537,0.2636230931929556
2.0,2,320,6,0.8,161223,0.9570304795505603,0.013354580632410653,0.944417350631722,0.9753920221579467,4.875940601812897,0.3000847465533348,0.2719658044558458
4.0,2,320,6,0.8,169187,0.9368382584680506,0.016691700533330953,0.926211532911018,0.997998471088229,15.260006839417333,0.31305252606573775,0.2843207566866375
0.0,4,320,6,0.8,31547,1.0285590136603566,0.0025804732191586034,0.558407375016323,1.4357851219279012,505.99659126551643,0.22383420912136723,0.20678168990616183
0.5,4,320,6,0.8,33846,0.9648118342276859,0.0028046582215387555,0.5933692210246516,0.8739862497124673,-103.11213099645103,0.23527539130877073,0.21686687180477165
1.0,4,320,6,0.8,35872,1.064800226705724,0.002903397870631826,0.6381421397253131,1.0833760128208914,47.7212755941482,0.23695867281297905,0.21741414282093796
2.0,4,320,6,0.8,41090,1.0261229916595815,0.0033073408910325192,0.6232729233546832,0.9490355833138286,-71.84545176202947,0.24542157770891662,0.22683663437827228
4.0,4,320,6,0.8,53833,0.9367289790402975,0.0038768005076616294,0.6899363703509194,0.9322390406988152,-10.876110384042068,0.26989650684915767,0.2524587682379409
