d,N,reps,tau_quantile,n_causal_pairs,mean_tau,median_tau,flat_prefactor_fit,flat_rmse,flat_r2,curvature_intercept,curvature_r_hat,kappa_d
2,64,3,0.75,3437,0.30100637546509434,0.2744855237692532,1.0566692179799546,0.02630544631278944,0.7966654365275593,0.9759159422152767,-20.76409686770747,0.49999999999999994
2,96,3,0.75,6991,0.2914956171123537,0.265101966963832,0.9931782128202499,0.02520392546968091,0.7720790468666057,0.9856832023208996,-8.077631058136442,0.49999999999999994
2,128,3,0.75,12010,0.2865311421799881,0.2598969733218809,0.9451137138430867,0.01904428417710542,0.8302575120306838,0.9109567581044182,-14.355335902063883,0.49999999999999994
2,160,3,0.75,19631,0.2888877347211071,0.26315749850759873,1.0097343814068969,0.016557063375828556,0.8847853255136544,1.0451095878313899,7.3401404133496575,0.49999999999999994
2,192,3,0.75,29625,0.2994816002817175,0.27169187172769466,0.9888753665987232,0.017104106657443604,0.888292883156357,0.9976854182653682,4.177058496196432,0.49999999999999994
4,64,3,0.75,711,0.24233011861939488,0.22734907367957366,0.9230116291672659,0.005329515103088364,0.2006917192135489,0.5643333454023999,-411.0265303856336,0.1308996938995747
4,96,3,0.75,1491,0.22662208166630887,0.20761086092043818,0.8880768147455175,0.004175862328365968,0.16923009192292626,0.7972308765208749,-222.7764309269776,0.1308996938995747
4,128,3,0.75,2492,0.22851085496593793,0.20757993809555286,1.0590132515190607,0.003750343565419918,0.3120135165483472,0.9150639959924415,-51.71626404828273,0.1308996938995747
4,160,3,0.75,4155,0.23496813209680747,0.21886272401957385,0.8480490029147337,0.003511990026758544,0.2850138255973347,0.6318478472825395,-294.65965600375637,0.1308996938995747
4,192,3,0.75,5852,0.23655502766087674,0.21656968836672835,0.9121817379166712,0.003151696583593561,0.372488764380262,0.6815703283939827,-211.41627579525058,0.1308996938995747
