family,N,rep,seed,log_H,pi_geo,sigma_hist,xi_dim,R,wall,F7,f5_calibrated,bd_ratio,bdg_d2_corrected_norm,bdg_d4_standard_norm,rho_bd_mean,rho_bd_std,additivity_ratio,n_patches,patch_mode
Lor2D,16,0,1642,17.006783442844746,2.21476718799665,0.46875,0.3322789115646262,0.52,17.888543547556164,30.408080244214883,34.4609592602651,1.2064000000000001,-0.5,2.75,0.16422192832205088,0.1899870128410222,0.13612560371522783,7,layer-block
Lor2D,16,1,2642,17.178632170774197,0.9938329715575727,0.46875,1.668566628576571,0.6071428571428572,17.8885438191813,31.381213500290063,34.32367530628819,1.409438775510204,0.0,-1.0,0.17609126984126983,0.20569354587238525,0.12493715434891906,7,layer-block
Lor2D,16,2,3642,15.44231342309622,0.2607962292187499,0.46875,0.5433333333333334,0.5172413793103448,17.88854349254865,28.969461234136556,30.37552538755428,1.203923900118906,-1.0,1.5,0.18296293632112265,0.21793942599324767,0.15197217723068066,7,layer-block
Lor2D,16,3,4642,16.341375353003595,0.5174763712352881,0.375,1.4281784363669092,0.5161290322580645,17.888543467343112,31.337032872715348,32.52745442022784,1.2320499479708638,-1.625,-0.3125,0.2178571428571429,0.26830914244275644,0.17682492760617763,5,layer-block
Lor2D,16,4,5642,15.629348188496072,1.1861266647828592,0.5625,1.235893832,0.5555555555555556,17.888543794539657,28.634902732901644,31.136365112819423,1.1934156378600822,-0.375,-2.1875,0.15659116416692176,0.18909143875331638,0.13121259618124825,9,layer-block
Lor2D,16,5,6642,13.993473881441243,0.941839383698766,0.65625,1.6301496400000004,0.6140350877192983,17.88854381948228,26.297984220677,27.641600797145223,1.4758387196060325,-0.125,-0.5625,0.1916118827160494,0.2061914099892848,0.1298325353377361,10,layer-block
Lor2D,16,6,7642,16.648834998790186,0.3387626837677178,0.5625,1.6606818181818173,0.540983606557377,17.888543752741445,29.90892334751423,32.79660924729655,1.3214189733942485,-1.0,0.5,0.14549382716049383,0.16994354635233105,0.11010423649871826,9,layer-block
Lor2D,16,7,8642,15.578224993261738,1.174437925301341,0.46875,1.7825045800000008,0.5660377358490566,17.888543807340895,29.849241323772752,31.224645857290785,1.1961552153791384,-0.5,-2.25,0.16713961775186267,0.19509307220658895,0.1397307101979114,7,layer-block
Lor3D,16,0,1642,22.569370263872408,26.921798658422336,0.375,0.0,0.24,6.068574562988027,24.8987135463238,58.043280813312094,0.3168,-0.75,3.125,0.07777777777777777,0.09525793444156802,0.24551066217732878,5,layer-block
Lor3D,16,1,2642,20.823020086319993,14.915565058742006,0.375,0.0899999999999999,0.38235294117647056,17.885910516481175,35.018896828824666,48.55594677700383,0.6410034602076125,-0.875,-1.4375,0.12697145791033632,0.19333352983087249,0.19808232839993087,5,layer-block
Lor3D,16,2,3642,20.77408154830934,13.28726378691931,0.28125,0.0,0.2432432432432432,6.963181382249285,24.930077836073394,47.778268798511235,0.33528122717311903,-1.875,-0.4375,0.11176040905770634,0.15805308622577321,0.3333333333333333,3,layer-block
Lor3D,16,3,4642,20.025801038876224,9.490107687734744,0.28125,0.0,0.29268292682926833,16.906231683000296,34.123328764951616,44.379395064503505,0.4354550862581797,-2.0,-3.5,0.14515169541939324,0.20527549626355457,0.33333333333333337,3,layer-block
Lor3D,16,4,5642,20.166020706780017,12.568497569730775,0.375,0.0,0.3055555555555556,17.458503734994466,33.87955184080238,46.05953097878686,0.41589506172839513,-1.0,2.5,0.1193273759207825,0.1525270711527183,0.28691703004329144,5,layer-block
Lor3D,16,5,6642,21.543884253127953,20.226594798971654,0.28125,0.0,0.30000000000000004,17.272369427934887,36.011844318982426,52.78444494521042,0.39000000000000007,-0.5,4.75,0.13000000000000003,0.1838477631085024,0.33333333333333337,3,layer-block
Lor3D,16,6,7642,21.65975464732737,17.598756120804694,0.28125,0.0,0.17647058823529416,0.13196681342635397,18.986260963202046,51.703462761815004,0.22318339100346024,-2.125,-2.0625,0.07439446366782008,0.10520965948450363,0.33333333333333337,3,layer-block
Lor3D,16,7,8642,22.87108535841854,31.612376238135028,0.1875,0.0,0.0,1.033555015989386e-06,21.00873134246881,61.27073999144515,0.0,-2.375,-0.6875,0.0,0.0,nan,1,layer-block
Lor4D,16,0,1642,26.565684152337163,59.60254252868509,0.1875,0.0,0.0,1.033555015989386e-06,24.714526202903652,82.6564767349106,0.0,-0.375,0.3125,0.0,0.0,nan,1,layer-block
Lor4D,16,1,2642,24.496519009046423,43.938556505463616,0.28125,0.0,0.1875,0.2731071511957356,21.974701582844343,70.54690530447843,0.22265625,-0.25,1.875,0.07421875,0.10496116283237815,0.3333333333333333,3,layer-block
Lor4D,16,2,3642,24.208593759847794,45.14091261020532,0.1875,0.0,0.0,1.033555015989386e-06,22.35165115844689,70.71551870703061,0.0,-1.25,-0.125,0.0,0.0,nan,1,layer-block
Lor4D,16,3,4642,24.370680892977475,38.72900370395534,0.1875,0.0,0.0,1.033555015989386e-06,22.511173528014073,67.83106509072557,0.0,-1.75,-0.375,0.0,0.0,nan,1,layer-block
Lor4D,16,4,5642,23.967610141342373,39.10713708214276,0.28125,0.0,0.10526315789473684,0.0011534165948183979,21.17190641277005,67.07333706473868,0.11634349030470913,-0.875,1.0625,0.038781163434903045,0.05484484729424744,0.33333333333333337,3,layer-block
Lor4D,16,5,6642,24.31196539155703,39.47401746184918,0.28125,0.0,0.10526315789473684,0.0011534165948183979,21.51640841513659,67.94680616536104,0.11634349030470913,-0.875,1.0625,0.038781163434903045,0.05484484729424744,0.33333333333333337,3,layer-block
Lor4D,16,6,7642,23.985349385115462,41.03602940836705,0.28125,0.0,0.11111111111111116,0.0017032893551447391,21.190967086233954,68.07410017515141,0.12345679012345685,-0.75,1.125,0.04115226337448562,0.05819808898654715,0.3333333333333333,3,layer-block
Lor4D,16,7,8642,24.90058535789657,54.057797644385005,0.1875,0.0,0.0,1.033555015989386e-06,23.04720951050934,76.554266406581,0.0,-0.625,0.1875,0.0,0.0,nan,1,layer-block
Lor5D,16,0,1642,27.776148092734427,73.09418700800747,0.1875,0.0,0.0,1.033555015989386e-06,25.930386801092645,91.8235064212504,0.0,0.375,0.6875,0.0,0.0,nan,1,layer-block
Lor5D,16,1,2642,26.85384255776691,59.95201106322063,0.28125,0.0,0.25,8.94427190999916,33.00959527219136,83.26959544721922,0.3125,0.5,1.75,0.10416666666666667,0.14731391274719738,0.33333333333333337,3,layer-block
Lor5D,16,2,3642,24.98717711395419,49.39730813046047,0.1875,0.0,0.0,1.033555015989386e-06,23.13193707076139,74.40033903331242,0.0,-1.0,0.0,0.0,0.0,nan,1,layer-block
Lor5D,16,3,4642,26.60882818171082,56.718996582660225,0.1875,0.0,0.0,1.033555015989386e-06,24.756516813898898,81.30006637394546,0.0,-0.625,0.1875,0.0,0.0,nan,1,layer-block
Lor5D,16,4,5642,25.77141762957757,53.32809599974403,0.1875,0.0,0.0,1.033555015989386e-06,23.917749901532485,77.93358497564513,0.0,-0.625,0.1875,0.0,0.0,nan,1,layer-block
Lor5D,16,5,6642,26.402873318049387,58.715908388164465,0.1875,0.0,0.0,1.033555015989386e-06,24.551360714959667,81.8888332445069,0.0,-0.375,0.3125,0.0,0.0,nan,1,layer-block
Lor5D,16,6,7642,26.653061582529833,61.05707841023665,0.28125,0.0,0.2857142857142857,16.374515566398305,40.23949998029224,83.41907449149318,0.36734693877551017,0.625,1.8125,0.12244897959183672,0.17316900763752183,0.3333333333333333,3,layer-block
Lor5D,16,7,8642,26.93386554017581,67.78888340108094,0.1875,0.0,0.0,1.033555015989386e-06,25.085982127091256,87.48706827207633,0.0,0.125,0.5625,0.0,0.0,nan,1,layer-block
KR_like,16,0,1642,19.668276887366353,6.079976306090045,0.28125,0.0,0.30434782608695654,17.42338443505113,34.28159331293992,41.96237183316375,0.4697542533081286,-2.25,-1.125,0.15658475110270953,0.22144427867026725,0.3333333333333333,3,layer-block
KR_like,16,1,2642,18.6823329280277,5.384984951842741,0.28125,7.0224682000359975,0.30188679245283023,17.342977988133576,37.42844583016361,40.34309768935464,0.5297258810964757,-3.5,-4.25,0.17657529369882521,0.24971517512889116,0.3333333333333333,3,layer-block
KR_like,16,2,3642,19.08555487718354,7.793990315264264,0.28125,5.522471800035999,0.2978723404255319,17.182174377493638,36.77182993082488,42.20398472546637,0.5196921684019918,-2.625,3.6875,0.17323072280066396,0.24498523760439309,0.33333333333333337,3,layer-block
KR_like,16,3,4642,19.585570681223807,10.899157300905228,0.28125,4.202475400036,0.31707317073170727,17.686394579349507,36.98531016351528,44.62454460511425,0.5258774538964901,-2.0,-2.0,0.17529248463216338,0.24790100914888277,0.33333333333333337,3,layer-block
KR_like,16,4,5642,19.243573838745846,9.249526031686885,0.28125,4.839973600035999,0.34090909090909094,17.846907225878343,37.18566503505846,43.18019843824246,0.5655991735537191,-2.0,-4.0,0.18853305785123972,0.2666260073688945,0.33333333333333337,3,layer-block
KR_like,16,5,6642,19.111713290248435,7.508672989185816,0.28125,5.522471800035999,0.34042553191489366,17.845546385137375,37.46124622460309,42.114385505778706,0.5722046174739702,-2.0,2.5,0.1907348724913234,0.26973984349473257,0.3333333333333333,3,layer-block
KR_like,16,6,7642,18.078784399418865,4.843413671654837,0.28125,8.122465800035998,0.2807017543859649,15.84249186076822,35.98419310567735,38.9762498651145,0.5367805478608803,-4.0,-3.0,0.1789268492869601,0.2530407769343057,0.33333333333333337,3,layer-block
KR_like,16,7,8642,18.462965450587475,5.634135607986715,0.28125,6.759968800035998,0.3076923076923077,17.514405654599496,37.223106039451764,40.00371661722228,0.5562130177514794,-3.375,-7.1875,0.18540433925049313,0.26220133109086974,0.33333333333333337,3,layer-block
Lor2D,20,0,2042,20.297537481933137,0.4856625665042582,0.44999999999999996,0.6353317675597059,0.65625,15.999999999972331,32.17893080746789,40.23193109073797,1.8183593749999998,0.0,2.5,0.18568755784319052,0.2158149560393258,0.10211818433481586,9,layer-block
Lor2D,20,1,3042,22.196663222481178,0.6114840909559612,0.375,3.272514910396292,0.5392156862745099,15.999999932318776,36.41041669467411,44.47041863956729,1.4379084967320266,-1.9,-1.65,0.12525979528024714,0.17062204957346613,0.08711249399035366,7,layer-block
Lor2D,20,2,4042,21.25826643066601,0.2702210310515141,0.44999999999999996,0.6485761772853184,0.59375,15.999999998215412,33.14752022366503,42.04698008852475,1.4658203125,-0.8,6.9,0.1610499065752146,0.203488274730886,0.10987015611793453,9,layer-block
Lor2D,20,3,5042,22.049786120122352,1.3361743098339622,0.5249999999999999,1.5714813984776275,0.6136363636363636,15.999999999526011,33.743209428458876,44.14546045878169,1.743285123966942,-1.0,-4.0,0.13654820454271002,0.15856088600111218,0.07832809599842566,11,layer-block
Lor2D,20,4,6042,21.094086567207007,0.4284521259488444,0.375,0.9105344725939446,0.595959595959596,15.999999998459849,33.890578630073605,41.93717684318529,1.595245383124171,-0.9,2.05,0.20256055125558722,0.2494325248874728,0.12697767591020212,7,layer-block
Lor2D,20,5,7042,23.073133096509977,0.9720027864320685,0.44999999999999996,1.211088483045192,0.5681818181818181,15.999999990186751,35.30017497763841,46.084315335541895,1.4139979338842972,-0.6,6.2,0.1338711105744073,0.15407440911820633,0.09467560550577263,9,layer-block
Lor2D,20,6,8042,21.44691326843627,0.3472480451327704,0.44999999999999996,2.120334917091413,0.6373626373626373,15.999999999902542,34.21925311781172,42.610837231738586,1.5969085859195749,-0.6,-2.6,0.16275115226684492,0.2036400182363338,0.10191638626147481,9,layer-block
Lor2D,20,7,9042,20.416437458172712,0.6250181783788963,0.44999999999999996,2.477905790385274,0.5700000000000001,15.999999991306971,33.403430930982196,40.72336947293124,1.6188,-1.8,-2.8,0.16364077503429353,0.19168160239284598,0.10108770387589172,9,layer-block
Lor3D,20,0,2042,27.780341130817355,14.707877792475399,0.30000000000000004,1.0868698060941828,0.31481481481481477,15.790199498292615,41.228545663883466,62.57772610508995,0.4838820301783265,-1.7,0.85,0.10904601899196495,0.14583405019019577,0.22535662039728546,5,layer-block
Lor3D,20,1,3042,27.260106345645553,7.667516385053167,0.30000000000000004,1.517968605724839,0.3787878787878788,15.997012912880619,41.1709674285151,58.06256906240222,0.6485307621671258,-1.8,1.2,0.0968528333633796,0.13185080187451637,0.14934192641801117,5,layer-block
Lor3D,20,2,4042,29.788592651502935,15.840685306178722,0.22499999999999998,0.0,0.1964285714285714,0.43754858873892505,27.98247751436433,67.16605747543603,0.23852040816326525,-2.5,2.45,0.07950680272108841,0.11243959870908535,0.3333333333333333,3,layer-block
Lor3D,20,3,5042,29.704345338895532,19.432309576472793,0.375,2.394349030470915,0.4347826086956522,15.99992853168292,43.39865621269159,68.8092962713325,0.727788279773157,-0.4,0.7,0.13825507054673722,0.16939806231191326,0.18996605797201035,7,layer-block
Lor3D,20,4,6042,29.5685693209943,18.509271242277773,0.30000000000000004,0.0,0.24,5.427898099746923,32.003871129238135,67.94758375648644,0.3168,-1.8,4.4,0.07673217435122198,0.1034491278093228,0.24221014631067542,5,layer-block
Lor3D,20,5,7042,29.85323614865654,20.745061233958932,0.30000000000000004,0.0,0.28260869565217395,14.366116979573563,41.22765115272369,69.6334627525101,0.41162570888468814,-1.7,-2.35,0.0958024691358025,0.13839853080970557,0.23274170458250065,5,layer-block
Lor3D,20,6,8042,29.466810803738078,18.162985958411657,0.30000000000000004,0.0,0.48,15.99999649298332,42.474072491104764,67.57159746075138,0.7392,0.5,6.75,0.13186409550045913,0.17706601897000937,0.17838757508178996,5,layer-block
Lor3D,20,7,9042,29.399849575547677,18.99060165443293,0.30000000000000004,0.0,0.3125,15.755725537914008,42.163171354123456,67.84725199532457,0.4296875,-1.0,4.8,0.08818112244897959,0.14124200752875843,0.20522152133580704,5,layer-block
Lor4D,20,0,2042,31.6677078435668,33.92093882714576,0.22499999999999998,0.0,0.17142857142857137,0.08451697917805032,29.51579319827571,79.9654833208156,0.20081632653061218,-1.3,2.25,0.06693877551020407,0.09466572417517857,0.33333333333333337,3,layer-block
