d,N,hubble,rep,R_dS,H2,rho_est,n_causal_pairs,b1_mean,b1_std,b1_median,b1_min,b1_max,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread,R_est
3,128,0.0,1,0.0,0.0,-13.65625,2304,-13.65625,34.47200800559057,-8.0,-125.0,131.0,0.6640625,-60.929793191403526,64.81350123733658,8.53150776255098,125.74329442874011,27.3125
3,128,0.0,2,0.0,0.0,-19.40625,2465,-19.40625,44.06483814718375,-11.0,-153.0,85.0,0.59375,-52.55405943915675,58.43439432408857,4.150118838149709,110.98845376324533,38.8125
3,128,0.0,3,0.0,0.0,-10.59375,2620,-10.59375,42.95008685599483,-4.0,-117.0,127.0,0.5078125,-57.191136498271966,63.839131060193964,4.746097687505625,121.03026755846594,21.1875
3,128,0.0,4,0.0,0.0,-9.203125,2319,-9.203125,45.330618683560616,-5.0,-151.0,161.0,0.578125,-62.31548289558441,68.8185654055145,10.621797130546547,131.13404830109891,18.40625
3,128,0.0,5,0.0,0.0,-19.984375,2359,-19.984375,43.3272403443766,-13.0,-161.0,159.0,0.6171875,-52.87856738568435,56.501398438295006,4.161165767530292,109.37996582397935,39.96875
3,128,0.0,6,0.0,0.0,-10.453125,2184,-10.453125,36.903349139805385,-5.0,-123.0,139.0,0.546875,-55.1198727208839,62.06649356921873,4.374474120141414,117.18636629010263,20.90625
3,128,0.0,7,0.0,0.0,-15.65625,2189,-15.65625,41.888325771478385,-11.0,-121.0,157.0,0.6171875,-59.75086703705924,64.51730856534978,7.358164193989147,124.26817560240902,31.3125
3,128,0.25,0,0.375,0.0625,-9.671875,1986,-9.671875,35.53719648459027,-5.0,-107.0,111.0,0.5625,-53.075971920095235,60.84736624133463,5.879214359434698,113.92333816142987,19.34375
3,128,0.25,1,0.375,0.0625,-10.8125,1863,-10.8125,32.34524453068797,-6.0,-91.0,103.0,0.6015625,-52.430416872387006,60.390776267975475,9.634415675734317,112.82119314036248,21.625
3,128,0.25,2,0.375,0.0625,-13.703125,1840,-13.703125,41.878984768429795,-11.0,-117.0,111.0,0.625,-55.85587428000635,60.31409862833992,5.820876410257526,116.16997290834627,27.40625
3,128,0.25,3,0.375,0.0625,-12.90625,1928,-12.90625,32.45464082280838,-6.0,-113.0,83.0,0.59375,-55.83665158533332,61.89692908618588,9.100691899680932,117.7335806715192,25.8125
