step,F,accepted,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
210,27.422202277193783,162,dim_Lor3D,0.5833333333333334,8,1.5053999999999998,5,0.3125,0.5,0.1875
220,25.13305198611738,170,dim_Lor3D,0.5583333333333333,9,1.6554,4,0.25,0.5625,0.25
230,26.126712522496856,180,dim_Lor3D,0.6583333333333333,8,1.0554000000000001,4,0.25,0.5,0.25
240,23.776852473380856,189,dim_Lor3D,0.6916666666666667,9,0.8554000000000002,5,0.3125,0.5625,0.1875
250,33.65973675755836,197,dim_Lor3D,0.39166666666666666,6,2.6554,7,0.4375,0.375,0.375
260,29.475374974386927,204,dim_Lor3D,0.6083333333333333,7,1.3554000000000004,5,0.3125,0.4375,0.25
270,26.062930755666315,213,dim_Lor3D,0.7416666666666667,9,0.5553999999999999,4,0.25,0.5625,0.25
280,23.333233284835053,218,dim_Lor3D,0.5666666666666667,9,1.6054000000000002,5,0.3125,0.5625,0.25
290,31.682959517975487,222,dim_Lor3D,0.4,7,2.6054,6,0.375,0.4375,0.3125
300,27.590746529181672,227,dim_Lor3D,0.48333333333333334,9,2.1054,6,0.375,0.5625,0.3125
0,74.23212969533058,1,dim_Lor4D,0.10833333333333334,3,4.3553999999999995,9,0.5625,0.1875,0.5
10,57.381324521110066,10,dim_Lor4D,0.18333333333333332,4,3.9054,7,0.4375,0.25,0.375
20,30.000206048373048,17,dim_Lor4D,0.44166666666666665,6,2.3554000000000004,5,0.3125,0.375,0.25
30,27.751713549133058,24,dim_Lor4D,0.45,9,2.3054,6,0.375,0.5625,0.25
40,23.85493665033937,29,dim_Lor4D,0.5166666666666667,9,1.9053999999999998,5,0.3125,0.5625,0.1875
50,27.346869826914766,33,dim_Lor4D,0.4583333333333333,9,2.2554000000000003,6,0.375,0.5625,0.1875
60,24.730687704526364,40,dim_Lor4D,0.55,9,1.7053999999999998,6,0.375,0.5625,0.25
70,24.06525056600326,47,dim_Lor4D,0.5666666666666667,10,1.6054000000000002,6,0.375,0.625,0.375
80,21.89871093915315,52,dim_Lor4D,0.875,12,0.5,3,0.1875,0.75,0.125
90,25.572378678317804,60,dim_Lor4D,0.7333333333333333,11,0.6054000000000004,4,0.25,0.6875,0.1875
100,23.06140546986861,67,dim_Lor4D,0.6416666666666667,10,1.1553999999999998,4,0.25,0.625,0.25
110,23.296854742058933,74,dim_Lor4D,0.7666666666666667,10,0.5,4,0.25,0.625,0.1875
120,22.45936649768329,82,dim_Lor4D,0.65,10,1.1054,4,0.25,0.625,0.125
130,13.509947588022845,91,dim_Lor4D,0.9916666666666667,15,0.5,2,0.125,0.9375,0.125
140,21.359733993693116,96,dim_Lor4D,0.55,8,1.7053999999999998,3,0.1875,0.5,0.1875
