step,F,accepted,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
20,42.27013992289388,16,random_rep2,0.30833333333333335,5,3.1554,7,0.4375,0.3125,0.375
30,27.11227831310514,24,random_rep2,0.5166666666666667,7,1.9053999999999998,5,0.3125,0.4375,0.25
40,22.002127536917236,32,random_rep2,0.5666666666666667,10,1.6054000000000002,6,0.375,0.625,0.3125
50,26.618719556060594,35,random_rep2,0.4666666666666667,9,2.2054,6,0.375,0.5625,0.375
60,26.656116851399325,42,random_rep2,0.5583333333333333,9,1.6554,4,0.25,0.5625,0.25
70,25.282412051454425,50,random_rep2,0.675,9,0.9553999999999998,4,0.25,0.5625,0.1875
80,33.888047382215376,59,random_rep2,0.4083333333333333,7,2.5554,6,0.375,0.4375,0.3125
90,24.538561526475114,67,random_rep2,0.5916666666666667,9,1.4554,5,0.3125,0.5625,0.1875
100,26.456561152798663,77,random_rep2,0.725,9,0.6554000000000002,4,0.25,0.5625,0.25
110,29.471548148491333,86,random_rep2,0.44166666666666665,9,2.3554000000000004,5,0.3125,0.5625,0.3125
120,26.316513180014695,93,random_rep2,0.55,9,1.7053999999999998,5,0.3125,0.5625,0.3125
130,22.34015412542341,101,random_rep2,0.65,10,1.1054,4,0.25,0.625,0.25
140,22.106221910378547,107,random_rep2,0.575,9,1.5554000000000003,5,0.3125,0.5625,0.3125
150,29.04325929510859,115,random_rep2,0.5,8,2.0054,5,0.3125,0.5,0.3125
160,24.512787186519528,123,random_rep2,0.675,9,0.9553999999999998,4,0.25,0.5625,0.25
170,25.19597660959826,133,random_rep2,0.5833333333333334,8,1.5053999999999998,5,0.3125,0.5,0.25
180,27.993021228595115,138,random_rep2,0.4583333333333333,8,2.2554000000000003,6,0.375,0.5,0.25
190,23.482771834640335,147,random_rep2,0.6916666666666667,11,0.8554000000000002,4,0.25,0.6875,0.1875
200,52.00924189016514,154,random_rep2,0.20833333333333334,5,3.7554,7,0.4375,0.3125,0.3125
210,36.9825238489725,162,random_rep2,0.35,8,2.9054,7,0.4375,0.5,0.25
220,24.719797691293103,170,random_rep2,0.5833333333333334,10,1.5053999999999998,6,0.375,0.625,0.1875
230,23.758134001569672,178,random_rep2,0.5333333333333333,9,1.8054000000000001,6,0.375,0.5625,0.25
240,23.75397520314492,187,random_rep2,0.725,12,0.6554000000000002,4,0.25,0.75,0.1875
250,29.60591800321939,196,random_rep2,0.4083333333333333,9,2.5554,6,0.375,0.5625,0.25
260,41.560912691752996,203,random_rep2,0.2833333333333333,6,3.3054,8,0.5,0.375,0.375
270,27.491363701673066,211,random_rep2,0.43333333333333335,9,2.4054,5,0.3125,0.5625,0.25
280,23.662315785424262,217,random_rep2,0.675,10,0.9553999999999998,3,0.1875,0.625,0.1875
290,27.4042330231036,226,random_rep2,0.7083333333333334,9,0.7553999999999998,4,0.25,0.5625,0.1875
300,24.782965815734926,234,random_rep2,0.7166666666666667,9,0.7054,3,0.1875,0.5625,0.125
