d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width,max_layer_width_ratio,min_layer_width,layer_entropy
2,128,1.0,7,2.0,1.0,2654,24.0,0.1875,13.0,0.1015625,9.846153846153847,4.469488937333523,0.4539324701979359,18.0,0.140625,1.0,2.440770994112349
2,128,2.0,0,8.0,4.0,1622,38.0,0.296875,9.0,0.0703125,14.222222222222221,7.192245481192114,0.5057047603963206,25.0,0.1953125,5.0,2.066127895615046
2,128,2.0,1,8.0,4.0,1440,38.0,0.296875,10.0,0.078125,12.8,5.455272678794342,0.426193178030808,20.0,0.15625,4.0,2.2058595306561872
2,128,2.0,2,8.0,4.0,1342,36.0,0.28125,11.0,0.0859375,11.636363636363637,5.912586378730581,0.5081128919221594,19.0,0.1484375,1.0,2.2297909863027274
2,128,2.0,3,8.0,4.0,1278,38.0,0.296875,10.0,0.078125,12.8,8.133879763065101,0.635459356489461,25.0,0.1953125,1.0,2.06620068980085
2,128,2.0,4,8.0,4.0,1501,37.0,0.2890625,10.0,0.078125,12.8,4.190465367951393,0.3273801068712025,20.0,0.15625,4.0,2.242390369204689
2,128,2.0,5,8.0,4.0,1425,38.0,0.296875,9.0,0.0703125,14.222222222222221,5.411464738615964,0.38049361443393503,21.0,0.1640625,7.0,2.121732795673103
2,128,2.0,6,8.0,4.0,1494,40.0,0.3125,10.0,0.078125,12.8,7.180529228406497,0.5609788459692575,24.0,0.1875,1.0,2.1208151802245108
2,128,2.0,7,8.0,4.0,1329,36.0,0.28125,10.0,0.078125,12.8,8.084553172563094,0.6316057166064917,25.0,0.1953125,2.0,2.0792873160723935
2,256,0.0,0,0.0,0.0,15981,25.0,0.09765625,23.0,0.08984375,11.130434782608695,3.44275354692681,0.3093098889817056,18.0,0.0703125,2.0,3.082369138774234
2,256,0.0,1,0.0,0.0,16049,25.0,0.09765625,25.0,0.09765625,10.24,3.8707105290889423,0.377999075106342,18.0,0.0703125,2.0,3.1373517793690495
2,256,0.0,2,0.0,0.0,16111,24.0,0.09375,22.0,0.0859375,11.636363636363637,3.7482778414706006,0.32211762700137975,18.0,0.0703125,1.0,3.0247970487399534
2,256,0.0,3,0.0,0.0,16753,21.0,0.08203125,23.0,0.08984375,11.130434782608695,3.2209146395568924,0.28937904964768957,16.0,0.0625,1.0,3.08229246832914
2,256,0.0,4,0.0,0.0,16011,22.0,0.0859375,25.0,0.09765625,10.24,2.4377038376308144,0.23805701539363422,14.0,0.0546875,5.0,3.1885563436487887
2,256,0.0,5,0.0,0.0,15452,24.0,0.09375,22.0,0.0859375,11.636363636363637,3.7964750941492906,0.32625957840345465,16.0,0.0625,2.0,3.0262647219015975
2,256,0.0,6,0.0,0.0,16469,24.0,0.09375,23.0,0.08984375,11.130434782608695,3.193803073427297,0.28694324487823375,17.0,0.06640625,3.0,3.0906309304503345
2,256,0.0,7,0.0,0.0,15999,21.0,0.08203125,23.0,0.08984375,11.130434782608695,3.4679194091494376,0.3115708844157698,16.0,0.0625,2.0,3.0730329572578117
2,256,0.25,0,0.125,0.0625,15028,26.0,0.1015625,21.0,0.08203125,12.19047619047619,3.672537044696922,0.3012628044477944,18.0,0.0703125,4.0,2.9926820479803897
2,256,0.25,1,0.125,0.0625,15123,25.0,0.09765625,23.0,0.08984375,11.130434782608695,4.19424396282092,0.37682660603469204,18.0,0.0703125,1.0,3.0493859728858115
2,256,0.25,2,0.125,0.0625,14400,24.0,0.09375,22.0,0.0859375,11.636363636363637,3.637499822498647,0.3125976409959775,17.0,0.06640625,1.0,3.025279228492246
2,256,0.25,3,0.125,0.0625,14653,27.0,0.10546875,21.0,0.08203125,12.19047619047619,4.3383017043544285,0.35587631168532424,21.0,0.08203125,1.0,2.9664764241981887
2,256,0.25,4,0.125,0.0625,14705,25.0,0.09765625,21.0,0.08203125,12.19047619047619,3.20147358361364,0.2626208799058064,16.0,0.0625,2.0,3.0012694179481443
