seed_label,n,scale_factor,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
offset_0,52,1.72,0.0,KR_like,-108.78044404972343,0.29851524797577056,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,0.0,lorentzian_like_2d,-80.68002026195143,3.192493110451253,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.72,0.2,KR_like,-105.63454759735463,0.36968719294823627,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,0.2,lorentzian_like_2d,-80.39585831296858,3.266980511558523,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.72,0.4,KR_like,-102.48865114498582,0.44427704858203315,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,0.4,lorentzian_like_2d,-80.11169636398576,3.3417934138943854,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.72,0.6,KR_like,-99.342754692617,0.5208183743633645,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,0.6,lorentzian_like_2d,-79.82753441500292,3.4169104370780308,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.72,0.8,KR_like,-96.1968582402482,0.5985630043388528,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,0.8,lorentzian_like_2d,-79.54337246602007,3.4923119569273804,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.72,1.0,KR_like,-93.0509617878794,0.6770965729958407,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,1.0,lorentzian_like_2d,-79.25921051703723,3.567979936827466,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.72,1.5,KR_like,-85.18622065695739,0.8754846807750878,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,1.5,lorentzian_like_2d,-78.54880564458014,3.7582098894560634,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.72,2.0,KR_like,-77.32147952603538,1.0755061054332622,15.729482261844023,108.78044404972343,sis,4
offset_0,52,1.72,2.0,lorentzian_like_2d,-77.83840077212304,3.9497788912081986,1.4208097449141892,80.68002026195143,exact,4
offset_0,52,1.74,0.0,KR_like,-108.78044404972343,0.29851524797577056,15.802698504874318,108.78044404972343,sis,4
offset_0,52,1.74,0.0,lorentzian_like_2d,-80.68002026195143,3.192493110451253,1.4364537276176406,80.68002026195143,exact,4
offset_0,52,1.74,0.2,KR_like,-105.61990434874856,0.37053572626669856,15.802698504874318,108.78044404972343,sis,4
offset_0,52,1.74,0.2,lorentzian_like_2d,-80.39272951642789,3.2678243433693894,1.4364537276176406,80.68002026195143,exact,4
offset_0,52,1.74,0.4,KR_like,-102.4593646477737,0.4460323918852294,15.802698504874318,108.78044404972343,sis,4
offset_0,52,1.74,0.4,lorentzian_like_2d,-80.10543877090437,3.343487235576794,1.4364537276176406,80.68002026195143,exact,4
offset_0,52,1.74,0.6,KR_like,-99.29882494679883,0.5235034515518013,15.802698504874318,108.78044404972343,sis,4
offset_0,52,1.74,0.6,lorentzian_like_2d,-79.81814802538085,3.4194597711218657,1.4364537276176406,80.68002026195143,exact,4
offset_0,52,1.74,0.8,KR_like,-96.13828524582398,0.6021873728062982,15.802698504874318,108.78044404972343,sis,4
offset_0,52,1.74,0.8,lorentzian_like_2d,-79.53085727985732,3.495721761623075,1.4364537276176406,80.68002026195143,exact,4
offset_0,52,1.74,1.0,KR_like,-92.97774554484911,0.6816642862531216,15.802698504874318,108.78044404972343,sis,4
