n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
10,absolute_layered,0,0.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.058715766022727,-0.6478567646287852,2.9107504591096895,4.548698033932443,1.058715766022727,0.0,robust_zscore,n
10,absolute_layered,0,0.0,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.058715766022727,2.985531332717404,2.9107504591096895,4.548698033932443,1.058715766022727,0.0,robust_zscore,n
10,absolute_layered,0,0.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.058715766022727,2.9436292326927025,2.9107504591096895,4.548698033932443,1.058715766022727,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-6.078486103901937,-0.6078486103901937,-0.2639852973250207,-1.058715766022727,-0.6478567646287852,2.9107504591096895,4.548698033932443,0.7347873837083345,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,2.185106543554139,0.2185106543554139,0.094897971423625,-1.058715766022727,2.985531332717404,2.9107504591096895,4.548698033932443,2.551481432381429,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,2.089806543554139,0.20898065435541388,0.090759145011087,-1.058715766022727,2.9436292326927025,2.9107504591096895,4.548698033932443,2.5305303823690783,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-5.983186103901937,-0.5983186103901936,-0.2598464709124827,-1.058715766022727,-0.6478567646287852,2.9107504591096895,4.548698033932443,0.41085900139394194,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,10.543999191010215,1.0543999191010216,0.4579200665848087,-1.058715766022727,2.985531332717404,2.9107504591096895,4.548698033932443,4.044247098740131,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,10.353399191010215,1.0353399191010215,0.44964241375973274,-1.058715766022727,2.9436292326927025,2.9107504591096895,4.548698033932443,4.002344998715429,0.0,robust_zscore,n
10,absolute_layered,0,1.5,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-5.887886103901937,-0.5887886103901937,-0.2557076444999447,-1.058715766022727,-0.6478567646287852,2.9107504591096895,4.548698033932443,0.08693061907954935,0.0,robust_zscore,n
10,absolute_layered,0,1.5,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,18.902891838466292,1.8902891838466291,0.8209421617459924,-1.058715766022727,2.985531332717404,2.9107504591096895,4.548698033932443,5.537012765098833,0.0,robust_zscore,n
10,absolute_layered,0,1.5,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,18.61699183846629,1.861699183846629,0.8085256825083784,-1.058715766022727,2.9436292326927025,2.9107504591096895,4.548698033932443,5.474159615061781,0.0,robust_zscore,n
10,absolute_layered,0,2.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-5.792586103901937,-0.5792586103901937,-0.2515688180874067,-1.058715766022727,-0.6478567646287852,2.9107504591096895,4.548698033932443,-0.23699776323484323,0.0,robust_zscore,n
10,absolute_layered,0,2.0,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,27.261784485922366,2.7261784485922367,1.183964256907176,-1.058715766022727,2.985531332717404,2.9107504591096895,4.548698033932443,7.029778431457535,0.0,robust_zscore,n
10,absolute_layered,0,2.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,26.880584485922366,2.6880584485922365,1.167408951257024,-1.058715766022727,2.9436292326927025,2.9107504591096895,4.548698033932443,6.945974231408132,0.0,robust_zscore,n
10,absolute_layered,0,3.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-5.601986103901937,-0.5601986103901937,-0.24329116526233074,-1.058715766022727,-0.6478567646287852,2.9107504591096895,4.548698033932443,-0.8848545278636284,0.0,robust_zscore,n
10,absolute_layered,0,3.0,1.0,A2,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.71778529491215,43.97956978083452,4.397956978083451,1.9100084472295433,-1.058715766022727,2.985531332717404,2.9107504591096895,4.548698033932443,10.015309764174939,0.0,robust_zscore,n
10,absolute_layered,0,3.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,16.52718529491215,43.40776978083451,4.3407769780834515,1.8851754887543153,-1.058715766022727,2.9436292326927025,2.9107504591096895,4.548698033932443,9.889603464100835,0.0,robust_zscore,n
10,absolute_layered,0,4.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.1906,-5.411386103901936,-0.5411386103901936,-0.23501351243725474,-1.058715766022727,-0.6478567646287852,2.9107504591096895,4.548698033932443,-1.5327112924924136,0.0,robust_zscore,n
