stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_cg,penalty_global_consistency,score_augmented,score_augmented_full,self_drift,nearest_family,nearest_family_dist,family_switch_penalty,rank_before,rank_after,rank_shift_penalty,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,gc_var_comp,gc_var_d_eff,gc_var_height_ratio,gc_var_width_ratio,gc_var_size_ratio,gc_count,gc_total,gc_var_comp_ref_penalty,gc_var_d_eff_ref_penalty,gc_var_height_ratio_ref_penalty,gc_var_width_ratio_ref_penalty,gc_var_size_ratio_ref_penalty,gc_total_ref
coarse_grained,20,16,lorentzian_like_2d,0,0.8,0,0.2,1.0,A1,sis,17.670444982408217,0.10535888671875,-17.649373205064467,0.029987266892663463,0.0,-17.619385938171803,-17.619385938171803,0.0029987266892663464,lorentzian_like_2d,0.21177782808883278,0.0,5,5,0.0,0.48333333333333334,2.1054,0.3125,0.375,0.04754638671875,0.3793103448275862,0.07219827586206896,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,lorentzian_like_2d,0,0.8,1,0.2,1.0,A1,sis,16.483598394958108,0.07427130805121528,-16.468744133347865,0.01831466795810639,0.0,-16.45042946538976,-16.45042946538976,0.0018314667958106389,lorentzian_like_2d,0.33972060424899486,0.0,5,5,0.0,0.5083333333333333,1.9554000000000002,0.375,0.25,0.0503997802734375,0.3770491803278688,0.07889344262295082,0.02222222222222223,0.06385729000000008,0.012847222222222223,0.005709876543209878,0.0018446180555555553,6.0,0.4471341544753091,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,lorentzian_like_2d,0,0.6,0,0.2,1.0,A1,sis,10.276222836021374,0.14120370370370372,-10.247982095280634,0.1785440186061758,0.0,-10.069438076674457,-10.069438076674457,0.01785440186061758,lorentzian_like_2d,0.5788956201375564,0.0,5,5,0.0,0.5454545454545454,1.7326727272727276,0.3333333333333333,0.4166666666666667,0.054398148148148154,0.3888888888888889,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,lorentzian_like_2d,0,0.6,1,0.2,1.0,A1,sis,11.292154097801074,0.12668788580246915,-11.26681652064058,0.11554105307212201,0.0,-11.151275467568459,-11.151275467568459,0.0115541053072122,lorentzian_like_2d,0.4940079976705963,0.0,5,5,0.0,0.5303030303030303,1.8235818181818184,0.3333333333333333,0.4166666666666667,0.0572434413580247,0.42857142857142855,0.05476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,lorentzian_like_2d,0,0.8,0,0.8,1.0,A1,sis,17.670444982408217,0.10535888671875,-17.586157873033216,0.029987266892663463,0.0,-17.55617060614055,-17.55617060614055,0.0029987266892663464,lorentzian_like_2d,0.21177782808883278,0.0,5,5,0.0,0.48333333333333334,2.1054,0.3125,0.375,0.04754638671875,0.3793103448275862,0.07219827586206896,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,lorentzian_like_2d,0,0.8,1,0.8,1.0,A1,sis,16.483598394958108,0.07427130805121528,-16.424181348517134,0.01831466795810639,0.0,-16.40586668055903,-16.40586668055903,0.0018314667958106389,lorentzian_like_2d,0.33972060424899486,0.0,5,5,0.0,0.5083333333333333,1.9554000000000002,0.375,0.25,0.0503997802734375,0.3770491803278688,0.07889344262295082,0.02222222222222223,0.06385729000000008,0.012847222222222223,0.005709876543209878,0.0018446180555555553,6.0,0.4471341544753091,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,lorentzian_like_2d,0,0.6,0,0.8,1.0,A1,sis,10.276222836021374,0.14120370370370372,-10.163259873058411,0.1785440186061758,0.0,-9.984715854452235,-9.984715854452235,0.01785440186061758,lorentzian_like_2d,0.5788956201375564,0.0,5,5,0.0,0.5454545454545454,1.7326727272727276,0.3333333333333333,0.4166666666666667,0.054398148148148154,0.3888888888888889,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,lorentzian_like_2d,0,0.6,1,0.8,1.0,A1,sis,11.292154097801074,0.12668788580246915,-11.190803789159098,0.11554105307212201,0.0,-11.075262736086977,-11.075262736086977,0.0115541053072122,lorentzian_like_2d,0.4940079976705963,0.0,5,5,0.0,0.5303030303030303,1.8235818181818184,0.3333333333333333,0.4166666666666667,0.0572434413580247,0.42857142857142855,0.05476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,lorentzian_like_2d,1,0.8,0,0.2,1.0,A1,sis,16.236822241326912,0.06947021484374999,-16.22292819835816,0.10342818075694638,0.0,-16.119500017601215,-16.119500017601215,0.010342818075694638,lorentzian_like_2d,0.1999717857851352,0.0,5,5,0.0,0.48333333333333334,2.1054,0.3125,0.3125,0.04290771484375,0.4482758620689655,0.07112068965517242,0.06349206349206349,2.285707428578775,0.02579365079365079,0.030612244897959183,0.0004783163265306123,7.0,11.795795504571881,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,lorentzian_like_2d,1,0.8,1,0.2,1.0,A1,sis,16.62322254778085,0.0386322021484375,-16.61549610735116,2.2576819151356724,0.0009717501281704313,-14.357814192215487,-14.356842442087316,0.02576819151356725,multi_layer_random,0.1405371943068565,1.0,5,4,1.0,0.375,2.7554,0.3125,0.25,0.0276947021484375,0.4888888888888889,0.05277777777777778,0.11111111111111112,1.5692572900000006,0.027777777777777783,0.027777777777777773,0.0,4.0,8.401842005555558,0.0009717501281704313,0.0,0.0,0.0,0.0,0.0009717501281704313
coarse_grained,20,12,lorentzian_like_2d,1,0.6,0,0.2,1.0,A1,sis,12.6471365308782,0.09818672839506175,-12.627499185199188,3.395754513438227,0.0,-9.23174467176096,-9.23174467176096,0.0895754513438227,KR_like,0.33582857680907463,1.0,5,3,2.0,0.3333333333333333,3.0054000000000003,0.3333333333333333,0.4166666666666667,0.028742283950617287,0.7727272727272727,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,lorentzian_like_2d,1,0.6,1,0.2,1.0,A1,sis,9.74554636446755,0.07700617283950617,-9.730145129899649,0.16086428382236148,0.0,-9.569280846077287,-9.569280846077287,0.01608642838223615,lorentzian_like_2d,0.27996312624275344,0.0,5,5,0.0,0.48484848484848486,2.0963090909090907,0.4166666666666667,0.3333333333333333,0.04089506172839507,0.53125,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,lorentzian_like_2d,1,0.8,0,0.8,1.0,A1,sis,16.236822241326912,0.06947021484374999,-16.181246069451912,0.10342818075694638,0.0,-16.077817888694966,-16.077817888694966,0.010342818075694638,lorentzian_like_2d,0.1999717857851352,0.0,5,5,0.0,0.48333333333333334,2.1054,0.3125,0.3125,0.04290771484375,0.4482758620689655,0.07112068965517242,0.06349206349206349,2.285707428578775,0.02579365079365079,0.030612244897959183,0.0004783163265306123,7.0,11.795795504571881,0.0,0.0,0.0,0.0,0.0,0.0
