family,mean_score_local,mean_penalty_cg,mean_score_augmented,mean_self_drift,family_switch_rate,mean_rank_shift,mean_gc_penalty,best_rank_local,best_rank_augmented,mean_rank_local,mean_rank_augmented,cg_lift,local_advantage_over_2d,augmented_advantage_over_2d
lorentzian_like_4d,-27.598220731987766,0.3352224579126015,-27.262998274075166,0.0085222457912601,0.125,0.125,8.440042787281394e-09,1,1,1.0,1.0,0.3352224579126002,-9.496467704623065,-9.439909288954745
lorentzian_like_3d,-24.56585286517723,0.7459650197527404,-23.81988784542449,0.012096501975273975,0.3125,0.3125,3.165016045230522e-09,2,2,2.0,2.0,0.7459650197527417,-6.46409983781253,-5.996798860304068
lorentzian_like_2d,-18.1017530273647,0.27866404224428026,-17.82308898512042,0.013803904224428001,0.0625,0.09375,5.160066090257104e-05,5,4,5.0,4.75,0.2786640422442801,0.0,0.0
