family,n,seed,log_H,antichain_width,comparable_fraction,penalty_neutral,penalty_geometric,score_A1_gamma,score_A2_gamma,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_dim_multi_consistency,geo_dim_multi_consistency_var,geo_d_order,geo_d_chain,geo_d_width,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,cg_mean_self_drift,cg_family_switch_rate,cg_mean_penalty
lorentzian_like_2d,52,1780002,78.68587501429771,10,0.5015082956259427,0.049231004472882596,0.4565255904391331,-78.6464902107194,-78.2812697383681,0.12721701563369794,1.332084846747534e-05,1.996350226244344,1.2231740362879027,1.996350226244344,2.1753689499629583,1.191126332846061,29.0,1.2391707602465978,1.2071230568047562,1.996350226244344,1.716003343634799,1.9703673137607505,0.01476426590592148,0.0,0.0,0.022268965517241383,0.0010272846811308347,0.4565255904391331,0.006735509019146747,0.0,0.06735509019146747
lorentzian_like_2d,52,1780003,79.62395910276258,11,0.48717948717948717,0.05319250901579076,0.22867953581144482,-79.58140509554995,-79.3984614669008,0.04979304449311734,0.0067770889940828435,2.082323076923077,0.33746829558767744,2.082323076923077,2.2140379368543717,0.32011949126095685,31.0,0.3697989317012645,0.3524501273745439,2.082323076923077,1.716003343634799,2.110930186608689,0.011487442472057853,0.0,0.0,0.0005987000317087016,0.0014792899408284023,0.22867953581144482,0.008301497631847331,0.16666666666666666,0.3330149763184733
lorentzian_like_2d,52,1780004,77.57632375479798,10,0.5030165912518854,0.05520341877910437,0.12101389918820758,-77.5321610197747,-77.43534990042413,0.011100838259683056,0.00016127850699207289,1.987300452488688,1.0873743920380377,1.987300452488688,1.605756813362077,0.9417988434800602,30.0,1.1353799641245272,0.9898044155665499,1.987300452488688,1.716003343634799,2.2526799312899013,0.015133081723233436,0.0,0.0,0.0004900000000000003,0.002136752136752136,0.12101389918820758,0.007884215058183581,0.0,0.0788421505818358
lorentzian_like_2d,52,1780005,79.71104391370207,9,0.47737556561085975,0.048987556239277336,0.2438578352698547,-79.67185386871064,-79.47676760049477,0.011100838259683056,0.0199223644798427,2.1411466063348414,0.6249071736506827,2.1411466063348414,1.8886045147834623,0.5611296656455376,19.0,0.6783747554431152,0.6145972474379702,2.1411466063348414,1.716003343634799,2.2526799312899013,0.009482000778034851,0.0,0.0,0.00018947368421052665,0.002218934911242603,0.2438578352698547,0.0025290672502468066,0.0,0.025290672502468067
lorentzian_like_2d,52,1780006,74.44857053233444,10,0.5030165912518854,0.04644061252941001,0.5025928994884677,-74.41141804231091,-74.00934372272015,0.2042905520850268,0.00016127850699207289,1.987300452488688,1.463646494131694,1.987300452488688,1.11284585969586,0.6989756592752233,36.0,1.4880466541125739,0.7233758192561031,1.987300452488688,1.6477966170600444,1.9703673137607505,0.015133081723233436,0.0,0.0,0.0,0.0009615384615384614,0.5025928994884677,0.0038777889549263217,0.0,0.03877788954926322
lorentzian_like_2d,52,1780007,80.37800803404923,10,0.5407239819004525,0.057017857476698124,0.6612667725334083,-80.33239374806787,-79.80338033004115,0.01387284348843291,0.0570941832386723,1.7610561085972853,0.8132631472743307,1.7610561085972853,2.217728747008557,0.6047132486008187,28.0,0.8378790293086871,0.629329130635175,1.7610561085972853,1.7982885133078537,2.110930186608689,0.025832198357936965,0.0,0.0,0.0031159805744646676,0.0030972633136094677,0.6612667725334083,0.002308032177424941,0.0,0.023080321774249412
multi_layer_random,52,1781313,94.8979741705823,13,0.49924585218702866,0.053963008998284365,2.0472234487101186,-94.85480376338367,-93.21702500441558,0.9130021215784195,9.850337953768019e-05,2.009924886877828,2.044266337075306,2.009924886877828,3.3096609289671113,0.3549525579693903,20.0,2.1620875371074497,0.47277375800153426,2.009924886877828,2.4550457573138686,2.850219859070546,0.014219573263810686,0.0,0.0,0.026357067313449955,0.0016642011834319527,2.0472234487101186,0.00640812362567095,0.8333333333333334,1.3140812362567094
multi_layer_random,52,1781603,92.46004387893788,13,0.5015082956259427,0.05926457297538601,2.009781319491017,-92.41263222055757,-90.80480716496476,0.9130021215784195,1.332084846747534e-05,1.996350226244344,1.6754169686265499,1.996350226244344,3.1918494556011585,0.24619856123381248,25.0,1.797156692047117,0.36793828465437944,1.996350226244344,2.4550457573138686,2.850219859070546,0.01476426590592148,0.0,0.0,0.017352781638749957,0.004160502958579882,2.009781319491017,0.006276680649963693,0.8333333333333334,1.312766806499637
multi_layer_random,52,1781615,94.95637713080338,13,0.4766214177978884,0.06706708886243479,2.098893900069672,-94.90272345971343,-93.22360833965769,0.9130021215784195,0.02122018393480881,2.1456714932126695,1.8853954883365962,2.1456714932126695,3.3917346148175866,0.33272218531280556,17.0,1.9685358667610806,0.4158625637372899,2.1456714932126695,2.4550457573138686,2.850219859070546,0.009335698377274108,0.0,0.0,0.007536704359587358,0.004715236686390532,2.098893900069672,0.006085931627513501,0.8333333333333334,1.310859316275135
multi_layer_random,52,1782198,94.08487312843752,13,0.4984917043740573,0.05682516696719302,1.6710186762860895,-94.03941299486377,-92.70259805383489,0.7664455100840317,0.00020879596158964275,2.014449773755656,2.127490924650142,2.014449773755656,3.4069382965847357,0.18846663843942962,19.0,2.206844306245413,0.2678200200347002,2.014449773755656,2.4550457573138686,2.694635362272265,0.014040284005468993,0.0,0.0,0.009296667174356918,0.0028661242603550303,1.6710186762860895,0.003590636337263349,1.0,1.5359063633726333
multi_layer_random,52,1782214,91.24532874946348,12,0.5271493212669683,0.05468555788487797,1.8995044562277228,-91.20158030315558,-89.6819767381734,0.7664455100840317,0.024804967211154567,1.84250407239819,1.9413376022341127,1.84250407239819,3.101811649352826,0.3554820288587567,27.0,2.070086294428103,0.4842307210527471,1.84250407239819,2.4550457573138686,2.694635362272265,0.02165292274932946,0.0,0.0,0.007133480895599204,0.0012943786982248524,1.8995044562277228,0.0028452361151739027,1.0,1.528452361151739
